ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,IWW,IWL,SBW,SBL,B&WW,B&WL
23,Monte Carlo,Monte Carlo Masters,14/04/03,Masters,Outdoor,Clay,1st Round,3,Clement A.,Gonzalez F.,40,23,6,4,6,3,,,,,,,2,0,Completed,3.25,1.333,3,1.36,2.7,1.3,,,3,1.27
23,Monte Carlo,Monte Carlo Masters,14/04/03,Masters,Outdoor,Clay,1st Round,3,Ferrero J.C.,Arthurs W.,3,50,6,4,6,1,,,,,,,2,0,Completed,1.083,7,1.1,6.25,1.1,4.5,1.083,7,1.07,5.4
23,Monte Carlo,Monte Carlo Masters,14/04/03,Masters,Outdoor,Clay,1st Round,3,Gaudio G.,Ferrer D.,20,56,7,5,6,2,,,,,,,2,0,Completed,1.364,3,1.36,3,1.3,2.7,1.333,3,1.21,3.35
23,Monte Carlo,Monte Carlo Masters,14/04/03,Masters,Outdoor,Clay,1st Round,3,Horna L.,Mathieu P.H.,81,43,6,4,6,4,,,,,,,2,0,Completed,1.53,2.37,,,1.4,2.3,,,1.4,2.4
23,Monte Carlo,Monte Carlo Masters,14/04/03,Masters,Outdoor,Clay,1st Round,3,Kuerten G.,Fish M.,15,57,3,6,6,1,6,0,,,,,2,1,Completed,1.143,5,1.16,4.75,1.15,3.8,1.143,5,1.11,4.5
23,Monte Carlo,Monte Carlo Masters,14/04/03,Masters,Outdoor,Clay,1st Round,3,Ljubicic I.,Zabaleta M.,55,35,6,3,7,6,,,,,,,2,0,Completed,2.25,1.571,2.25,1.6,1.9,1.6,,,2.15,1.5
23,Monte Carlo,Monte Carlo Masters,14/04/03,Masters,Outdoor,Clay,1st Round,3,Lopez F.,Corretja A.,59,16,7,6,6,3,,,,,,,2,0,Completed,2.625,1.444,2.3,1.58,2.1,1.5,,,2.4,1.4
23,Monte Carlo,Monte Carlo Masters,14/04/03,Masters,Outdoor,Clay,1st Round,3,Mantilla F.,Sargsian S.,47,77,6,0,7,5,,,,,,,2,0,Completed,1.36,3,,,1.35,2.5,,,1.22,3.3
23,Monte Carlo,Monte Carlo Masters,14/04/03,Masters,Outdoor,Clay,1st Round,3,Martin A.,Rochus O.,65,58,6,3,3,6,6,2,,,,,2,1,Completed,1.66,2.1,,,1.7,1.8,,,1.63,1.92
23,Monte Carlo,Monte Carlo Masters,14/04/03,Masters,Outdoor,Clay,1st Round,3,Nalbandian D.,Gasquet R.,12,115,6,4,6,0,,,,,,,2,0,Completed,1.286,3.5,1.28,3.5,1.25,3,1.286,3.25,1.18,3.5
