ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
23,Monte Carlo,Monte Carlo Masters,11/04/05,Masters,Outdoor,Clay,1st Round,3,Ascione T.,Beck K.,135,41,6,3,7,5,,,,,,,2,0,Completed,,,1.55,2.4,1.53,2.4,,,1.595,2.48
23,Monte Carlo,Monte Carlo Masters,11/04/05,Masters,Outdoor,Clay,1st Round,3,Ferrero J.C.,Karlovic I.,69,63,6,4,6,1,,,,,,,2,0,Completed,1.16,4.5,1.16,5,1.15,5.2,1.15,4,1.167,5.6
23,Monte Carlo,Monte Carlo Masters,11/04/05,Masters,Outdoor,Clay,1st Round,3,Saulnier C.,Srichaphan P.,52,34,6,2,6,4,,,,,,,2,0,Completed,1.61,2.2,1.55,2.4,1.48,2.53,1.4,2.5,1.562,2.58
23,Monte Carlo,Monte Carlo Masters,11/04/05,Masters,Outdoor,Clay,1st Round,3,Novak J.,Mirnyi M.,24,43,3,6,6,4,6,3,,,,,2,1,Completed,1.44,2.62,1.42,2.8,1.42,2.75,1.4,2.5,1.448,2.93
23,Monte Carlo,Monte Carlo Masters,11/04/05,Masters,Outdoor,Clay,1st Round,3,Mantilla F.,Johansson J.,82,11,2,6,6,3,6,3,,,,,2,1,Completed,1.44,2.62,1.37,3,1.37,2.92,,,1.402,3.14
23,Monte Carlo,Monte Carlo Masters,11/04/05,Masters,Outdoor,Clay,1st Round,3,Malisse X.,Chela J.I.,38,29,6,2,7,5,,,,,,,2,0,Completed,2.75,1.39,2.85,1.4,2.92,1.37,2.35,1.45,2.95,1.444
23,Monte Carlo,Monte Carlo Masters,11/04/05,Masters,Outdoor,Clay,1st Round,3,Coria G.,Mathieu P.H.,9,75,6,2,7,5,,,,,,,2,0,Completed,1.12,5.5,1.12,6,1.1,6.25,1.15,4,1.132,6.75
23,Monte Carlo,Monte Carlo Masters,11/04/05,Masters,Outdoor,Clay,1st Round,3,Hanescu V.,Calleri A.,99,88,6,2,6,3,,,,,,,2,0,Completed,2.62,1.44,2.4,1.55,2.4,1.53,2.35,1.45,2.59,1.559
23,Monte Carlo,Monte Carlo Masters,11/04/05,Masters,Outdoor,Clay,1st Round,3,Gaudio G.,Rochus C.,6,65,7,6,6,2,,,,,,,2,0,Completed,1.08,7,1.1,6.5,1.1,6.25,1.1,5,1.074,11
23,Monte Carlo,Monte Carlo Masters,11/04/05,Masters,Outdoor,Clay,1st Round,3,Gasquet R.,Garcia-Lopez G.,101,79,6,2,6,0,,,,,,,2,0,Completed,1.39,2.75,1.42,2.8,1.44,2.67,1.45,2.35,1.375,3.27
23,Monte Carlo,Monte Carlo Masters,11/04/05,Masters,Outdoor,Clay,1st Round,3,Stepanek R.,Spadea V.,23,33,6,0,7,5,,,,,,,2,0,Completed,1.66,2.1,1.57,2.35,1.7,2.1,1.7,1.9,1.658,2.32
23,Monte Carlo,Monte Carlo Masters,11/04/05,Masters,Outdoor,Clay,1st Round,3,Kiefer N.,Schuettler R.,31,36,6,2,2,6,6,1,,,,,2,1,Completed,2,1.72,2.1,1.7,2.05,1.75,1.8,1.8,2.27,1.68
23,Monte Carlo,Monte Carlo Masters,11/04/05,Masters,Outdoor,Clay,1st Round,3,Nadal R.,Monfils G.,17,106,6,3,6,2,,,,,,,2,0,Completed,1.1,6.5,1.1,6.5,1.1,6.25,1.1,5,1.095,8.75
23,Monte Carlo,Monte Carlo Masters,12/04/05,Masters,Outdoor,Clay,1st Round,3,Martin A.,Starace P.,57,60,6,3,7,5,,,,,,,2,0,Completed,1.44,2.62,1.55,2.4,1.55,2.35,1.45,2.35,1.625,2.4
23,Monte Carlo,Monte Carlo Masters,12/04/05,Masters,Outdoor,Clay,1st Round,3,Ancic M.,Kuerten G.,20,86,7,5,6,2,,,,,,,2,0,Completed,2.1,1.66,2.15,1.67,2.1,1.7,2,1.6,2.09,1.775
23,Monte Carlo,Monte Carlo Masters,12/04/05,Masters,Outdoor,Clay,1st Round,3,Rochus O.,Ljubicic I.,42,12,6,2,6,2,,,,,,,2,0,Completed,3.5,1.28,3.55,1.28,3.1,1.35,2.9,1.3,3.61,1.327
23,Monte Carlo,Monte Carlo Masters,12/04/05,Masters,Outdoor,Clay,1st Round,3,Berdych T.,Horna L.,50,47,4,6,7,6,7,6,,,,,2,1,Completed,,,1.67,2.15,1.67,2.12,1.65,1.95,1.629,2.39
23,Monte Carlo,Monte Carlo Masters,12/04/05,Masters,Outdoor,Clay,1st Round,3,Mayer F.,Benneteau J.,46,104,6,3,6,3,,,,,,,2,0,Completed,1.39,2.75,1.37,3,1.45,2.6,1.4,2.5,1.474,2.84
23,Monte Carlo,Monte Carlo Masters,12/04/05,Masters,Outdoor,Clay,1st Round,3,Ferrer D.,Hrbaty D.,28,22,6,4,6,3,,,,,,,2,0,Completed,1.5,2.5,1.45,2.7,1.5,2.45,1.55,2.1,1.5,2.75
23,Monte Carlo,Monte Carlo Masters,12/04/05,Masters,Outdoor,Clay,1st Round,3,Davydenko N.,Melzer J.,15,39,5,7,6,1,6,3,,,,,2,1,Completed,1.39,2.75,1.37,3,1.32,3.22,1.35,2.7,1.362,3.36
23,Monte Carlo,Monte Carlo Masters,12/04/05,Masters,Outdoor,Clay,1st Round,3,Volandri F.,Arthurs W.,37,74,7,5,6,2,,,,,,,2,0,Completed,1.16,4.5,1.16,5,1.15,5.2,1.15,4,1.174,5.35
23,Monte Carlo,Monte Carlo Masters,12/04/05,Masters,Outdoor,Clay,1st Round,3,Safin M.,Lee H.T.,4,59,6,0,7,5,,,,,,,2,0,Completed,1.12,5.5,1.12,6,1.15,5.2,1.1,5,1.112,7.82
23,Monte Carlo,Monte Carlo Masters,12/04/05,Masters,Outdoor,Clay,1st Round,3,Zabaleta M.,Henman T.,51,5,6,4,4,6,6,2,,,,,2,1,Completed,1.72,2,1.7,2.1,1.67,2.12,2,1.6,1.69,2.25
23,Monte Carlo,Monte Carlo Masters,12/04/05,Masters,Outdoor,Clay,1st Round,3,Santoro F.,Soderling R.,49,40,7,6,7,5,,,,,,,2,0,Completed,,,1.5,2.5,1.48,2.53,1.55,2.1,1.467,2.87
23,Monte Carlo,Monte Carlo Masters,12/04/05,Masters,Outdoor,Clay,1st Round,3,Gonzalez F.,Verdasco F.,26,45,6,4,7,5,,,,,,,2,0,Completed,1.61,2.2,1.77,2,1.75,2,1.55,2.1,1.826,2.01
23,Monte Carlo,Monte Carlo Masters,12/04/05,Masters,Outdoor,Clay,1st Round,3,Federer R.,Rusedski G.,1,44,6,3,6,1,,,,,,,2,0,Completed,1.03,10,1.02,12,1.04,9.25,1.02,8,1.018,38.5
23,Monte Carlo,Monte Carlo Masters,12/04/05,Masters,Outdoor,Clay,1st Round,3,Puerta M.,Moya C.,48,7,7,6,1,6,6,3,,,,,2,1,Completed,2.62,1.44,2.4,1.55,2.28,1.58,2.7,1.35,2.6,1.556
23,Monte Carlo,Monte Carlo Masters,12/04/05,Masters,Outdoor,Clay,1st Round,3,Lisnard J.R.,Johansson T.,95,19,4,6,6,4,6,2,,,,,2,1,Completed,2.25,1.57,2.2,1.65,2.1,1.7,2.1,1.55,2.38,1.633
23,Monte Carlo,Monte Carlo Masters,12/04/05,Masters,Outdoor,Clay,1st Round,3,Canas G.,Andreev I.,13,35,7,6,6,1,,,,,,,2,0,Completed,1.5,2.5,1.6,2.3,1.65,2.15,1.5,2.2,1.571,2.55
23,Monte Carlo,Monte Carlo Masters,12/04/05,Masters,Outdoor,Clay,1st Round,3,Costa A.,Llodra M.,54,53,7,6,6,2,,,,,,,2,0,Completed,1.28,3.5,1.25,3.85,1.3,3.35,1.25,3.2,1.238,4.5
