ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
23,Monte Carlo,Monte Carlo Masters,15/04/07,Masters,Outdoor,Clay,1st Round,3,Benneteau J.,Balleret B.,41,234,782,166,7,5,5,7,6,2,,,,,2,1,Completed,1.25,3.75,,,1.28,3.46,1.278,4.3,,
23,Monte Carlo,Monte Carlo Masters,15/04/07,Masters,Outdoor,Clay,1st Round,3,Safin M.,Nieminen J.,26,20,1035,1250,5,7,6,3,6,2,,,,,2,1,Completed,1.57,2.25,1.62,2.25,1.68,2.1,1.667,2.4,1.76,2.02
23,Monte Carlo,Monte Carlo Masters,15/04/07,Masters,Outdoor,Clay,1st Round,3,Lee H.T.,Bjorkman J.,49,39,720,804,7,6,6,1,,,,,,,2,0,Completed,1.66,2.1,1.62,2.25,1.7,2.1,1.645,2.45,1.68,2.12
23,Monte Carlo,Monte Carlo Masters,15/04/07,Masters,Outdoor,Clay,1st Round,3,Clement A.,Serra F.,51,67,690,565,6,4,7,6,,,,,,,2,0,Completed,2,1.72,2.1,1.7,2.2,1.63,2.42,1.658,2.04,1.74
23,Monte Carlo,Monte Carlo Masters,16/04/07,Masters,Outdoor,Clay,1st Round,3,Mirnyi M.,Baghdatis M.,54,18,670,1315,7,5,6,4,,,,,,,2,0,Completed,3.75,1.25,3.55,1.28,3.35,1.3,4.05,1.299,3.25,1.32
23,Monte Carlo,Monte Carlo Masters,16/04/07,Masters,Outdoor,Clay,1st Round,3,Seppi A.,Gabashvili T.,101,73,436,540,6,1,6,3,,,,,,,2,0,Completed,1.57,2.25,1.62,2.25,1.6,2.3,1.694,2.34,1.7,2.1
23,Monte Carlo,Monte Carlo Masters,16/04/07,Masters,Outdoor,Clay,1st Round,3,Gicquel M.,Mayer F.,46,40,732,790,7,5,5,7,7,5,,,,,2,1,Completed,2.25,1.57,2.25,1.62,2.1,1.7,2.37,1.68,2.28,1.6
23,Monte Carlo,Monte Carlo Masters,16/04/07,Masters,Outdoor,Clay,1st Round,3,Soderling R.,Rochus O.,28,37,1003,850,6,4,6,4,,,,,,,2,0,Completed,1.66,2.1,1.7,2.1,1.65,2.2,1.671,2.39,1.78,2
23,Monte Carlo,Monte Carlo Masters,16/04/07,Masters,Outdoor,Clay,1st Round,3,Vliegen K.,Mathieu P.H.,52,56,675,655,7,5,6,3,,,,,,,2,0,Completed,3.5,1.28,3.4,1.3,3.59,1.26,3.95,1.308,3.2,1.33
23,Monte Carlo,Monte Carlo Masters,16/04/07,Masters,Outdoor,Clay,1st Round,3,Nalbandian D.,Luzzi F.,12,133,1805,340,3,6,6,2,6,1,,,,,2,1,Completed,1.1,6.5,1.1,6.5,1.1,6.75,1.172,6.3,1.11,6.2
