ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,SJW,SJL,UBW,UBL
23,Monte Carlo,Monte Carlo Masters,12/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Kohlschreiber P.,Gulbis E.,34,42,1570,1393,6,1,6,3,,,,,,,2,0,Completed,1.53,2.37,1.55,2.45,1.5,2.5,1.62,2.2,1.6,2.28
23,Monte Carlo,Monte Carlo Masters,12/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Bolelli S.,Soderling R.,41,24,1446,1950,6,4,1,6,6,3,,,,,2,1,Completed,2.25,1.57,2.45,1.55,2.5,1.5,2.38,1.53,2.45,1.53
23,Monte Carlo,Monte Carlo Masters,12/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Wawrinka S.,Troicki V.,16,38,2620,1527,6,2,6,3,,,,,,,2,0,Completed,1.36,3,1.35,3.2,1.36,3,1.36,2.88,1.4,2.85
23,Monte Carlo,Monte Carlo Masters,12/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Robredo T.,Schuettler R.,14,29,2765,1765,6,1,6,4,,,,,,,2,0,Completed,1.08,7,1.12,6.5,1.125,5.5,1.13,5,1.14,5.5
23,Monte Carlo,Monte Carlo Masters,13/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Chela J.I.,Kunitsyn I.,167,37,480,1543,6,4,2,6,7,5,,,,,2,1,Completed,1.3,3.4,1.35,3.25,1.333,3.25,1.333,3,1.33,3.2
23,Monte Carlo,Monte Carlo Masters,13/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Hernandez O.,Benneteau J.,65,47,1084,1297,6,4,6,4,,,,,,,2,0,Completed,2.5,1.5,2.4,1.6,2.25,1.571,2.5,1.533,2.38,1.55
23,Monte Carlo,Monte Carlo Masters,13/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Hanescu V.,Martin A.,35,96,1551,872,6,2,6,3,,,,,,,2,0,Completed,1.57,2.25,1.52,2.53,1.533,2.375,1.5,2.5,1.53,2.45
23,Monte Carlo,Monte Carlo Masters,13/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Granollers M.,Acasuso J.,54,46,1168,1310,7,6,7,6,,,,,,,2,0,Completed,2.87,1.38,3.25,1.35,3,1.364,2.75,1.4,3,1.37
23,Monte Carlo,Monte Carlo Masters,13/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Seppi A.,Melzer J.,40,31,1495,1655,6,2,6,0,,,,,,,2,0,Completed,1.44,2.62,1.5,2.6,1.533,2.375,2.25,1.571,1.53,2.45
23,Monte Carlo,Monte Carlo Masters,13/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Gicquel M.,Schwank E.,48,53,1258,1185,3,6,6,1,7,6,,,,,2,1,Completed,1.83,1.83,2.05,1.75,1.909,1.8,2,1.727,2.08,1.72
23,Monte Carlo,Monte Carlo Masters,13/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Monaco J.,Chardy J.,60,43,1120,1391,6,2,7,5,,,,,,,2,0,Completed,1.38,2.87,1.49,2.65,1.444,2.625,1.444,2.625,1.51,2.5
23,Monte Carlo,Monte Carlo Masters,13/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Beck A.,Kiefer N.,89,30,911,1730,1,6,7,6,6,4,,,,,2,1,Completed,2.2,1.61,2.13,1.72,2.25,1.571,2.25,1.571,2.15,1.67
23,Monte Carlo,Monte Carlo Masters,13/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Ljubicic I.,Vliegen K.,66,92,1061,886,6,4,6,7,6,4,,,,,2,1,Completed,1.5,2.5,1.51,2.57,1.571,2.25,1.571,2.25,1.54,2.42
23,Monte Carlo,Monte Carlo Masters,13/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Cilic M.,Cipolla F.,18,119,2520,729,6,3,6,2,,,,,,,2,0,Completed,1.38,2.87,1.49,2.65,1.4,2.75,1.4,2.75,1.42,2.8
23,Monte Carlo,Monte Carlo Masters,13/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Lapentti N.,Stepanek R.,98,19,863,2410,6,3,1,6,6,3,,,,,2,1,Completed,3.25,1.33,3.1,1.35,3,1.364,3.2,1.3,2.85,1.4
23,Monte Carlo,Monte Carlo Masters,14/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Tipsarevic J.,Monfils G.,56,10,1145,3600,6,3,6,1,,,,,,,2,0,Completed,4.33,1.2,4.11,1.24,4,1.222,3.75,1.222,3.9,1.24
23,Monte Carlo,Monte Carlo Masters,14/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Fognini F.,Berdych T.,108,25,800,1870,1,6,6,3,6,3,,,,,2,1,Completed,3.75,1.25,4,1.25,3.75,1.25,3.75,1.222,3.6,1.27
23,Monte Carlo,Monte Carlo Masters,14/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Montanes A.,Almagro N.,36,20,1549,2210,7,6,4,6,7,6,,,,,2,1,Completed,4,1.22,3.95,1.25,3.75,1.25,3.25,1.286,3.8,1.25
23,Monte Carlo,Monte Carlo Masters,14/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Lisnard J.R.,Rochus C.,263,62,284,1104,6,2,6,2,,,,,,,2,0,Completed,1.83,1.83,2.1,1.75,1.833,1.833,1.533,2.375,1.82,1.95
23,Monte Carlo,Monte Carlo Masters,14/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Nalbandian D.,Mathieu P.H.,15,39,2735,1525,6,4,3,6,6,3,,,,,2,1,Completed,1.33,3,1.32,3.4,1.333,3.25,1.286,3.25,1.37,3
23,Monte Carlo,Monte Carlo Masters,14/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Vassallo-Arguello M.,Andreev I.,49,22,1248,2025,2,6,7,6,6,2,,,,,2,1,Completed,3.5,1.28,3.1,1.35,3.25,1.333,3,1.333,3.15,1.34
23,Monte Carlo,Monte Carlo Masters,14/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Ferrer D.,Lopez F.,12,32,3125,1590,6,2,6,3,,,,,,,2,0,Completed,1.16,4.5,1.2,4.6,1.222,4,1.167,4.5,1.23,4
23,Monte Carlo,Monte Carlo Masters,14/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Karlovic I.,Serra F.,26,44,1855,1371,6,4,6,4,,,,,,,2,0,Completed,2.5,1.5,2.51,1.54,2.5,1.5,2.5,1.5,2.47,1.52
23,Monte Carlo,Monte Carlo Masters,14/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Safin M.,Hewitt L.,21,57,2110,1145,6,4,7,5,,,,,,,2,0,Completed,2.2,1.61,2.15,1.7,2.25,1.571,2.1,1.667,2.15,1.67
23,Monte Carlo,Monte Carlo Masters,14/04/09,Masters 1000,Outdoor,Clay,2nd Round,3,Beck A.,Simon G.,89,7,911,4010,7,5,6,1,,,,,,,2,0,Completed,5,1.14,4.65,1.2,5,1.143,5.5,1.125,5,1.16
23,Monte Carlo,Monte Carlo Masters,14/04/09,Masters 1000,Outdoor,Clay,2nd Round,3,Murray A.,Hanescu V.,4,35,8840,1551,6,3,6,2,,,,,,,2,0,Completed,1.07,7.5,1.12,6,1.1,6.5,1.05,9,1.07,8.25
23,Monte Carlo,Monte Carlo Masters,14/04/09,Masters 1000,Outdoor,Clay,2nd Round,3,Monaco J.,Robredo T.,60,14,1120,2765,6,2,6,4,,,,,,,2,0,Completed,2.62,1.44,2.8,1.44,2.75,1.4,2.625,1.444,3,1.37
23,Monte Carlo,Monte Carlo Masters,14/04/09,Masters 1000,Outdoor,Clay,2nd Round,3,Djokovic N.,Hernandez O.,3,65,9010,1084,6,1,6,2,,,,,,,2,0,Completed,1.05,9,1.1,6.75,1.071,7.5,1.063,7.5,1.06,9
23,Monte Carlo,Monte Carlo Masters,15/04/09,Masters 1000,Outdoor,Clay,2nd Round,3,Bolelli S.,Tipsarevic J.,41,56,1446,1145,7,5,6,3,,,,,,,2,0,Completed,1.66,2.1,1.7,2.16,1.66,2.1,1.667,2.2,1.72,2.08
23,Monte Carlo,Monte Carlo Masters,15/04/09,Masters 1000,Outdoor,Clay,2nd Round,3,Verdasco F.,Kohlschreiber P.,8,34,3760,1570,6,3,6,4,,,,,,,2,0,Completed,1.28,3.5,1.33,3.2,1.3,3.4,1.25,3.5,1.26,3.7
23,Monte Carlo,Monte Carlo Masters,15/04/09,Masters 1000,Outdoor,Clay,2nd Round,3,Montanes A.,Lisnard J.R.,36,263,1549,284,6,2,6,4,,,,,,,2,0,Completed,1.22,4,1.22,4.33,1.22,4,1.222,3.75,1.2,4.35
23,Monte Carlo,Monte Carlo Masters,15/04/09,Masters 1000,Outdoor,Clay,2nd Round,3,Wawrinka S.,Vassallo-Arguello M.,16,49,2620,1248,2,6,7,5,6,2,,,,,2,1,Completed,1.25,3.75,1.3,3.55,1.25,3.75,1.222,3.75,1.26,3.7
23,Monte Carlo,Monte Carlo Masters,15/04/09,Masters 1000,Outdoor,Clay,2nd Round,3,Davydenko N.,Karlovic I.,9,26,3735,1855,6,4,6,3,,,,,,,2,0,Completed,1.5,2.5,2.3,1.55,1.4,2.75,1.571,2.25,1.5,2.52
23,Monte Carlo,Monte Carlo Masters,15/04/09,Masters 1000,Outdoor,Clay,2nd Round,3,Federer R.,Seppi A.,2,40,11020,1495,6,4,6,4,,,,,,,2,0,Completed,1.08,7,1.15,5.6,1.071,7.5,1.071,7,1.11,6.2
23,Monte Carlo,Monte Carlo Masters,15/04/09,Masters 1000,Outdoor,Clay,2nd Round,3,Nalbandian D.,Granollers M.,15,54,2735,1168,4,6,6,3,6,1,,,,,2,1,Completed,1.25,3.75,1.25,3.95,1.22,4,1.2,4,1.22,4.1
23,Monte Carlo,Monte Carlo Masters,15/04/09,Masters 1000,Outdoor,Clay,2nd Round,3,Fognini F.,Cilic M.,108,18,800,2520,6,2,6,0,,,,,,,2,0,Completed,3.75,1.25,3.3,1.35,3.25,1.33,3,1.333,3.55,1.28
23,Monte Carlo,Monte Carlo Masters,15/04/09,Masters 1000,Outdoor,Clay,2nd Round,3,Nadal R.,Chela J.I.,1,167,14470,480,6,2,6,3,,,,,,,2,0,Completed,1.005,21,1.01,16,1.005,21,1.002,26,1.01,22
23,Monte Carlo,Monte Carlo Masters,15/04/09,Masters 1000,Outdoor,Clay,2nd Round,3,Ferrer D.,Gicquel M.,12,48,3125,1258,6,1,6,0,,,,,,,2,0,Completed,1.11,6,1.13,5.95,1.14,5,1.143,5,1.13,5.7
23,Monte Carlo,Monte Carlo Masters,15/04/09,Masters 1000,Outdoor,Clay,2nd Round,3,Ljubicic I.,Del Potro J.M.,66,5,1061,4790,4,6,6,1,6,4,,,,,2,1,Completed,6.5,1.1,5.6,1.15,5.5,1.125,5.5,1.125,6,1.12
23,Monte Carlo,Monte Carlo Masters,15/04/09,Masters 1000,Outdoor,Clay,2nd Round,3,Lapentti N.,Safin M.,98,21,863,2110,7,6,2,6,7,6,,,,,2,1,Completed,2.25,1.57,2.12,1.73,2.1,1.66,2.2,1.667,2.15,1.67
23,Monte Carlo,Monte Carlo Masters,16/04/09,Masters 1000,Outdoor,Clay,3rd Round,3,Beck A.,Monaco J.,89,60,911,1120,3,6,6,2,7,5,,,,,2,1,Completed,4.5,1.16,4.55,1.2,4,1.22,4.333,1.2,4,1.23
23,Monte Carlo,Monte Carlo Masters,16/04/09,Masters 1000,Outdoor,Clay,3rd Round,3,Wawrinka S.,Federer R.,16,2,2620,11020,6,4,7,5,,,,,,,2,0,Completed,6,1.11,6.35,1.12,5.5,1.12,6.5,1.1,6.35,1.11
23,Monte Carlo,Monte Carlo Masters,16/04/09,Masters 1000,Outdoor,Clay,3rd Round,3,Verdasco F.,Ferrer D.,8,12,3760,3125,6,2,6,1,,,,,,,2,0,Completed,1.8,1.9,1.75,2.1,1.83,1.83,1.909,1.8,1.9,1.86
23,Monte Carlo,Monte Carlo Masters,16/04/09,Masters 1000,Outdoor,Clay,3rd Round,3,Djokovic N.,Montanes A.,3,36,9010,1549,6,1,6,7,6,0,,,,,2,1,Completed,1.08,7,1.1,6.75,1.08,7,1.071,7.5,1.09,7.05
