ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL
23,Monte Carlo,Monte Carlo Masters,11/04/10,Masters 1000,Outdoor,Clay,1st Round,3,Andreev I.,Bolelli S.,50,114,860,445,6,3,6,4,,,,,,,2,0,Completed,1.3,3.4,1.3,3.35,1.33,3.25,1.37,3.53,,
23,Monte Carlo,Monte Carlo Masters,11/04/10,Masters 1000,Outdoor,Clay,1st Round,3,Seppi A.,Rochus O.,46,56,885,779,7,6,,,,,,,,,1,0,Retired,1.44,2.62,1.6,2.3,1.5,2.5,1.585,2.57,1.533,2.375
23,Monte Carlo,Monte Carlo Masters,11/04/10,Masters 1000,Outdoor,Clay,1st Round,3,Berrer M.,Korolev E.,51,71,860,688,6,1,6,4,,,,,,,2,0,Completed,2.2,1.61,2.05,1.75,2,1.727,2.29,1.714,2,1.727
23,Monte Carlo,Monte Carlo Masters,12/04/10,Masters 1000,Outdoor,Clay,1st Round,3,Almagro N.,Greul S.,34,58,1220,769,3,6,7,5,6,2,,,,,2,1,Completed,1.11,6,1.11,5.9,1.167,4.5,1.157,6.43,1.143,5
23,Monte Carlo,Monte Carlo Masters,12/04/10,Masters 1000,Outdoor,Clay,1st Round,3,Golubev A.,Chardy J.,85,43,592,920,6,2,7,6,,,,,,,2,0,Completed,2.62,1.44,2.53,1.48,2.5,1.5,2.75,1.524,2.625,1.444
23,Monte Carlo,Monte Carlo Masters,12/04/10,Masters 1000,Outdoor,Clay,1st Round,3,Nalbandian D.,Beck A.,151,55,335,810,6,3,6,1,,,,,,,2,0,Completed,1.14,5,1.17,4.65,1.2,4.333,1.172,6,1.167,5
23,Monte Carlo,Monte Carlo Masters,12/04/10,Masters 1000,Outdoor,Clay,1st Round,3,Gulbis E.,Chiudinelli M.,44,59,904,766,6,3,6,2,,,,,,,2,0,Completed,1.22,4,1.2,4.25,1.286,3.5,1.267,4.35,1.25,3.5
23,Monte Carlo,Monte Carlo Masters,12/04/10,Masters 1000,Outdoor,Clay,1st Round,3,Berdych T.,Lopez F.,15,35,2270,1205,6,3,6,1,,,,,,,2,0,Completed,1.25,3.75,1.3,3.35,1.3,3.4,1.314,3.86,1.286,3.5
23,Monte Carlo,Monte Carlo Masters,12/04/10,Masters 1000,Outdoor,Clay,1st Round,3,Petzschner P.,Garcia-Lopez G.,49,42,862,964,6,3,2,6,6,2,,,,,2,1,Completed,3.25,1.33,2.85,1.4,2.75,1.4,3.4,1.379,2.875,1.364
23,Monte Carlo,Monte Carlo Masters,12/04/10,Masters 1000,Outdoor,Clay,1st Round,3,Benneteau J.,Dolgopolov O.,36,72,1094,683,6,4,5,7,6,2,,,,,2,1,Completed,1.9,1.8,1.75,2,1.727,2,2.07,1.862,1.833,1.833
23,Monte Carlo,Monte Carlo Masters,12/04/10,Masters 1000,Outdoor,Clay,1st Round,3,Kohlschreiber P.,Bellucci T.,33,31,1265,1322,2,6,6,3,7,6,,,,,2,1,Completed,2.1,1.66,2.1,1.7,1.909,1.8,2.22,1.758,2,1.727
23,Monte Carlo,Monte Carlo Masters,12/04/10,Masters 1000,Outdoor,Clay,1st Round,3,Gasquet R.,Gimeno-Traver D.,75,107,650,484,6,2,4,6,6,2,,,,,2,1,Completed,1.28,3.5,1.28,3.46,1.3,3.4,1.365,3.48,1.25,3.75
23,Monte Carlo,Monte Carlo Masters,12/04/10,Masters 1000,Outdoor,Clay,1st Round,3,Becker B.,Tomic B.,40,295,979,145,6,4,6,2,,,,,,,2,0,Completed,1.4,2.75,1.4,2.8,1.4,2.75,1.463,2.98,1.444,2.625
23,Monte Carlo,Monte Carlo Masters,12/04/10,Masters 1000,Outdoor,Clay,1st Round,3,Ferrer D.,Luczak P.,17,76,2045,644,6,2,6,4,,,,,,,2,0,Completed,1.06,8,1.1,6.25,1.083,7,1.093,9.5,1.071,8
23,Monte Carlo,Monte Carlo Masters,12/04/10,Masters 1000,Outdoor,Clay,1st Round,3,Ferrero J.C.,Granollers M.,16,89,2105,573,6,0,6,3,,,,,,,2,0,Completed,1.16,4.5,1.2,4.25,1.167,4.5,1.239,4.71,1.2,4
23,Monte Carlo,Monte Carlo Masters,12/04/10,Masters 1000,Outdoor,Clay,1st Round,3,Monaco J.,Nieminen J.,24,68,1630,710,7,5,7,5,,,,,,,2,0,Completed,1.33,3.25,1.32,3.22,1.364,3,1.391,3.33,1.333,3
23,Monte Carlo,Monte Carlo Masters,13/04/10,Masters 1000,Outdoor,Clay,1st Round,3,Melzer J.,Mathieu P.H.,27,48,1485,875,6,3,6,2,,,,,,,2,0,Completed,1.44,2.62,1.5,2.5,1.5,2.5,1.51,2.8,1.5,2.625
23,Monte Carlo,Monte Carlo Masters,13/04/10,Masters 1000,Outdoor,Clay,1st Round,3,Serra F.,Robert S.,67,64,710,727,7,6,3,6,6,4,,,,,2,1,Completed,1.4,2.75,1.5,2.45,1.444,2.625,1.5,2.83,1.444,2.625
23,Monte Carlo,Monte Carlo Masters,13/04/10,Masters 1000,Outdoor,Clay,1st Round,3,De Bakker T.,Schwank E.,77,61,643,745,6,3,7,5,,,,,,,2,0,Completed,1.53,2.37,,,1.533,2.375,1.654,2.41,,
23,Monte Carlo,Monte Carlo Masters,13/04/10,Masters 1000,Outdoor,Clay,1st Round,3,Llodra M.,Fognini F.,66,57,717,770,6,3,6,3,,,,,,,2,0,Completed,2.75,1.4,2.53,1.48,2.625,1.444,2.98,1.461,2.625,1.444
23,Monte Carlo,Monte Carlo Masters,13/04/10,Masters 1000,Outdoor,Clay,1st Round,3,Robredo T.,Zeballos H.,23,47,1685,878,6,3,6,3,,,,,,,2,0,Completed,1.3,3.4,1.3,3.4,1.333,3.25,1.398,3.28,1.364,2.875
23,Monte Carlo,Monte Carlo Masters,13/04/10,Masters 1000,Outdoor,Clay,1st Round,3,Troicki V.,Kubot L.,37,41,1075,967,4,6,6,2,6,2,,,,,2,1,Completed,1.61,2.2,1.6,2.25,1.571,2.25,1.769,2.2,1.615,2.25
23,Monte Carlo,Monte Carlo Masters,13/04/10,Masters 1000,Outdoor,Clay,1st Round,3,Wawrinka S.,Hanescu V.,20,39,1780,1025,6,2,6,4,,,,,,,2,0,Completed,1.36,3,1.4,2.8,1.4,2.75,1.4,3.28,1.4,2.75
23,Monte Carlo,Monte Carlo Masters,13/04/10,Masters 1000,Outdoor,Clay,1st Round,3,Montanes A.,Baghdatis M.,32,29,1270,1345,6,4,6,2,,,,,,,2,0,Completed,1.66,2.1,1.75,2,1.73,2,1.758,2.22,1.727,2.1
23,Monte Carlo,Monte Carlo Masters,13/04/10,Masters 1000,Outdoor,Clay,2nd Round,3,Cilic M.,Andreev I.,9,50,2980,860,6,7,6,1,6,4,,,,,2,1,Completed,1.44,2.62,1.55,2.35,1.4,2.75,1.575,2.6,1.444,2.625
23,Monte Carlo,Monte Carlo Masters,13/04/10,Masters 1000,Outdoor,Clay,2nd Round,3,Verdasco F.,Benneteau J.,12,36,2725,1094,6,2,6,1,,,,,,,2,0,Completed,1.14,5,1.2,4.25,1.167,4.5,1.2,5.37,1.222,3.75
23,Monte Carlo,Monte Carlo Masters,13/04/10,Masters 1000,Outdoor,Clay,2nd Round,3,Tsonga J.W.,Almagro N.,10,34,2915,1220,7,6,7,5,,,,,,,2,0,Completed,2.1,1.66,2.05,1.75,1.909,1.8,2.15,1.8,2,1.8
23,Monte Carlo,Monte Carlo Masters,13/04/10,Masters 1000,Outdoor,Clay,2nd Round,3,Berdych T.,Gasquet R.,15,75,2270,650,6,2,6,0,,,,,,,2,0,Completed,1.53,2.37,1.55,2.35,1.5,2.5,1.676,2.36,1.533,2.5
23,Monte Carlo,Monte Carlo Masters,14/04/10,Masters 1000,Outdoor,Clay,2nd Round,3,Ferrero J.C.,Becker B.,16,40,2105,979,6,3,6,4,,,,,,,2,0,Completed,1.03,11,1.05,8.5,1.063,8,1.063,12.5,1.05,9
23,Monte Carlo,Monte Carlo Masters,14/04/10,Masters 1000,Outdoor,Clay,2nd Round,3,Wawrinka S.,Gulbis E.,20,44,1780,904,6,1,6,4,,,,,,,2,0,Completed,1.36,3,1.37,2.95,1.4,2.75,1.36,3.52,1.4,2.75
23,Monte Carlo,Monte Carlo Masters,14/04/10,Masters 1000,Outdoor,Clay,2nd Round,3,Ferrer D.,Golubev A.,17,85,2045,592,6,3,6,2,,,,,,,2,0,Completed,1.06,8,1.11,5.85,1.1,6.5,1.091,9.6,1.071,7
23,Monte Carlo,Monte Carlo Masters,14/04/10,Masters 1000,Outdoor,Clay,2nd Round,3,Montanes A.,Seppi A.,32,46,1270,885,7,6,3,6,6,0,,,,,2,1,Completed,1.44,2.62,1.42,2.75,1.4,2.75,1.476,2.92,1.4,2.75
23,Monte Carlo,Monte Carlo Masters,14/04/10,Masters 1000,Outdoor,Clay,2nd Round,3,Robredo T.,Troicki V.,23,37,1685,1075,6,4,6,3,,,,,,,2,0,Completed,1.28,3.5,1.35,3.05,1.364,3,1.337,3.68,1.364,2.875
23,Monte Carlo,Monte Carlo Masters,14/04/10,Masters 1000,Outdoor,Clay,2nd Round,3,Petzschner P.,Melzer J.,49,27,862,1485,7,6,6,2,,,,,,,2,0,Completed,4,1.22,3.4,1.3,3.4,1.3,4.22,1.278,3.25,1.286
23,Monte Carlo,Monte Carlo Masters,14/04/10,Masters 1000,Outdoor,Clay,2nd Round,3,Djokovic N.,Serra F.,2,67,7630,710,6,2,6,3,,,,,,,2,0,Completed,1.16,4.5,1.15,4.9,1.167,4.5,1.227,4.88,1.167,5
23,Monte Carlo,Monte Carlo Masters,14/04/10,Masters 1000,Outdoor,Clay,2nd Round,3,Berrer M.,Monaco J.,51,24,860,1630,6,4,6,4,,,,,,,2,0,Completed,5.5,1.12,4.65,1.17,4.5,1.167,6.77,1.147,4.5,1.167
23,Monte Carlo,Monte Carlo Masters,14/04/10,Masters 1000,Outdoor,Clay,2nd Round,3,Nadal R.,De Bakker T.,3,77,6980,643,6,1,6,0,,,,,,,2,0,Completed,1.01,15,1.01,13.5,1.01,17,1.014,46,1.02,13
23,Monte Carlo,Monte Carlo Masters,14/04/10,Masters 1000,Outdoor,Clay,2nd Round,3,Ljubicic I.,Llodra M.,14,66,2340,717,6,3,7,6,,,,,,,2,0,Completed,1.36,3,1.45,2.65,1.4,2.75,1.429,3.13,1.4,2.75
23,Monte Carlo,Monte Carlo Masters,14/04/10,Masters 1000,Outdoor,Clay,2nd Round,3,Kohlschreiber P.,Murray A.,33,4,1265,5845,6,2,6,1,,,,,,,2,0,Completed,3.5,1.28,2.92,1.37,3.25,1.333,3.48,1.366,3.2,1.333
23,Monte Carlo,Monte Carlo Masters,14/04/10,Masters 1000,Outdoor,Clay,2nd Round,3,Nalbandian D.,Youzhny M.,151,13,335,2380,4,6,6,3,7,6,,,,,2,1,Completed,1.5,2.5,1.5,2.45,1.533,2.375,1.581,2.58,1.444,2.75
23,Monte Carlo,Monte Carlo Masters,15/04/10,Masters 1000,Outdoor,Clay,3rd Round,3,Montanes A.,Cilic M.,32,9,1270,2980,6,4,6,4,,,,,,,2,0,Completed,3,1.36,2.6,1.45,2.75,1.4,3.06,1.444,2.875,1.4
23,Monte Carlo,Monte Carlo Masters,15/04/10,Masters 1000,Outdoor,Clay,3rd Round,3,Verdasco F.,Berdych T.,12,15,2725,2270,5,7,6,3,6,2,,,,,2,1,Completed,1.83,1.83,1.95,1.8,1.833,1.833,1.917,2.01,1.8,2
23,Monte Carlo,Monte Carlo Masters,15/04/10,Masters 1000,Outdoor,Clay,3rd Round,3,Ferrer D.,Ljubicic I.,17,14,2045,2340,6,0,7,6,,,,,,,2,0,Completed,1.28,3.5,1.3,3.4,1.286,3.5,1.278,4.22,1.333,3.25
23,Monte Carlo,Monte Carlo Masters,15/04/10,Masters 1000,Outdoor,Clay,3rd Round,3,Nadal R.,Berrer M.,3,51,6980,860,6,0,6,1,,,,,,,2,0,Completed,1.005,21,1.01,13.5,1.005,21,1.01,66,1.007,21
23,Monte Carlo,Monte Carlo Masters,15/04/10,Masters 1000,Outdoor,Clay,3rd Round,3,Nalbandian D.,Robredo T.,151,23,335,1685,6,3,6,4,,,,,,,2,0,Completed,1.66,2.1,1.65,2.15,1.667,2.1,1.855,2.08,1.8,2
23,Monte Carlo,Monte Carlo Masters,15/04/10,Masters 1000,Outdoor,Clay,3rd Round,3,Ferrero J.C.,Tsonga J.W.,16,10,2105,2915,6,1,3,6,7,5,,,,,2,1,Completed,1.53,2.37,1.53,2.4,1.571,2.25,1.61,2.51,1.533,2.5
23,Monte Carlo,Monte Carlo Masters,15/04/10,Masters 1000,Outdoor,Clay,3rd Round,3,Kohlschreiber P.,Petzschner P.,33,49,1265,862,6,3,6,4,,,,,,,2,0,Completed,1.2,4.33,1.28,3.46,1.222,4,1.249,4.56,1.25,3.75
23,Monte Carlo,Monte Carlo Masters,15/04/10,Masters 1000,Outdoor,Clay,3rd Round,3,Djokovic N.,Wawrinka S.,2,20,7630,1780,6,4,6,4,,,,,,,2,0,Completed,1.36,3,1.45,2.6,1.444,2.625,1.472,2.94,1.4,2.875
23,Monte Carlo,Monte Carlo Masters,16/04/10,Masters 1000,Outdoor,Clay,Quarterfinals,3,Ferrer D.,Kohlschreiber P.,17,33,2045,1265,7,5,7,6,,,,,,,2,0,Completed,1.28,3.5,1.3,3.35,1.364,3,1.353,3.56,1.333,3.25
23,Monte Carlo,Monte Carlo Masters,16/04/10,Masters 1000,Outdoor,Clay,Quarterfinals,3,Nadal R.,Ferrero J.C.,3,16,6980,2105,6,4,6,2,,,,,,,2,0,Completed,1.06,8,1.04,9.25,1.05,8.5,1.1,9.05,1.063,8.5
23,Monte Carlo,Monte Carlo Masters,16/04/10,Masters 1000,Outdoor,Clay,Quarterfinals,3,Djokovic N.,Nalbandian D.,2,151,7630,335,6,2,6,3,,,,,,,2,0,Completed,1.4,2.75,1.55,2.35,1.5,2.5,1.524,2.75,1.571,2.375
23,Monte Carlo,Monte Carlo Masters,16/04/10,Masters 1000,Outdoor,Clay,Quarterfinals,3,Verdasco F.,Montanes A.,12,32,2725,1270,6,3,6,7,6,0,,,,,2,1,Completed,1.2,4.33,1.2,4.25,1.2,4.33,1.294,4.05,1.25,3.75
23,Monte Carlo,Monte Carlo Masters,17/04/10,Masters 1000,Outdoor,Clay,Semifinals,3,Nadal R.,Ferrer D.,3,17,6980,2045,6,2,6,3,,,,,,,2,0,Completed,1.07,8,1.07,7.25,1.083,7,1.103,8.88,1.071,8
