ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
23,Monte Carlo,Monte Carlo Masters,10/04/11,Masters 1000,Outdoor,Clay,1st Round,3,Ljubicic I.,Chardy J.,40,54,1065,920,6,1,6,2,,,,,,,2,0,Completed,2,1.72,2,1.75,1.91,1.8,2.06,1.85,1.83,1.83,2.08,1.91,1.94,1.81
23,Monte Carlo,Monte Carlo Masters,10/04/11,Masters 1000,Outdoor,Clay,1st Round,3,Raonic M.,Llodra M.,34,25,1173,1425,6,3,0,6,6,0,,,,,2,1,Completed,1.72,2,1.75,2,1.73,2,1.7,2.29,1.73,2,1.83,2.29,1.74,2.04
23,Monte Carlo,Monte Carlo Masters,10/04/11,Masters 1000,Outdoor,Clay,1st Round,3,Gulbis E.,Dolgopolov O.,30,21,1220,1500,6,1,6,4,,,,,,,2,0,Completed,2.75,1.4,2.65,1.45,2.75,1.4,2.92,1.47,2.75,1.4,3,1.49,2.75,1.42
23,Monte Carlo,Monte Carlo Masters,10/04/11,Masters 1000,Outdoor,Clay,1st Round,3,Kohlschreiber P.,Golubev A.,32,39,1190,1066,5,7,7,6,6,4,,,,,2,1,Completed,1.4,2.75,1.4,2.8,1.44,2.63,1.32,3.73,1.4,2.75,1.44,3.73,1.38,2.98
23,Monte Carlo,Monte Carlo Masters,11/04/11,Masters 1000,Outdoor,Clay,1st Round,3,Mayer F.,Youzhny M.,35,14,1128,2205,6,3,2,6,6,3,,,,,2,1,Completed,2.1,1.66,2.08,1.7,2,1.73,2.13,1.8,2.1,1.67,2.2,1.91,2.06,1.72
23,Monte Carlo,Monte Carlo Masters,11/04/11,Masters 1000,Outdoor,Clay,1st Round,3,Troicki V.,Lisnard J.R.,16,694,1790,23,7,6,6,1,,,,,,,2,0,Completed,1.03,11,1.05,8,1.05,8.5,1.04,16,1.05,9,1.05,17.5,1.04,11.03
23,Monte Carlo,Monte Carlo Masters,11/04/11,Masters 1000,Outdoor,Clay,1st Round,3,Gimeno-Traver D.,Giraldo S.,61,49,829,965,7,6,7,5,,,,,,,2,0,Completed,3.25,1.33,3,1.35,3,1.36,3.28,1.39,3,1.33,3.4,1.43,3.11,1.34
23,Monte Carlo,Monte Carlo Masters,11/04/11,Masters 1000,Outdoor,Clay,1st Round,3,Rochus O.,Chela J.I.,78,42,637,1060,6,4,5,7,7,5,,,,,2,1,Completed,2.75,1.4,2.6,1.45,2.75,1.4,2.89,1.47,2.88,1.36,3.03,1.47,2.78,1.41
23,Monte Carlo,Monte Carlo Masters,11/04/11,Masters 1000,Outdoor,Clay,1st Round,3,Almagro N.,Granollers M.,12,50,2350,958,6,3,6,3,,,,,,,2,0,Completed,1.16,4.5,1.2,4.25,1.22,4,1.23,4.65,1.2,4,1.23,4.8,1.2,4.32
23,Monte Carlo,Monte Carlo Masters,11/04/11,Masters 1000,Outdoor,Clay,1st Round,3,Gasquet R.,Istomin D.,18,55,1700,895,5,7,6,3,6,4,,,,,2,1,Completed,1.12,5.5,1.12,5.48,1.14,5,1.18,5.76,1.17,5,1.18,6.5,1.15,5.2
23,Monte Carlo,Monte Carlo Masters,11/04/11,Masters 1000,Outdoor,Clay,1st Round,3,Robredo T.,Dodig I.,29,57,1245,876,6,4,6,2,,,,,,,2,0,Completed,1.22,4,1.25,3.75,1.3,3.4,1.23,4.73,1.29,3.25,1.29,4.73,1.24,3.89
23,Monte Carlo,Monte Carlo Masters,11/04/11,Masters 1000,Outdoor,Clay,1st Round,3,Gil F.,Stakhovsky S.,82,38,621,1075,6,1,6,3,,,,,,,2,0,Completed,1.4,2.75,1.4,2.8,1.5,2.5,1.36,3.45,1.44,2.63,1.47,3.45,1.41,2.84
23,Monte Carlo,Monte Carlo Masters,11/04/11,Masters 1000,Outdoor,Clay,1st Round,3,Stepanek R.,Baghdatis M.,70,26,758,1375,3,6,6,1,7,6,,,,,2,1,Completed,1.57,2.25,1.65,2.15,1.67,2.1,1.64,2.41,1.62,2.2,1.74,2.43,1.63,2.21
23,Monte Carlo,Monte Carlo Masters,11/04/11,Masters 1000,Outdoor,Clay,1st Round,3,Haase R.,Davydenko N.,63,41,813,1060,7,5,4,6,6,4,,,,,2,1,Completed,3.25,1.33,2.8,1.4,2.75,1.4,3.28,1.39,2.75,1.4,3.35,1.42,2.97,1.37
23,Monte Carlo,Monte Carlo Masters,11/04/11,Masters 1000,Outdoor,Clay,1st Round,3,Tsonga J.W.,Monaco J.,17,36,1715,1110,4,6,6,3,6,2,,,,,2,1,Completed,2,1.72,2.05,1.7,2,1.73,2.22,1.74,2,1.8,2.3,1.8,2.06,1.72
23,Monte Carlo,Monte Carlo Masters,11/04/11,Masters 1000,Outdoor,Clay,1st Round,3,Cilic M.,Volandri F.,22,76,1495,668,6,2,6,1,,,,,,,2,0,Completed,1.25,3.75,1.3,3.3,1.36,3,1.32,3.77,1.36,3,1.44,3.84,1.31,3.36
