ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
23,Monte Carlo,Monte Carlo Masters,12/04/15,Masters 1000,Outdoor,Clay,1st Round,3,Estrella Burgos V.,Bolelli S.,55,49,861,931,6,4,7,6,,,,,,,2,0,Completed,3.25,1.33,3.1,1.35,3,1.36,3.22,1.4,3.75,1.4,3.12,1.35
23,Monte Carlo,Monte Carlo Masters,12/04/15,Masters 1000,Outdoor,Clay,1st Round,3,Tomic B.,Rosol L.,26,31,1365,1220,4,6,6,2,6,3,,,,,2,1,Completed,2.2,1.61,2.2,1.65,2,1.73,2.27,1.71,2.27,1.75,2.13,1.68
23,Monte Carlo,Monte Carlo Masters,12/04/15,Masters 1000,Outdoor,Clay,1st Round,3,Mayer F.,Youzhny M.,N/A,58,N/A,825,7,6,6,4,,,,,,,2,0,Completed,3.4,1.3,3.1,1.35,3.4,1.3,3.39,1.37,3.5,1.37,3.23,1.33
23,Monte Carlo,Monte Carlo Masters,13/04/15,Masters 1000,Outdoor,Clay,1st Round,3,Haider-Maurer A.,Gulbis E.,52,17,876,1910,6,1,6,0,,,,,,,2,0,Completed,2.5,1.5,2.35,1.58,2.25,1.57,2.8,1.5,2.8,1.62,2.43,1.54
23,Monte Carlo,Monte Carlo Masters,13/04/15,Masters 1000,Outdoor,Clay,1st Round,3,Kohlschreiber P.,Kukushkin M.,25,53,1395,867,6,4,6,4,,,,,,,2,0,Completed,1.28,3.5,1.25,3.75,1.3,3.4,1.29,3.97,1.32,4,1.28,3.57
23,Monte Carlo,Monte Carlo Masters,13/04/15,Masters 1000,Outdoor,Clay,1st Round,3,Dolgopolov O.,Coric B.,71,54,670,862,7,5,5,7,6,2,,,,,2,1,Completed,1.33,3.25,1.28,3.5,1.33,3.25,1.33,3.7,1.4,3.72,1.31,3.33
23,Monte Carlo,Monte Carlo Masters,13/04/15,Masters 1000,Outdoor,Clay,1st Round,3,Paire B.,Kudla D.,90,150,587,356,6,3,7,6,,,,,,,2,0,Completed,1.36,3,1.35,3.1,1.36,3,1.48,2.86,1.48,3.3,1.37,3.01
23,Monte Carlo,Monte Carlo Masters,13/04/15,Masters 1000,Outdoor,Clay,1st Round,3,Stakhovsky S.,Carreno-Busta P.,50,57,894,841,7,6,4,6,6,4,,,,,2,1,Completed,2.75,1.4,2.7,1.42,2.75,1.4,2.64,1.55,2.85,1.55,2.69,1.44
23,Monte Carlo,Monte Carlo Masters,13/04/15,Masters 1000,Outdoor,Clay,1st Round,3,Goffin D.,Gombos N.,21,124,1695,463,6,1,6,4,,,,,,,2,0,Completed,1.2,4.33,1.2,4,1.17,4.5,1.24,4.55,1.24,4.76,1.2,4.28
23,Monte Carlo,Monte Carlo Masters,13/04/15,Masters 1000,Outdoor,Clay,1st Round,3,Sousa J.,Roger-Vasselin E.,56,133,852,417,6,1,3,6,6,0,,,,,2,1,Completed,2.5,1.5,2.5,1.48,2.5,1.5,2.64,1.55,2.64,1.57,2.5,1.51
23,Monte Carlo,Monte Carlo Masters,13/04/15,Masters 1000,Outdoor,Clay,1st Round,3,Ramos-Vinolas A.,Haase R.,67,87,742,596,6,1,6,1,,,,,,,2,0,Completed,,,,,,,,,,,,
23,Monte Carlo,Monte Carlo Masters,13/04/15,Masters 1000,Outdoor,Clay,1st Round,3,Fognini F.,Janowicz J.,28,47,1285,940,6,3,6,1,,,,,,,2,0,Completed,1.5,2.5,1.55,2.4,1.57,2.25,1.61,2.47,1.61,2.7,1.53,2.45
23,Monte Carlo,Monte Carlo Masters,13/04/15,Masters 1000,Outdoor,Clay,1st Round,3,Bautista R.,Becker B.,16,45,1940,990,6,0,6,2,,,,,,,2,0,Completed,1.12,6,1.12,5.75,1.12,5.5,1.12,7.55,1.16,7.55,1.12,5.86
23,Monte Carlo,Monte Carlo Masters,13/04/15,Masters 1000,Outdoor,Clay,1st Round,3,Isner J.,Johnson S.,19,51,1720,880,6,4,6,4,,,,,,,2,0,Completed,1.44,2.62,1.5,2.5,1.4,2.75,1.6,2.52,1.6,3,1.48,2.6
23,Monte Carlo,Monte Carlo Masters,14/04/15,Masters 1000,Outdoor,Clay,1st Round,3,Granollers M.,Mannarino A.,63,30,765,1258,6,3,6,0,,,,,,,2,0,Completed,2.2,1.61,2.15,1.68,2.25,1.57,2.37,1.66,2.4,1.71,2.21,1.64
23,Monte Carlo,Monte Carlo Masters,14/04/15,Masters 1000,Outdoor,Clay,1st Round,3,Monfils G.,Kuznetsov An.,18,101,1750,533,4,6,6,3,6,4,,,,,2,1,Completed,1.2,4.33,1.18,4.5,1.2,4.33,1.22,4.85,1.23,5,1.19,4.45
23,Monte Carlo,Monte Carlo Masters,14/04/15,Masters 1000,Outdoor,Clay,1st Round,3,Pouille L.,Thiem D.,108,44,515,1030,6,4,6,4,,,,,,,2,0,Completed,4,1.22,4,1.2,4,1.22,4.48,1.25,4.6,1.25,4.17,1.21
23,Monte Carlo,Monte Carlo Masters,14/04/15,Masters 1000,Outdoor,Clay,1st Round,3,Monaco J.,Vesely J.,42,46,1090,978,6,4,6,2,,,,,,,2,0,Completed,1.44,2.62,1.4,2.8,1.36,3,1.64,2.42,1.64,3.15,1.42,2.83
23,Monte Carlo,Monte Carlo Masters,14/04/15,Masters 1000,Outdoor,Clay,1st Round,3,Robredo T.,Seppi A.,20,38,1720,1125,6,3,1,6,6,4,,,,,2,1,Completed,1.57,2.25,1.55,2.4,1.53,2.38,1.79,2.14,1.79,2.5,1.6,2.3
23,Monte Carlo,Monte Carlo Masters,14/04/15,Masters 1000,Outdoor,Clay,1st Round,3,Chardy J.,Schwartzman D.,35,64,1155,759,7,5,6,2,,,,,,,2,0,Completed,1.61,2.2,1.55,2.4,1.53,2.38,1.75,2.2,1.75,2.5,1.6,2.29
23,Monte Carlo,Monte Carlo Masters,14/04/15,Masters 1000,Outdoor,Clay,1st Round,3,Tsonga J.W.,Struff J.L.,14,76,2135,656,6,4,6,4,,,,,,,2,0,Completed,1.28,3.5,1.25,3.5,1.25,3.75,1.34,3.56,1.34,4,1.28,3.55
23,Monte Carlo,Monte Carlo Masters,14/04/15,Masters 1000,Outdoor,Clay,1st Round,3,Troicki V.,Klizan M.,37,29,1127,1272,7,6,5,7,6,2,,,,,2,1,Completed,1.8,1.9,1.82,1.9,1.83,1.83,1.97,1.93,1.97,2.1,1.86,1.9
23,Monte Carlo,Monte Carlo Masters,14/04/15,Masters 1000,Outdoor,Clay,1st Round,3,Simon G.,Balleret B.,13,348,2210,131,6,4,6,2,,,,,,,2,0,Completed,1.07,9,1.08,7.25,1.06,8,1.08,9.65,1.08,10.5,1.06,8.53
