ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
23,Monte Carlo,Monte Carlo Masters,14/04/2019,Masters 1000,Outdoor,Clay,1st Round,3,Coric B.,Hurkacz H.,13,52,2345,934,6,4,5,7,7,5,,,,,2,1,Completed,1.5,2.5,1.54,2.66,1.56,2.7,1.5,2.56
23,Monte Carlo,Monte Carlo Masters,14/04/2019,Masters 1000,Outdoor,Clay,1st Round,3,Dimitrov G.,Berrettini M.,28,55,1300,927,7,5,6,4,,,,,,,2,0,Completed,1.72,2,1.75,2.2,1.8,2.2,1.74,2.1
23,Monte Carlo,Monte Carlo Masters,14/04/2019,Masters 1000,Outdoor,Clay,1st Round,3,Pella G.,Djere L.,35,32,1205,1246,6,7,6,2,6,4,,,,,2,1,Completed,1.61,2.2,1.73,2.24,1.73,2.3,1.68,2.18
23,Monte Carlo,Monte Carlo Masters,14/04/2019,Masters 1000,Outdoor,Clay,1st Round,3,Wawrinka S.,Pouille L.,36,31,1185,1275,7,5,6,3,,,,,,,2,0,Completed,1.36,3,1.4,3.21,1.44,3.21,1.39,3
23,Monte Carlo,Monte Carlo Masters,15/04/2019,Masters 1000,Outdoor,Clay,1st Round,3,Fucsovics M.,Basilashvili N.,37,17,1180,1930,7,5,3,6,6,1,,,,,2,1,Completed,1.72,2,1.75,2.2,1.83,2.25,1.76,2.05
23,Monte Carlo,Monte Carlo Masters,15/04/2019,Masters 1000,Outdoor,Clay,1st Round,3,Bautista Agut R.,Millman J.,22,39,1680,1095,3,6,6,1,6,1,,,,,2,1,Completed,1.2,4.33,1.17,5.82,1.22,5.82,1.17,5.02
23,Monte Carlo,Monte Carlo Masters,15/04/2019,Masters 1000,Outdoor,Clay,1st Round,3,Lajovic D.,Jaziri M.,48,71,950,757,6,4,6,4,,,,,,,2,0,Completed,1.36,3,1.38,3.36,1.44,3.4,1.36,3.13
23,Monte Carlo,Monte Carlo Masters,15/04/2019,Masters 1000,Outdoor,Clay,1st Round,3,Medvedev D.,Sousa J.,14,51,2295,937,6,1,6,1,,,,,,,2,0,Completed,1.53,2.37,1.6,2.5,1.6,2.6,1.55,2.44
23,Monte Carlo,Monte Carlo Masters,15/04/2019,Masters 1000,Outdoor,Clay,1st Round,3,Struff J.L.,Shapovalov D.,44,20,990,1820,5,7,6,3,6,1,,,,,2,1,Completed,2.25,1.57,2.33,1.68,2.38,1.85,2.24,1.64
23,Monte Carlo,Monte Carlo Masters,15/04/2019,Masters 1000,Outdoor,Clay,1st Round,3,Kohlschreiber P.,Daniel T.,40,72,1090,753,6,1,6,3,,,,,,,2,0,Completed,1.28,3.5,1.4,3.22,1.4,3.6,1.32,3.34
