ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,1st Round,3,Arazi H.,Russell M.,34,89,6,4,6,3,,,,,,,2,0,Completed,1.55,2.3,1.6,2,1.65,1.85,1.533,2.375
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,1st Round,3,Behr N.,Prinosil D.,197,53,6,1,7,6,,,,,,,2,0,Completed,2.4,1.5,2.2,1.5,2.1,1.5,2.375,1.533
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,1st Round,3,Black W.,Lareau S.,141,133,6,1,6,2,,,,,,,2,0,Completed,2.4,1.5,1.95,1.65,1.85,1.65,2.2,1.615
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,1st Round,3,Clavet F.,Delgado J.,71,129,7,5,6,4,,,,,,,2,0,Completed,,,,,,,,
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,1st Round,3,Clement A.,Mamiit C.,12,111,6,1,4,6,6,4,,,,,2,1,Completed,1.28,3.25,1.33,2.7,1.35,2.5,1.333,3
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,1st Round,3,Costa A.,Llodra M.,44,116,3,6,7,5,7,5,,,,,2,1,Completed,2.1,1.65,2,1.65,1.8,1.7,1.833,1.833
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,1st Round,3,Escude N.,Safin M.,28,3,6,4,5,2,,,,,,,1,0,Retired,2.45,1.5,2.2,1.5,2.2,1.45,2.5,1.5
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,1st Round,3,Ferrero J.C.,Novak J.,4,32,6,3,6,4,,,,,,,2,0,Completed,1.48,2.45,1.38,2.6,1.5,2.1,1.444,2.625
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,1st Round,3,Gambill J.M.,Schalken S.,21,29,6,1,6,4,,,,,,,2,0,Completed,1.35,2.95,1.31,2.9,1.25,3,1.333,3
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,1st Round,3,Gaudio G.,Arthurs W.,58,50,7,6,7,6,,,,,,,2,0,Completed,2.25,1.57,2.15,1.53,2,1.55,2.375,1.533
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,1st Round,3,Golmard J.,Black B.,48,117,6,2,6,2,,,,,,,2,0,Completed,,,1.5,2.3,1.6,1.9,1.533,2.375
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,1st Round,3,Haas T.,Calatrava A.,24,66,6,4,6,3,,,,,,,2,0,Completed,1.25,3.5,1.25,3.1,1.25,3,1.25,3.5
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,1st Round,3,Henman T.,Srichaphan P.,8,114,6,3,6,3,,,,,,,2,0,Completed,1.16,4.5,1.15,4,1.15,3.8,1.143,5
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,1st Round,3,Hewitt L.,Larose S.,5,306,6,0,5,7,6,3,,,,,2,1,Completed,1.02,10,1.07,5.5,1.05,5,1.063,8
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,1st Round,3,Hrbaty D.,Nestor D.,19,150,7,6,6,4,,,,,,,2,0,Completed,1.7,2,1.65,1.95,1.75,1.75,1.667,2.1
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,1st Round,3,Johansson T.,Woodruff C.,15,91,7,6,6,1,,,,,,,2,0,Completed,1.35,2.9,1.4,2.45,1.35,2.5,1.4,2.75
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,1st Round,3,Kiefer N.,Enqvist T.,26,13,6,2,7,5,,,,,,,2,0,Completed,2.15,1.6,1.9,1.7,1.8,1.7,2.2,1.615
