ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
48,Montreal,Rogers Cup,08/08/05,Masters,Outdoor,Hard,1st Round,3,Mello R.,Bester P.,56,978,648,7,6,4,6,2,,,,,,,2,0,Completed,1.1,6.5,,,1.07,7.19,1.1,5,1.132,7.84
48,Montreal,Rogers Cup,08/08/05,Masters,Outdoor,Hard,1st Round,3,Pavel A.,Rochus C.,38,48,855,739,6,1,7,5,,,,,,,2,0,Completed,1.44,2.62,1.45,2.75,1.45,2.6,1.4,2.5,1.493,2.83
48,Montreal,Rogers Cup,08/08/05,Masters,Outdoor,Hard,1st Round,3,Ancic M.,Saulnier C.,29,68,1115,555,6,3,7,6,,,,,,,2,0,Completed,1.14,5,1.2,4.55,1.2,4.25,1.2,3.6,1.239,4.79
48,Montreal,Rogers Cup,08/08/05,Masters,Outdoor,Hard,1st Round,3,Gasquet R.,Youzhny M.,18,25,1425,1245,6,3,7,6,,,,,,,2,0,Completed,1.5,2.5,1.55,2.45,1.5,2.45,1.5,2.2,1.595,2.58
48,Montreal,Rogers Cup,08/08/05,Masters,Outdoor,Hard,1st Round,3,Robredo T.,Kim K.,22,77,1290,511,7,5,3,6,6,1,,,,,2,1,Completed,1.53,2.37,1.55,2.45,1.45,2.6,1.4,2.5,1.546,2.73
48,Montreal,Rogers Cup,08/08/05,Masters,Outdoor,Hard,1st Round,3,Rochus O.,Mahut N.,35,172,983,240,6,3,6,4,,,,,,,2,0,Completed,1.36,3,1.37,3.1,1.37,2.92,1.4,2.5,1.407,3.26
48,Montreal,Rogers Cup,08/08/05,Masters,Outdoor,Hard,1st Round,3,Hrbaty D.,Henman T.,26,13,1241,1510,3,6,7,5,6,1,,,,,2,1,Completed,2.25,1.57,2.3,1.62,2.15,1.65,2.1,1.55,2.52,1.617
48,Montreal,Rogers Cup,08/08/05,Masters,Outdoor,Hard,1st Round,3,Beck K.,Okun N.,44,164,812,255,6,3,6,2,,,,,,,2,0,Completed,1.39,2.75,1.48,2.65,1.4,2.85,1.35,2.7,1.546,2.68
48,Montreal,Rogers Cup,08/08/05,Masters,Outdoor,Hard,1st Round,3,Bjorkman J.,Spadea V.,129,42,348,835,6,3,6,2,,,,,,,2,0,Completed,2.25,1.57,2.15,1.7,2.35,1.55,2,1.6,2.65,1.556
48,Montreal,Rogers Cup,08/08/05,Masters,Outdoor,Hard,1st Round,3,Mirnyi M.,Gonzalez F.,30,19,1105,1385,7,6,6,4,,,,,,,2,0,Completed,2.2,1.61,2.15,1.7,2.35,1.55,2.1,1.55,2.42,1.658
48,Montreal,Rogers Cup,08/08/05,Masters,Outdoor,Hard,1st Round,3,Nalbandian D.,Chela J.I.,12,52,1650,675,6,4,6,1,,,,,,,2,0,Completed,1.53,2.37,1.67,2.2,1.65,2.15,1.45,2.35,1.645,2.45
48,Montreal,Rogers Cup,08/08/05,Masters,Outdoor,Hard,1st Round,3,Gaudio G.,Sanguinetti D.,8,54,1875,654,1,6,7,6,7,5,,,,,2,1,Completed,1.36,3,1.48,2.65,1.4,2.85,1.35,2.7,1.45,3.02
48,Montreal,Rogers Cup,09/08/05,Masters,Outdoor,Hard,1st Round,3,Rusedski G.,Wawrinka S.,40,55,843,652,6,7,6,2,6,3,,,,,2,1,Completed,1.44,2.62,1.57,2.4,1.55,2.35,1.45,2.35,1.538,2.74
48,Montreal,Rogers Cup,09/08/05,Masters,Outdoor,Hard,1st Round,3,Agassi A.,Martin A.,7,61,1915,637,6,4,6,2,,,,,,,2,0,Completed,1.05,9,1.08,8,1.07,7.19,1.05,6,1.055,15.5
48,Montreal,Rogers Cup,09/08/05,Masters,Outdoor,Hard,1st Round,3,Puerta M.,Horna L.,11,62,1652,613,7,6,7,6,,,,,,,2,0,Completed,3.75,1.25,4,1.25,3.74,1.25,2.7,1.35,4.6,1.25
48,Montreal,Rogers Cup,09/08/05,Masters,Outdoor,Hard,1st Round,3,Davydenko N.,Niemeyer F.,6,194,2115,213,6,2,6,1,,,,,,,2,0,Completed,1.12,5.5,1.16,5.25,1.15,5.2,1.15,4,1.169,6.3
48,Montreal,Rogers Cup,09/08/05,Masters,Outdoor,Hard,1st Round,3,Kiefer N.,Massu N.,39,31,845,1095,6,3,6,2,,,,,,,2,0,Completed,1.44,2.62,1.53,2.5,1.5,2.45,1.55,2.1,1.524,2.81
48,Montreal,Rogers Cup,09/08/05,Masters,Outdoor,Hard,1st Round,3,El Aynaoui Y.,Lopez F.,423,24,64,1250,7,6,6,3,,,,,,,2,0,Completed,8,1.06,10,1.05,7.79,1.06,6,1.05,12.42,1.069
48,Montreal,Rogers Cup,09/08/05,Masters,Outdoor,Hard,1st Round,3,Serra F.,Hewitt L.,90,3,468,3455,4,3,,,,,,,,,0,0,Retired,8.5,1.05,8,1.08,7.79,1.06,5,1.1,10,1.083
48,Montreal,Rogers Cup,09/08/05,Masters,Outdoor,Hard,1st Round,3,Soderling R.,Stepanek R.,45,17,775,1435,6,3,6,4,,,,,,,2,0,Completed,2.2,1.61,2.1,1.73,1.95,1.8,1.95,1.65,2.4,1.667
48,Montreal,Rogers Cup,09/08/05,Masters,Outdoor,Hard,1st Round,3,Dent T.,Ljubicic I.,21,16,1345,1470,1,6,7,5,6,3,,,,,2,1,Completed,2,1.72,2.05,1.77,1.87,1.87,1.8,1.8,2.18,1.781
48,Montreal,Rogers Cup,09/08/05,Masters,Outdoor,Hard,1st Round,3,Berdych T.,Melzer J.,33,37,1016,880,6,1,6,3,,,,,,,2,0,Completed,1.61,2.2,1.67,2.2,1.51,2.46,1.75,1.85,1.676,2.38
48,Montreal,Rogers Cup,09/08/05,Masters,Outdoor,Hard,1st Round,3,Novak J.,Andreev I.,23,50,1275,729,6,4,6,7,6,1,,,,,2,1,Completed,1.66,2.1,1.65,2.25,1.7,2.1,1.6,2,1.704,2.32
48,Montreal,Rogers Cup,09/08/05,Masters,Outdoor,Hard,1st Round,3,Nadal R.,Moya C.,2,32,4030,1075,6,3,6,7,6,3,,,,,2,1,Completed,1.16,4.5,1.2,4.55,1.2,4.25,1.2,3.6,1.21,5.36
48,Montreal,Rogers Cup,09/08/05,Masters,Outdoor,Hard,1st Round,3,Ferrer D.,Santoro F.,20,80,1365,501,3,6,6,1,6,2,,,,,2,1,Completed,1.61,2.2,1.67,2.2,1.7,2.1,1.6,2,1.84,2.09
