ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,SJW,SJL,UBW,UBL
46,Montreal,Rogers Masters,10/08/09,Masters 1000,Outdoor,Hard,1st Round,3,Youzhny M.,Cilic M.,65,15,850,2380,4,6,7,6,6,1,,,,,2,1,Completed,2.75,1.4,2.75,1.42,2.62,1.44,2.75,1.4,2.95,1.38
46,Montreal,Rogers Masters,10/08/09,Masters 1000,Outdoor,Hard,1st Round,3,Andreev I.,Tursunov D.,28,33,1440,1305,5,5,,,,,,,,,0,0,Retired,1.53,2.37,1.6,2.3,1.533,2.375,1.62,2.25,1.54,2.4
46,Montreal,Rogers Masters,10/08/09,Masters 1000,Outdoor,Hard,1st Round,3,Schuettler R.,Serra F.,91,52,700,936,6,4,6,0,,,,,,,2,0,Completed,2,1.72,2,1.75,2.1,1.667,2.1,1.67,2.15,1.67
46,Montreal,Rogers Masters,10/08/09,Masters 1000,Outdoor,Hard,1st Round,3,Niemeyer F.,Kunitsyn I.,487,39,81,1213,7,5,6,1,,,,,,,2,0,Completed,3.5,1.28,3.46,1.28,3.4,1.3,3.25,1.333,3.6,1.27
46,Montreal,Rogers Masters,10/08/09,Masters 1000,Outdoor,Hard,1st Round,3,Mathieu P.H.,Garcia-Lopez G.,27,54,1495,924,7,5,0,6,6,1,,,,,2,1,Completed,1.4,2.75,1.4,2.85,1.44,2.62,1.44,2.63,1.45,2.67
46,Montreal,Rogers Masters,10/08/09,Masters 1000,Outdoor,Hard,1st Round,3,Chardy J.,Lu Y.H.,36,60,1222,871,6,7,6,3,6,4,,,,,2,1,Completed,1.33,3.25,1.3,3.35,1.364,3,1.33,3,1.33,3.2
46,Montreal,Rogers Masters,10/08/09,Masters 1000,Outdoor,Hard,1st Round,3,Polansky P.,Agostinelli B.,225,1171,256,7,6,3,7,6,,,,,,,2,0,Completed,1.22,4,1.2,4.25,1.25,3.75,1.25,3.75,1.25,3.8
46,Montreal,Rogers Masters,10/08/09,Masters 1000,Outdoor,Hard,1st Round,3,Wawrinka S.,Kiefer N.,22,110,1795,580,6,4,6,1,,,,,,,2,0,Completed,1.53,2.37,1.6,2.25,1.533,2.375,1.571,2.25,1.55,2.38
46,Montreal,Rogers Masters,10/08/09,Masters 1000,Outdoor,Hard,1st Round,3,Petzschner P.,Querrey S.,45,26,1040,1510,7,5,6,3,,,,,,,2,0,Completed,4.33,1.2,4.25,1.2,3.75,1.25,3.75,1.222,4,1.23
46,Montreal,Rogers Masters,10/08/09,Masters 1000,Outdoor,Hard,1st Round,3,Monfils G.,Safin M.,13,61,2640,865,6,2,3,6,6,2,,,,,2,1,Completed,1.57,2.25,1.6,2.3,1.571,2.25,1.67,2.1,1.6,2.28
46,Montreal,Rogers Masters,11/08/09,Masters 1000,Outdoor,Hard,1st Round,3,Mayer L.,Zverev M.,62,46,865,1030,7,6,6,3,,,,,,,2,0,Completed,1.8,1.9,1.75,2.05,1.8,1.909,1.73,2,1.82,1.94
46,Montreal,Rogers Masters,11/08/09,Masters 1000,Outdoor,Hard,1st Round,3,Simon G.,Dancevic F.,9,105,3330,613,6,1,6,2,,,,,,,2,0,Completed,1.61,2.2,1.6,2.3,1.615,2.2,1.62,2.2,1.67,2.15
46,Montreal,Rogers Masters,11/08/09,Masters 1000,Outdoor,Hard,1st Round,3,Robredo T.,Bogomolov A.,16,147,2290,451,6,4,6,2,,,,,,,2,0,Completed,1.33,3.25,1.35,3.1,1.3,3.4,1.29,3.25,1.3,3.4
46,Montreal,Rogers Masters,11/08/09,Masters 1000,Outdoor,Hard,1st Round,3,Ferrero J.C.,Hewitt L.,29,40,1405,1145,6,1,6,4,,,,,,,2,0,Completed,2.62,1.44,2.35,1.55,2.375,1.533,2.375,1.533,2.36,1.56
46,Montreal,Rogers Masters,11/08/09,Masters 1000,Outdoor,Hard,1st Round,3,Hanescu V.,Melzer J.,32,31,1341,1345,6,4,6,3,,,,,,,2,0,Completed,2.62,1.44,2.75,1.45,2.37,1.53,2.38,1.53,2.48,1.52
46,Montreal,Rogers Masters,11/08/09,Masters 1000,Outdoor,Hard,1st Round,3,Kohlschreiber P.,Berdych T.,25,18,1580,2005,7,6,6,7,6,4,,,,,2,1,Completed,2.5,1.5,2.5,1.5,2.375,1.533,2.375,1.533,2.44,1.53
46,Montreal,Rogers Masters,11/08/09,Masters 1000,Outdoor,Hard,1st Round,3,Isner J.,Levine J.,55,119,924,535,6,3,6,4,,,,,,,2,0,Completed,1.44,2.62,1.45,2.6,1.4,2.75,1.4,2.75,1.5,2.52
46,Montreal,Rogers Masters,11/08/09,Masters 1000,Outdoor,Hard,1st Round,3,Verdasco F.,Lopez F.,11,37,3135,1215,6,1,6,7,6,1,,,,,2,1,Completed,1.36,3,1.35,3.1,1.333,3.25,1.36,3,1.35,3.1
46,Montreal,Rogers Masters,11/08/09,Masters 1000,Outdoor,Hard,1st Round,3,Falla A.,Sela D.,163,34,396,1274,6,4,3,6,6,3,,,,,2,1,Completed,2.37,1.53,2.35,1.55,2.375,1.533,2.375,1.533,2.46,1.52
