ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
47,Montreal,Rogers Masters,08/08/11,Masters 1000,Outdoor,Hard,1st Round,3,Dolgopolov O.,Chvojka E.,21,290,1575,163,6,3,5,7,6,4,,,,,2,1,Completed,1.05,11,1.05,8.5,1.04,9,1.06,11.75,1.04,9,1.08,11.66,1.05,9.06
47,Montreal,Rogers Masters,08/08/11,Masters 1000,Outdoor,Hard,1st Round,3,Wawrinka S.,Nalbandian D.,17,51,1935,885,6,1,6,4,,,,,,,2,0,Completed,1.8,1.9,1.8,1.95,1.73,2,1.88,2.02,1.67,2.1,1.88,2.1,1.77,2
47,Montreal,Rogers Masters,08/08/11,Masters 1000,Outdoor,Hard,1st Round,3,Anderson K.,Andujar P.,35,46,1200,990,6,4,6,4,,,,,,,2,0,Completed,1.16,5,1.18,4.5,1.17,4.5,1.19,5.5,1.2,4,1.2,5.61,1.17,4.73
47,Montreal,Rogers Masters,08/08/11,Masters 1000,Outdoor,Hard,1st Round,3,Karlovic I.,Monaco J.,125,39,442,1125,6,7,6,3,7,6,,,,,2,1,Completed,1.72,2,1.8,1.95,1.83,1.83,1.79,2.15,1.8,1.91,1.83,2.15,1.77,1.98
47,Montreal,Rogers Masters,08/08/11,Masters 1000,Outdoor,Hard,1st Round,3,Gulbis E.,Ferrero J.C.,55,104,850,520,3,6,6,1,7,5,,,,,2,1,Completed,1.44,2.62,1.5,2.5,1.4,2.75,1.53,2.7,1.4,2.75,1.53,2.75,1.46,2.64
47,Montreal,Rogers Masters,08/08/11,Masters 1000,Outdoor,Hard,1st Round,3,Bogomolov A.,Mannarino A.,57,54,841,875,6,2,7,6,,,,,,,2,0,Completed,1.5,2.5,1.5,2.5,1.53,2.38,1.57,2.57,1.5,2.5,1.6,2.6,1.53,2.42
47,Montreal,Rogers Masters,08/08/11,Masters 1000,Outdoor,Hard,1st Round,3,Bellucci T.,Golubev A.,36,99,1180,535,7,5,7,6,,,,,,,2,0,Completed,1.28,3.5,1.3,3.3,1.36,3,1.33,3.69,1.29,3.25,1.36,3.7,1.32,3.27
47,Montreal,Rogers Masters,08/08/11,Masters 1000,Outdoor,Hard,1st Round,3,Dodig I.,Chardy J.,41,61,1091,790,6,3,6,4,,,,,,,2,0,Completed,1.9,1.8,1.9,1.85,1.83,1.83,2.01,1.9,1.83,1.83,1.98,2,1.86,1.87
47,Montreal,Rogers Masters,08/08/11,Masters 1000,Outdoor,Hard,1st Round,3,Davydenko N.,Cipolla F.,30,113,1295,501,6,3,6,3,,,,,,,2,0,Completed,1.28,3.5,1.3,3.3,1.29,3.5,1.24,4.58,1.25,3.5,1.33,4.58,1.27,3.66
47,Montreal,Rogers Masters,08/08/11,Masters 1000,Outdoor,Hard,1st Round,3,Cilic M.,Seppi A.,29,52,1295,880,7,5,6,4,,,,,,,2,0,Completed,1.28,3.5,1.3,3.3,1.29,3.5,1.29,4.05,1.29,3.25,1.34,6,1.27,3.64
47,Montreal,Rogers Masters,08/08/11,Masters 1000,Outdoor,Hard,1st Round,3,Del Potro J.M.,Nieminen J.,19,50,1710,901,6,4,6,0,,,,,,,2,0,Completed,1.12,6,1.11,6,1.11,6,1.14,6.87,1.13,5.5,1.16,6.87,1.12,5.93
47,Montreal,Rogers Masters,09/08/11,Masters 1000,Outdoor,Hard,1st Round,3,Tomic B.,Lu Y.H.,68,66,707,728,7,6,6,3,,,,,,,2,0,Completed,1.5,2.5,1.55,2.35,1.5,2.5,1.49,2.82,1.5,2.5,1.6,2.82,1.52,2.47
47,Montreal,Rogers Masters,09/08/11,Masters 1000,Outdoor,Hard,1st Round,3,Tsonga J.W.,Fognini F.,16,34,1945,1210,6,4,7,6,,,,,,,2,0,Completed,1.1,7,1.11,6,1.1,6.5,1.1,8.52,1.14,5,1.14,9.24,1.09,6.82
47,Montreal,Rogers Masters,09/08/11,Masters 1000,Outdoor,Hard,1st Round,3,Gasquet R.,Mayer F.,13,23,2000,1465,6,3,6,2,,,,,,,2,0,Completed,1.38,2.87,1.4,2.8,1.4,2.75,1.46,2.95,1.36,3,1.47,3.05,1.41,2.81
47,Montreal,Rogers Masters,09/08/11,Masters 1000,Outdoor,Hard,1st Round,3,Petzschner P.,Simon G.,80,11,665,2155,7,5,6,2,,,,,,,2,0,Completed,3.5,1.28,3.75,1.25,3.4,1.3,3.75,1.32,3.25,1.29,3.8,1.33,3.47,1.29
47,Montreal,Rogers Masters,09/08/11,Masters 1000,Outdoor,Hard,1st Round,3,Stakhovsky S.,Kohlschreiber P.,43,42,1030,1080,6,2,7,5,,,,,,,2,0,Completed,2.62,1.44,2.5,1.5,2.25,1.57,2.49,1.61,2.38,1.53,2.62,1.61,2.43,1.53
47,Montreal,Rogers Masters,09/08/11,Masters 1000,Outdoor,Hard,1st Round,3,Russell M.,Montanes A.,100,47,533,975,7,5,6,2,,,,,,,2,0,Completed,1.53,2.37,1.55,2.35,1.57,2.25,1.69,2.3,1.57,2.25,1.72,2.44,1.59,2.28
