ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
49,Montreal,Rogers Masters,10/08/15,Masters 1000,Outdoor,Hard,1st Round,3,Querrey S.,Klizan M.,32,37,1165,1100,6,3,6,3,,,,,,,2,0,Completed,1.3,3.4,1.3,3.2,1.33,3.25,1.4,3.22,1.4,3.4,1.34,3.18
49,Montreal,Rogers Masters,10/08/15,Masters 1000,Outdoor,Hard,1st Round,3,Stakhovsky S.,Peliwo F.,60,526,789,64,6,1,5,7,6,2,,,,,2,1,Completed,1.2,4.5,1.16,5,1.2,4.33,1.25,4.5,1.25,5,1.2,4.35
49,Montreal,Rogers Masters,10/08/15,Masters 1000,Outdoor,Hard,1st Round,3,Bellucci T.,Cuevas P.,33,31,1145,1170,7,6,4,6,7,6,,,,,2,1,Completed,1.53,2.37,1.52,2.4,1.57,2.25,1.57,2.57,1.59,2.61,1.53,2.46
49,Montreal,Rogers Masters,10/08/15,Masters 1000,Outdoor,Hard,1st Round,3,Simon G.,Seppi A.,11,25,2765,1465,6,2,6,4,,,,,,,2,0,Completed,1.3,3.4,1.33,3.2,1.33,3.25,1.31,3.81,1.35,3.81,1.3,3.45
49,Montreal,Rogers Masters,10/08/15,Masters 1000,Outdoor,Hard,1st Round,3,Robredo T.,Lopez F.,22,21,1495,1530,6,3,3,6,6,3,,,,,2,1,Completed,1.66,2.1,1.72,2.05,1.67,2.1,1.69,2.31,1.73,2.31,1.67,2.16
49,Montreal,Rogers Masters,10/08/15,Masters 1000,Outdoor,Hard,1st Round,3,Karlovic I.,Janowicz J.,23,47,1495,930,6,4,7,6,,,,,,,2,0,Completed,1.44,2.62,1.5,2.5,1.53,2.38,1.51,2.77,1.53,2.8,1.47,2.6
49,Montreal,Rogers Masters,10/08/15,Masters 1000,Outdoor,Hard,1st Round,3,Mayer L.,Chung H.,34,75,1125,658,6,3,6,4,,,,,,,2,0,Completed,1.66,2.1,1.7,2.1,1.67,2.1,1.74,2.23,1.75,2.25,1.68,2.14
49,Montreal,Rogers Masters,10/08/15,Masters 1000,Outdoor,Hard,1st Round,3,Tomic B.,Sousa J.,26,40,1410,1021,6,3,6,3,,,,,,,2,0,Completed,1.33,3.25,1.33,3.2,1.4,2.75,1.41,3.18,1.41,3.27,1.37,3.02
49,Montreal,Rogers Masters,10/08/15,Masters 1000,Outdoor,Hard,1st Round,3,Young D.,Kudla D.,79,81,635,628,6,3,6,4,,,,,,,2,0,Completed,2.25,1.57,2.05,1.72,2,1.73,2.25,1.72,2.29,1.75,2.14,1.68
49,Montreal,Rogers Masters,10/08/15,Masters 1000,Outdoor,Hard,1st Round,3,Muller G.,Bester P.,46,225,945,212,6,2,6,3,,,,,,,2,0,Completed,1.1,7,1.13,5.5,1.12,5.5,1.12,7.54,1.13,7.54,1.11,6.3
49,Montreal,Rogers Masters,11/08/15,Masters 1000,Outdoor,Hard,1st Round,3,Monfils G.,Fognini F.,15,27,1975,1370,6,3,6,1,,,,,,,2,0,Completed,1.22,4,1.25,3.5,1.25,3.75,1.28,4.08,1.28,4.25,1.25,3.78
49,Montreal,Rogers Masters,11/08/15,Masters 1000,Outdoor,Hard,1st Round,3,Dimitrov G.,Dolgopolov O.,17,69,1655,715,6,4,7,5,,,,,,,2,0,Completed,1.61,2.2,1.6,2.3,1.53,2.38,1.8,2.13,1.8,2.4,1.64,2.22
49,Montreal,Rogers Masters,11/08/15,Masters 1000,Outdoor,Hard,1st Round,3,Goffin D.,Johnson S.,14,43,2045,995,6,2,6,2,,,,,,,2,0,Completed,1.53,2.37,1.62,2.25,1.53,2.38,1.68,2.34,1.68,2.4,1.62,2.27
