ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
48,Montreal,Canadian Open,06/08/2024,Masters 1000,Outdoor,Hard,1st Round,3,Sonego L.,Griekspoor T.,57,40,881,1220,7,6,5,7,6,4,,,,,2,1,Completed,2.3,1.62,2.35,1.66,2.44,1.67,2.29,1.62
48,Montreal,Canadian Open,06/08/2024,Masters 1000,Outdoor,Hard,1st Round,3,Nishikori K.,Michelsen A.,576,55,60,915,3,6,7,5,6,4,,,,,2,1,Completed,3.5,1.3,3.55,1.34,3.55,1.36,3.36,1.32
48,Montreal,Canadian Open,06/08/2024,Masters 1000,Outdoor,Hard,1st Round,3,Etcheverry T.,Jarry N.,38,24,1255,1710,7,6,6,7,6,2,,,,,2,1,Completed,1.73,2.1,1.77,2.15,1.8,2.25,1.74,2.1
48,Montreal,Canadian Open,06/08/2024,Masters 1000,Outdoor,Hard,1st Round,3,Borges N.,Kecmanovic M.,43,50,1176,975,5,7,6,4,6,4,,,,,2,1,Completed,2.38,1.57,2.31,1.68,2.4,1.68,2.28,1.62
48,Montreal,Canadian Open,06/08/2024,Masters 1000,Outdoor,Hard,1st Round,3,Khachanov K.,Diallo G.,22,141,1830,436,6,4,6,4,,,,,,,2,0,Completed,1.4,3,1.5,2.78,1.51,3,1.47,2.69
48,Montreal,Canadian Open,07/08/2024,Masters 1000,Outdoor,Hard,1st Round,3,Carreno Busta P.,Marozsan F.,799,49,27,1016,6,7,7,6,6,3,,,,,2,1,Completed,3.5,1.3,3.55,1.34,3.55,1.36,3.36,1.32
48,Montreal,Canadian Open,07/08/2024,Masters 1000,Outdoor,Hard,1st Round,3,Rune H.,Bautista Agut R.,17,72,2300,745,6,1,6,3,,,,,,,2,0,Completed,,,,,,,,
48,Montreal,Canadian Open,07/08/2024,Masters 1000,Outdoor,Hard,1st Round,3,Tabilo A.,Tiafoe F.,21,27,1918,1515,6,4,6,2,,,,,,,2,0,Completed,2.3,1.62,2.29,1.69,2.34,1.7,2.24,1.64
48,Montreal,Canadian Open,07/08/2024,Masters 1000,Outdoor,Hard,1st Round,3,Thompson J.,Draper J.,30,28,1341,1511,7,5,6,2,,,,,,,2,0,Completed,3.2,1.36,3.34,1.37,3.34,1.43,3.17,1.36
48,Montreal,Canadian Open,07/08/2024,Masters 1000,Outdoor,Hard,1st Round,3,Paul T.,Darderi L.,12,32,3375,1331,6,4,7,6,,,,,,,2,0,Completed,1.13,6,1.14,6.72,1.17,7,1.14,5.93
48,Montreal,Canadian Open,07/08/2024,Masters 1000,Outdoor,Hard,1st Round,3,Hijikata R.,Daniel T.,74,87,741,669,6,1,7,5,,,,,,,2,0,Completed,2.3,1.62,2.31,1.68,2.32,1.68,2.24,1.65
48,Montreal,Canadian Open,07/08/2024,Masters 1000,Outdoor,Hard,1st Round,3,Arnaldi M.,Mcdonald M.,46,93,1155,636,4,6,6,4,6,4,,,,,2,1,Completed,1.8,2,1.86,2.03,1.86,2.12,1.83,1.98
48,Montreal,Canadian Open,07/08/2024,Masters 1000,Outdoor,Hard,1st Round,3,Shelton B.,Bublik A.,14,25,2950,1650,7,6,6,2,,,,,,,2,0,Completed,1.5,2.63,1.55,2.6,1.55,2.63,1.51,2.58
48,Montreal,Canadian Open,07/08/2024,Masters 1000,Outdoor,Hard,1st Round,3,Davidovich Fokina A.,Safiullin R.,42,66,1195,785,6,2,7,5,,,,,,,2,0,Completed,1.91,1.91,1.98,1.91,1.99,1.93,1.9,1.9
48,Montreal,Canadian Open,07/08/2024,Masters 1000,Outdoor,Hard,1st Round,3,Humbert U.,Fils A.,15,23,2360,1770,6,2,6,2,,,,,,,2,0,Completed,1.62,2.3,1.65,2.35,1.65,2.35,1.62,2.27
48,Montreal,Canadian Open,07/08/2024,Masters 1000,Outdoor,Hard,1st Round,3,Coric B.,Martinez P.,94,45,622,1168,6,4,6,4,,,,,,,2,0,Completed,1.33,3.4,1.41,3.13,1.42,3.4,1.37,3.11
48,Montreal,Canadian Open,07/08/2024,Masters 1000,Outdoor,Hard,1st Round,3,Nakashima B.,Shapovalov D.,52,106,935,550,6,4,7,5,,,,,,,2,0,Completed,2.1,1.73,2.16,1.76,2.23,1.85,2.04,1.78
48,Montreal,Canadian Open,07/08/2024,Masters 1000,Outdoor,Hard,1st Round,3,Duckworth J.,Giron M.,80,37,723,1265,6,4,6,1,,,,,,,2,0,Completed,2.63,1.5,2.55,1.57,2.79,1.57,2.49,1.53
48,Montreal,Canadian Open,07/08/2024,Masters 1000,Outdoor,Hard,1st Round,3,Popyrin A.,Machac T.,62,39,821,1229,6,3,6,4,,,,,,,2,0,Completed,2.3,1.62,2.25,1.71,2.3,1.71,2.22,1.66
48,Montreal,Canadian Open,07/08/2024,Masters 1000,Outdoor,Hard,1st Round,3,Fritz T.,Navone M.,13,36,3330,1292,6,4,6,1,,,,,,,2,0,Completed,1.06,10,1.06,12.13,1.11,12.13,1.06,9.43
48,Montreal,Canadian Open,07/08/2024,Masters 1000,Outdoor,Hard,1st Round,3,Rinderknech A.,Mannarino A.,65,31,786,1340,6,4,2,6,6,4,,,,,2,1,Completed,1.5,2.63,1.56,2.57,1.56,2.63,1.52,2.53
48,Montreal,Canadian Open,08/08/2024,Masters 1000,Outdoor,Hard,1st Round,3,Korda S.,Pospisil V.,18,610,2270,53,2,1,,,,,,,,,0,0,Retired,1.07,9,1.07,11.43,1.09,11.43,1.07,9.02
48,Montreal,Canadian Open,08/08/2024,Masters 1000,Outdoor,Hard,1st Round,3,Cobolli F.,Auger-Aliassime F.,33,19,1323,2115,6,3,6,2,,,,,,,2,0,Completed,4,1.25,4.07,1.28,4.07,1.31,3.78,1.27
48,Montreal,Canadian Open,08/08/2024,Masters 1000,Outdoor,Hard,1st Round,3,Kokkinakis T.,Monfils G.,81,34,697,1315,6,3,6,3,,,,,,,2,0,Completed,1.73,2.1,1.84,2.05,1.84,2.12,1.78,2.04
48,Montreal,Canadian Open,08/08/2024,Masters 1000,Outdoor,Hard,2nd Round,3,Borges N.,Humbert U.,43,15,1176,2360,3,6,7,6,7,6,,,,,2,1,Completed,3.2,1.36,3.46,1.36,3.46,1.36,3.26,1.34
48,Montreal,Canadian Open,08/08/2024,Masters 1000,Outdoor,Hard,2nd Round,3,Davidovich Fokina A.,Medvedev D.,42,5,1195,6525,6,4,1,6,6,2,,,,,2,1,Completed,5,1.17,5.32,1.2,5.32,1.21,4.87,1.18
48,Montreal,Canadian Open,08/08/2024,Masters 1000,Outdoor,Hard,2nd Round,3,Nakashima B.,Paul T.,52,12,935,3375,6,2,6,7,6,1,,,,,2,1,Completed,3.2,1.36,3.37,1.37,3.37,1.42,3.06,1.38
48,Montreal,Canadian Open,08/08/2024,Masters 1000,Outdoor,Hard,2nd Round,3,Nishikori K.,Tsitsipas S.,576,11,60,3465,6,4,6,4,,,,,,,2,0,Completed,4.33,1.22,4.79,1.23,4.79,1.25,4.38,1.21
48,Montreal,Canadian Open,08/08/2024,Masters 1000,Outdoor,Hard,2nd Round,3,Rublev A.,Etcheverry T.,8,38,3975,1255,7,6,6,2,,,,,,,2,0,Completed,1.29,3.75,1.35,3.55,1.35,3.75,1.31,3.45
48,Montreal,Canadian Open,08/08/2024,Masters 1000,Outdoor,Hard,2nd Round,3,Zverev A.,Thompson J.,4,30,6845,1341,6,1,6,1,,,,,,,2,0,Completed,1.29,3.75,1.32,3.87,1.35,3.87,1.3,3.58
48,Montreal,Canadian Open,08/08/2024,Masters 1000,Outdoor,Hard,2nd Round,3,Dimitrov G.,Hijikata R.,10,74,3600,741,6,1,6,0,,,,,,,2,0,Completed,1.25,4,1.27,4.25,1.27,4.25,1.24,4.06
48,Montreal,Canadian Open,08/08/2024,Masters 1000,Outdoor,Hard,2nd Round,3,Arnaldi M.,Khachanov K.,46,22,1155,1830,7,5,7,5,,,,,,,2,0,Completed,2.3,1.62,2.33,1.68,2.38,1.69,2.27,1.63
48,Montreal,Canadian Open,08/08/2024,Masters 1000,Outdoor,Hard,2nd Round,3,Ruud C.,Duckworth J.,9,80,3880,723,6,2,6,7,6,3,,,,,2,1,Completed,1.33,3.4,1.36,3.45,1.36,3.6,1.31,3.42
48,Montreal,Canadian Open,08/08/2024,Masters 1000,Outdoor,Hard,2nd Round,3,Sinner J.,Coric B.,1,94,9570,622,6,2,6,4,,,,,,,2,0,Completed,1.1,7,1.07,12.01,1.1,12.01,1.07,8.6
