ATP;Location;Tournament;Date;Series;Court;Surface;Round;Best of;Winner;Loser;WRank;LRank;W1;L1;W2;L2;W3;L3;W4;L4;W5;L5;Wsets;Lsets;Comment;CBW;CBL;GBW;GBL;IWW;IWL;SBW;SBL;B365W;B365L;B&WW;B&WL;WPts;LPts;EXW;EXL;PSW;PSL;UBW;UBL;LBW;LBL;SJW;SJL;MaxW;MaxL;AvgW;AvgL
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;1st Round;3;Arazi H.;Russell M.;34;89;6,0;4,0;6,0;3,0;;;;;;;2,0;0,0;Completed;1,55;2,3;1,6;2,0;1,65;1,85;1,533;2,375;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;1st Round;3;Behr N.;Prinosil D.;197;53;6,0;1,0;7,0;6,0;;;;;;;2,0;0,0;Completed;2,4;1,5;2,2;1,5;2,1;1,5;2,375;1,533;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;1st Round;3;Black W.;Lareau S.;141;133;6,0;1,0;6,0;2,0;;;;;;;2,0;0,0;Completed;2,4;1,5;1,95;1,65;1,85;1,65;2,2;1,615;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;1st Round;3;Clavet F.;Delgado J.;71;129;7,0;5,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;1st Round;3;Clement A.;Mamiit C.;12;111;6,0;1,0;4,0;6,0;6,0;4,0;;;;;2,0;1,0;Completed;1,28;3,25;1,33;2,7;1,35;2,5;1,333;3,0;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;1st Round;3;Costa A.;Llodra M.;44;116;3,0;6,0;7,0;5,0;7,0;5,0;;;;;2,0;1,0;Completed;2,1;1,65;2,0;1,65;1,8;1,7;1,833;1,833;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;1st Round;3;Escude N.;Safin M.;28;3;6,0;4,0;5,0;2,0;;;;;;;1,0;0,0;Retired;2,45;1,5;2,2;1,5;2,2;1,45;2,5;1,5;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;1st Round;3;Ferrero J.C.;Novak J.;4;32;6,0;3,0;6,0;4,0;;;;;;;2,0;0,0;Completed;1,48;2,45;1,38;2,6;1,5;2,1;1,444;2,625;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;1st Round;3;Gambill J.M.;Schalken S.;21;29;6,0;1,0;6,0;4,0;;;;;;;2,0;0,0;Completed;1,35;2,95;1,31;2,9;1,25;3,0;1,333;3,0;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;1st Round;3;Gaudio G.;Arthurs W.;58;50;7,0;6,0;7,0;6,0;;;;;;;2,0;0,0;Completed;2,25;1,57;2,15;1,53;2,0;1,55;2,375;1,533;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;1st Round;3;Golmard J.;Black B.;48;117;6,0;2,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;1,5;2,3;1,6;1,9;1,533;2,375;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;1st Round;3;Haas T.;Calatrava A.;24;66;6,0;4,0;6,0;3,0;;;;;;;2,0;0,0;Completed;1,25;3,5;1,25;3,1;1,25;3,0;1,25;3,5;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;1st Round;3;Henman T.;Srichaphan P.;8;114;6,0;3,0;6,0;3,0;;;;;;;2,0;0,0;Completed;1,16;4,5;1,15;4,0;1,15;3,8;1,143;5,0;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;1st Round;3;Hewitt L.;Larose S.;5;306;6,0;0,0;5,0;7,0;6,0;3,0;;;;;2,0;1,0;Completed;1,02;10,0;1,07;5,5;1,05;5,0;1,063;8,0;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;1st Round;3;Hrbaty D.;Nestor D.;19;150;7,0;6,0;6,0;4,0;;;;;;;2,0;0,0;Completed;1,7;2,0;1,65;1,95;1,75;1,75;1,667;2,1;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;1st Round;3;Johansson T.;Woodruff C.;15;91;7,0;6,0;6,0;1,0;;;;;;;2,0;0,0;Completed;1,35;2,9;1,4;2,45;1,35;2,5;1,4;2,75;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;1st Round;3;Kiefer N.;Enqvist T.;26;13;6,0;2,0;7,0;5,0;;;;;;;2,0;0,0;Completed;2,15;1,6;1,9;1,7;1,8;1,7;2,2;1,615;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;1st Round;3;Kuerten G.;Agenor R.;1;178;4,0;6,0;6,0;4,0;6,0;3,0;;;;;2,0;1,0;Completed;1,04;8,0;1,06;5,65;1,05;5,0;1,063;8,0;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;1st Round;3;Lapentti N.;Bjorkman J.;23;46;6,0;2,0;5,0;7,0;6,0;4,0;;;;;2,0;1,0;Completed;1,8;1,9;1,72;1,85;1,7;1,8;1,727;2,0;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;1st Round;3;Ljubicic I.;Agassi A.;73;2;6,0;2,0;6,0;4,0;;;;;;;2,0;0,0;Completed;5,5;1,11;4,8;1,12;4,5;1,1;6,5;1,1;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;1st Round;3;Martin A.;Chang M.;41;63;6,0;4,0;6,0;3,0;;;;;;;2,0;0,0;Completed;2,45;1,48;2,45;1,4;2,5;1,35;2,375;1,533;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;1st Round;3;Martin T.;Kafelnikov Y.;33;6;3,0;6,0;7,0;6,0;6,0;4,0;;;;;2,0;1,0;Completed;2,3;1,53;2,35;1,46;2,3;1,4;2,5;1,5;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;1st Round;3;Mirnyi M.;Niemeyer F.;51;261;6,0;3,0;2,0;6,0;6,0;1,0;;;;;2,0;1,0;Completed;1,18;4,25;1,22;3,4;1,15;3,8;1,167;4,5;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;1st Round;3;Moya C.;Rusedski G.;16;36;6,0;3,0;4,0;6,0;6,0;4,0;;;;;2,0;1,0;Completed;2,3;1,55;2,3;1,45;2,2;1,45;2,375;1,533;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;1st Round;3;Norman M.;Ilie A.;22;83;6,0;4,0;3,0;6,0;6,0;3,0;;;;;2,0;1,0;Completed;1,33;3,0;1,3;2,8;1,3;2,7;1,3;3,2;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;1st Round;3;Pavel A.;Malisse X.;43;42;7,0;6,0;2,0;6,0;6,0;3,0;;;;;2,0;1,0;Completed;2,8;1,38;2,3;1,45;2,2;1,45;2,5;1,5;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;1st Round;3;Rafter P.;Levy H.;9;37;6,0;7,0;6,0;3,0;6,0;3,0;;;;;2,0;1,0;Completed;1,28;3,25;1,25;3,15;1,25;3,0;1,286;3,25;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;1st Round;3;Roddick A.;Lee H.T.;35;65;6,0;3,0;6,0;2,0;;;;;;;2,0;0,0;Completed;1,2;4,0;1,2;3,4;1,15;3,8;1,2;4,0;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;1st Round;3;Santoro F.;Portas A.;25;20;6,0;4,0;7,0;6,0;;;;;;;2,0;0,0;Completed;1,28;3,3;1,35;2,6;1,35;2,5;1,4;2,75;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;1st Round;3;Ulihrach B.;Lee M.;40;107;3,0;6,0;6,0;4,0;6,0;1,0;;;;;2,0;1,0;Completed;1,45;2,5;1,45;2,3;1,4;2,3;1,444;2,625;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;1st Round;3;Vicente F.;Squillari F.;55;39;6,0;7,0;6,0;2,0;6,0;3,0;;;;;2,0;1,0;Completed;2,4;1,5;2,0;1,6;2,0;1,55;2,2;1,615;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;1st Round;3;Vinciguerra A.;Ferreira W.;45;18;7,0;6,0;6,0;2,0;;;;;;;2,0;0,0;Completed;1,9;1,8;1,87;1,72;1,8;1,7;2,0;1,727;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;2nd Round;3;Arazi H.;Hewitt L.;34;5;6,0;1,0;6,0;4,0;;;;;;;2,0;0,0;Completed;4,0;1,2;4,75;1,1;3,8;1,15;4,333;1,182;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;2nd Round;3;Clement A.;Mirnyi M.;12;51;6,0;1,0;6,0;2,0;;;;;;;2,0;0,0;Completed;1,5;2,4;1,65;1,95;1,6;1,9;1,571;2,25;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;2nd Round;3;Costa A.;Henman T.;44;8;7,0;6,0;4,0;6,0;6,0;1,0;;;;;2,0;1,0;Completed;4,6;1,15;3,45;1,2;3,2;1,2;3,5;1,25;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;2nd Round;3;Escude N.;Black W.;28;141;6,0;4,0;6,0;7,0;6,0;3,0;;;;;2,0;1,0;Completed;1,2;4,0;1,2;3,5;1,2;3,2;1,3;3,2;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;2nd Round;3;Ferrero J.C.;Lapentti N.;4;23;6,0;3,0;6,0;3,0;;;;;;;2,0;0,0;Completed;1,5;2,4;1,5;2,1;1,4;2,3;1,5;2,5;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;2nd Round;3;Gambill J.M.;Behr N.;21;197;6,0;3,0;7,0;6,0;;;;;;;2,0;0,0;Completed;1,08;6,25;1,1;4,75;1,1;4,5;1,125;5,5;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;2nd Round;3;Golmard J.;Johansson T.;48;15;6,0;4,0;6,0;3,0;;;;;;;2,0;0,0;Completed;2,55;1,45;2,35;1,45;2,3;1,4;2,5;1,5;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;2nd Round;3;Haas T.;Ljubicic I.;24;73;7,0;6,0;6,0;4,0;;;;;;;2,0;0,0;Completed;1,42;2,6;1,45;2,35;1,5;2,1;1,444;2,625;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;2nd Round;3;Kuerten G.;Gaudio G.;1;58;6,0;1,0;6,0;4,0;;;;;;;2,0;0,0;Completed;1,18;4,25;1,2;3,5;1,2;3,2;1,25;3,5;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;2nd Round;3;Martin A.;Hrbaty D.;41;19;6,0;7,0;7,0;5,0;6,0;4,0;;;;;2,0;1,0;Completed;2,05;1,67;2,1;1,6;2,0;1,55;2,0;1,727;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;2nd Round;3;Martin T.;Vicente F.;33;55;6,0;4,0;1,0;6,0;6,0;2,0;;;;;2,0;1,0;Completed;1,33;3,0;1,27;3,2;1,2;3,2;1,333;3,0;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;2nd Round;3;Pavel A.;Clavet F.;43;71;7,0;5,0;6,0;4,0;;;;;;;2,0;0,0;Completed;1,67;2,05;1,6;2,1;1,5;2,1;1,615;2,2;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;2nd Round;3;Rafter P.;Norman M.;9;22;6,0;1,0;7,0;6,0;;;;;;;2,0;0,0;Completed;1,45;2,55;1,45;2,35;1,45;2,2;1,444;2,625;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;2nd Round;3;Roddick A.;Moya C.;35;16;6,0;3,0;5,0;7,0;7,0;5,0;;;;;2,0;1,0;Completed;1,67;2,05;1,6;2,05;1,55;2,0;1,667;2,1;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;2nd Round;3;Santoro F.;Kiefer N.;25;26;4,0;6,0;6,0;4,0;6,0;3,0;;;;;2,0;1,0;Completed;1,95;1,75;1,7;1,9;1,75;1,75;1,909;1,8;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;2nd Round;3;Ulihrach B.;Vinciguerra A.;40;45;7,0;6,0;6,0;3,0;;;;;;;2,0;0,0;Completed;1,9;1,8;1,77;1,8;1,8;1,7;2,0;1,727;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;3rd Round;3;Clement A.;Martin A.;12;41;6,0;3,0;3,0;6,0;6,0;0,0;;;;;2,0;1,0;Completed;1,38;2,75;1,35;2,7;1,3;2,7;1,4;2,75;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;3rd Round;3;Ferrero J.C.;Gambill J.M.;4;21;2,0;6,0;7,0;6,0;6,0;3,0;;;;;2,0;1,0;Completed;1,6;2,2;1,75;1,82;1,75;1,75;1,8;1,909;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;3rd Round;3;Haas T.;Golmard J.;24;48;6,0;7,0;6,0;4,0;7,0;6,0;;;;;2,0;1,0;Completed;1,55;2,25;1,5;2,3;1,5;2,1;1,571;2,25;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;3rd Round;3;Pavel A.;Arazi H.;43;34;6,0;0,0;6,0;2,0;;;;;;;2,0;0,0;Completed;1,75;1,95;1,75;1,82;1,75;1,75;1,727;2,0;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;3rd Round;3;Rafter P.;Martin T.;9;33;6,0;4,0;6,0;2,0;;;;;;;2,0;0,0;Completed;1,45;2,55;1,38;2,6;1,4;2,3;1,4;2,75;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;3rd Round;3;Roddick A.;Kuerten G.;35;1;6,0;7,0;6,0;4,0;6,0;2,0;;;;;2,0;1,0;Completed;2,2;1,6;2,1;1,55;2,1;1,5;2,25;1,571;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;3rd Round;3;Santoro F.;Costa A.;25;44;7,0;5,0;2,0;6,0;6,0;3,0;;;;;2,0;1,0;Completed;1,75;1,95;1,7;1,9;1,7;1,8;1,667;2,1;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;3rd Round;3;Ulihrach B.;Escude N.;40;28;6,0;3,0;1,0;6,0;6,0;2,0;;;;;2,0;1,0;Completed;2,05;1,68;1,9;1,67;1,85;1,65;1,909;1,8;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;Quarterfinals;3;Haas T.;Clement A.;24;12;6,0;2,0;6,0;4,0;;;;;;;2,0;0,0;Completed;1,6;2,2;1,7;1,9;1,55;2,0;1,727;2,0;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;Quarterfinals;3;Pavel A.;Roddick A.;43;35;6,0;4,0;6,0;7,0;6,0;3,0;;;;;2,0;1,0;Completed;2,75;1,38;2,7;1,36;2,3;1,4;2,875;1,364;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;Quarterfinals;3;Rafter P.;Ferrero J.C.;9;4;7,0;5,0;4,0;6,0;6,0;2,0;;;;;2,0;1,0;Completed;1,62;2,15;1,57;2,1;1,5;2,1;1,571;2,25;;;;;;;;;;;;;;;;;;;;
48;Montreal;Montreal TMS;30/07/01;Masters;Outdoor;Hard;Quarterfinals;3;Santoro F.;Ulihrach B.;25;40;6,0;3,0;4,0;6,0;6,0;1,0;;;;;2,0;1,0;Completed;1,7;2,0;1,75;1,85;1,75;1,75;1,727;2,0;;;;;;;;;;;;;;;;;;;;
