ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
68,Paris,BNP Paribas,29/10/01,Masters,Indoor,Carpet,1st Round,3,Arazi H.,Kiefer N.,31,44,7,6,1,6,6,3,,,,,2,1,Completed,1.7,2,1.7,1.9,1.75,1.75,1.8,1.909
68,Paris,BNP Paribas,29/10/01,Masters,Indoor,Carpet,1st Round,3,Boutter J.,Pavel A.,56,22,6,4,3,1,,,,,,,1,0,Retired,1.9,1.8,1.82,1.75,1.65,1.85,1.833,1.833
68,Paris,BNP Paribas,29/10/01,Masters,Indoor,Carpet,1st Round,3,Costa A.,Llodra M.,36,91,7,6,6,1,,,,,,,2,0,Completed,1.72,2,1.75,1.85,1.7,1.8,1.8,1.909
68,Paris,BNP Paribas,29/10/01,Masters,Indoor,Carpet,1st Round,3,Enqvist T.,Escude N.,27,28,6,2,6,3,,,,,,,2,0,Completed,1.57,2.25,1.5,2.2,1.5,2.1,1.5,2.5
68,Paris,BNP Paribas,29/10/01,Masters,Indoor,Carpet,1st Round,3,Hrbaty D.,Mirnyi M.,26,34,6,2,7,6,,,,,,,2,0,Completed,2.3,1.55,2.35,1.45,2.3,1.4,,
68,Paris,BNP Paribas,29/10/01,Masters,Indoor,Carpet,1st Round,3,Kucera K.,Pioline C.,122,87,6,4,6,7,6,3,,,,,2,1,Completed,1.75,1.95,1.8,1.8,1.8,1.7,1.909,1.8
68,Paris,BNP Paribas,29/10/01,Masters,Indoor,Carpet,1st Round,3,Lapentti N.,Dupuis A.,30,68,6,7,7,6,7,5,,,,,2,1,Completed,1.4,2.75,1.41,2.5,1.45,2.2,1.444,2.625
68,Paris,BNP Paribas,29/10/01,Masters,Indoor,Carpet,1st Round,3,Ljubicic I.,Moya C.,38,20,7,5,6,1,,,,,,,2,0,Completed,1.62,2.2,1.75,1.85,1.65,1.85,1.727,2
68,Paris,BNP Paribas,29/10/01,Masters,Indoor,Carpet,1st Round,3,Malisse X.,Rusedski G.,37,29,7,6,6,4,,,,,,,2,0,Completed,2.1,1.67,2.2,1.53,2.3,1.4,2.25,1.571
68,Paris,BNP Paribas,29/10/01,Masters,Indoor,Carpet,1st Round,3,Novak J.,Martin A.,40,43,6,3,6,4,,,,,,,2,0,Completed,1.36,2.9,1.4,2.5,1.4,2.3,1.364,2.875
