ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
66,Paris,BNP Paribas,01/11/04,Masters,Indoor,Carpet,1st Round,3,Soderling R.,Dent T.,42,32,6,2,6,4,,,,,,,2,0,Completed,1.727,2,1.73,2.1,1.76,1.99,1.65,1.85,1.704,2.22
66,Paris,BNP Paribas,01/11/04,Masters,Indoor,Carpet,1st Round,3,Fish M.,Ferrer D.,37,45,6,3,3,6,6,2,,,,,2,1,Completed,1.2,4.333,1.22,4.25,1.2,4.25,1.2,3.3,1.227,4.65
66,Paris,BNP Paribas,01/11/04,Masters,Indoor,Carpet,1st Round,3,Srichaphan P.,Zabaleta M.,26,50,7,6,6,4,,,,,,,2,0,Completed,1.333,3.25,1.35,3.2,1.35,3.1,1.2,3.3,1.325,3.63
66,Paris,BNP Paribas,01/11/04,Masters,Indoor,Carpet,1st Round,3,Rochus C.,Volandri F.,124,40,2,6,6,4,4,1,,,,,1,1,Retired,1.615,2.2,,,1.5,2.45,1.45,2.2,1.581,2.52
66,Paris,BNP Paribas,01/11/04,Masters,Indoor,Carpet,1st Round,3,Saulnier C.,Horna L.,55,36,7,6,7,6,,,,,,,2,0,Completed,1.5,2.5,1.52,2.48,1.5,2.45,,,1.457,2.94
66,Paris,BNP Paribas,01/11/04,Masters,Indoor,Carpet,1st Round,3,Mirnyi M.,Arazi H.,71,58,6,3,6,0,,,,,,,2,0,Completed,1.364,3,1.33,3.2,1.3,3.35,1.25,3,1.368,3.32
66,Paris,BNP Paribas,01/11/04,Masters,Indoor,Carpet,1st Round,3,Monfils G.,Enqvist T.,284,75,1,6,6,4,6,3,,,,,2,1,Completed,2.5,1.5,2.45,1.53,2.53,1.48,2.1,1.5,2.59,1.559
66,Paris,BNP Paribas,01/11/04,Masters,Indoor,Carpet,1st Round,3,Melzer J.,Chela J.I.,43,25,6,1,6,4,,,,,,,2,0,Completed,1.727,2,1.73,2.1,1.75,2,1.75,1.75,1.633,2.38
66,Paris,BNP Paribas,01/11/04,Masters,Indoor,Carpet,1st Round,3,Malisse X.,Mathieu P.H.,49,120,7,5,6,4,,,,,,,2,0,Completed,1.727,2,1.83,1.93,1.87,1.87,1.65,1.85,1.769,2.1
66,Paris,BNP Paribas,01/11/04,Masters,Indoor,Carpet,1st Round,3,Tsonga J.W.,Ancic M.,179,30,4,6,7,6,6,3,,,,,2,1,Completed,,,3.4,1.3,3.46,1.28,2.7,1.3,3.5,1.345
66,Paris,BNP Paribas,02/11/04,Masters,Indoor,Carpet,1st Round,3,Davydenko N.,Verdasco F.,29,35,6,2,6,3,,,,,,,2,0,Completed,2.1,1.667,2.15,1.7,2.15,1.65,1.75,1.75,1.893,1.926
66,Paris,BNP Paribas,02/11/04,Masters,Indoor,Carpet,1st Round,3,Lopez F.,Schuettler R.,28,27,7,6,6,4,,,,,,,2,0,Completed,1.667,2.1,1.67,2.2,1.8,1.95,1.6,1.9,1.746,2.14
66,Paris,BNP Paribas,02/11/04,Masters,Indoor,Carpet,1st Round,3,Stepanek R.,Llodra M.,63,41,7,6,6,1,,,,,,,2,0,Completed,1.833,1.833,2,1.81,1.95,1.8,1.6,1.9,2.18,1.725
66,Paris,BNP Paribas,02/11/04,Masters,Indoor,Carpet,1st Round,3,Ljubicic I.,Clement A.,23,98,6,3,7,6,,,,,,,2,0,Completed,1.4,2.75,1.45,2.75,1.55,2.35,1.45,2.2,1.488,2.82
66,Paris,BNP Paribas,02/11/04,Masters,Indoor,Carpet,1st Round,3,Youzhny M.,Bjorkman J.,20,66,6,2,7,6,,,,,,,2,0,Completed,1.333,3.25,1.33,3.3,1.32,3.22,1.35,2.5,1.362,3.36
