ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
65,Paris,BNP Paribas,28/10/07,Masters,Indoor,Carpet,1st Round,3,Nalbandian D.,Almagro N.,21,28,1375,995,6,4,6,4,,,,,,,2,0,Completed,1.22,4,1.25,3.85,1.23,3.89,1.27,4.4,1.18,4.6
65,Paris,BNP Paribas,28/10/07,Masters,Indoor,Carpet,1st Round,3,Simon G.,Starace P.,33,30,925,937,6,3,3,6,6,3,,,,,2,1,Completed,1.3,3.39,1.37,3,1.37,2.92,1.364,3.55,1.35,3.1
65,Paris,BNP Paribas,29/10/07,Masters,Indoor,Carpet,1st Round,3,Fish M.,Tursunov D.,40,29,725,950,7,6,6,4,,,,,,,2,0,Completed,2.2,1.61,2.35,1.6,2.35,1.55,2.44,1.649,2.34,1.57
65,Paris,BNP Paribas,29/10/07,Masters,Indoor,Carpet,1st Round,3,Del Potro J.M.,Lopez F.,51,35,654,836,6,4,6,3,,,,,,,2,0,Completed,2,1.72,1.9,1.9,1.87,1.87,2,1.909,1.88,1.88
65,Paris,BNP Paribas,29/10/07,Masters,Indoor,Carpet,1st Round,3,Seppi A.,Querrey S.,58,62,629,605,5,7,6,1,6,3,,,,,2,1,Completed,1.72,2,1.7,2.15,1.75,2.05,1.73,2.27,1.74,2.04
65,Paris,BNP Paribas,29/10/07,Masters,Indoor,Carpet,1st Round,3,Tipsarevic J.,Spadea V.,64,78,591,515,7,6,7,6,,,,,,,2,0,Completed,1.5,2.5,1.57,2.4,1.6,2.3,1.667,2.4,1.57,2.34
65,Paris,BNP Paribas,29/10/07,Masters,Indoor,Carpet,1st Round,3,Wawrinka S.,Kiefer N.,36,50,780,655,7,5,6,3,,,,,,,2,0,Completed,1.5,2.5,2.4,1.57,2.3,1.6,2.46,1.641,2.38,1.55
65,Paris,BNP Paribas,29/10/07,Masters,Indoor,Carpet,1st Round,3,Youzhny M.,Clement A.,18,53,1445,650,6,4,6,3,,,,,,,2,0,Completed,1.5,2.5,1.5,2.6,1.6,2.3,1.649,2.44,1.52,2.46
65,Paris,BNP Paribas,29/10/07,Masters,Indoor,Carpet,1st Round,3,Ancic M.,Mathieu P.H.,67,19,570,1390,4,6,6,2,6,3,,,,,2,1,Completed,1.66,2.1,1.81,2,1.83,1.91,1.8,2.15,1.75,2
65,Paris,BNP Paribas,29/10/07,Masters,Indoor,Carpet,1st Round,3,Baghdatis M.,Ferrero J.C.,22,25,1375,1335,6,4,6,2,,,,,,,2,0,Completed,1.83,1.83,1.88,1.88,1.95,1.8,1.8,2.15,1.88,1.88
65,Paris,BNP Paribas,30/10/07,Masters,Indoor,Carpet,1st Round,3,Mahut N.,Gabashvili T.,52,99,653,420,6,4,7,6,,,,,,,2,0,Completed,1.36,3,1.35,3.2,1.45,2.6,1.383,3.41,1.37,3
65,Paris,BNP Paribas,30/10/07,Masters,Indoor,Carpet,1st Round,3,Nieminen J.,Monaco J.,26,20,1085,1385,6,4,6,4,,,,,,,2,0,Completed,1.53,2.37,1.57,2.4,1.6,2.3,1.595,2.58,1.52,2.45
65,Paris,BNP Paribas,30/10/07,Masters,Indoor,Carpet,1st Round,3,Volandri F.,Melzer J.,41,60,721,610,6,0,6,3,,,,,,,2,0,Completed,4.5,1.16,4.55,1.2,4.25,1.2,5.1,1.222,4.3,1.2
65,Paris,BNP Paribas,30/10/07,Masters,Indoor,Carpet,1st Round,3,Santoro F.,Montanes A.,39,44,731,690,7,6,6,2,,,,,,,2,0,Completed,1.16,4.5,1.16,5.25,1.23,3.89,1.2,5.5,1.17,4.8
65,Paris,BNP Paribas,30/10/07,Masters,Indoor,Carpet,1st Round,3,Karlovic I.,Verdasco F.,24,27,1365,1050,4,6,6,3,6,4,,,,,2,1,Completed,1.5,2.5,1.55,2.45,1.51,2.46,1.485,2.86,1.48,2.55
65,Paris,BNP Paribas,30/10/07,Masters,Indoor,Carpet,1st Round,3,Tsonga J.W.,Grosjean S.,45,49,687,656,6,3,3,6,6,3,,,,,2,1,Completed,2.25,1.57,2.3,1.62,2.15,1.65,2.26,1.735,2.18,1.65
65,Paris,BNP Paribas,30/10/07,Masters,Indoor,Carpet,2nd Round,3,Haas T.,Tipsarevic J.,10,64,1870,591,6,3,6,7,6,3,,,,,2,1,Completed,1.39,2.75,1.45,2.75,1.42,2.75,1.543,2.74,1.5,2.52
65,Paris,BNP Paribas,30/10/07,Masters,Indoor,Carpet,2nd Round,3,Youzhny M.,Gonzalez F.,18,9,1445,1905,3,6,6,3,6,3,,,,,2,1,Completed,1.9,1.8,1.93,1.87,2.05,1.75,2.06,1.862,1.97,1.8
65,Paris,BNP Paribas,30/10/07,Masters,Indoor,Carpet,2nd Round,3,Canas G.,Seppi A.,14,58,1678,629,6,3,7,6,,,,,,,2,0,Completed,1.39,2.75,1.48,2.65,1.37,2.92,1.546,2.73,1.45,2.67
65,Paris,BNP Paribas,30/10/07,Masters,Indoor,Carpet,2nd Round,3,Ferrer D.,Fish M.,6,40,2130,725,6,1,7,6,,,,,,,2,0,Completed,1.39,2.75,1.4,2.9,1.45,2.6,1.413,3.22,1.4,2.85
65,Paris,BNP Paribas,30/10/07,Masters,Indoor,Carpet,2nd Round,3,Robredo T.,Simon G.,8,33,1965,925,6,4,2,6,6,4,,,,,2,1,Completed,1.5,2.5,1.47,2.6,1.5,2.45,1.465,2.95,1.5,2.52
65,Paris,BNP Paribas,30/10/07,Masters,Indoor,Carpet,2nd Round,3,Berdych T.,Ancic M.,11,67,1735,570,6,3,6,3,,,,,,,2,0,Completed,1.8,1.9,1.87,1.93,1.91,1.83,1.877,2.04,1.84,1.92
65,Paris,BNP Paribas,31/10/07,Masters,Indoor,Carpet,2nd Round,3,Murray A.,Nieminen J.,12,26,1705,1085,7,6,6,3,,,,,,,2,0,Completed,1.28,3.5,1.3,3.5,1.3,3.35,1.356,3.61,1.3,3.4
65,Paris,BNP Paribas,31/10/07,Masters,Indoor,Carpet,2nd Round,3,Wawrinka S.,Chela J.I.,36,17,780,1455,6,3,6,1,,,,,,,2,0,Completed,1.39,2.75,1.45,2.75,1.45,2.6,1.431,3.12,1.48,2.55
65,Paris,BNP Paribas,31/10/07,Masters,Indoor,Carpet,2nd Round,3,Santoro F.,Djokovic N.,39,3,731,4470,6,3,6,2,,,,,,,2,0,Completed,8,1.06,8,1.08,7.25,1.05,9,1.1,7.8,1.07
65,Paris,BNP Paribas,31/10/07,Masters,Indoor,Carpet,2nd Round,3,Davydenko N.,Del Potro J.M.,4,51,3250,654,7,6,6,1,,,,,,,2,0,Completed,1.3,3.39,1.3,3.5,,,1.385,3.4,1.34,3.14
65,Paris,BNP Paribas,31/10/07,Masters,Indoor,Carpet,2nd Round,3,Nadal R.,Volandri F.,2,41,5385,721,6,3,6,1,,,,,,,2,0,Completed,1.02,12,1.03,12,1.05,8.5,1.08,11,1.03,12
65,Paris,BNP Paribas,31/10/07,Masters,Indoor,Carpet,2nd Round,3,Gasquet R.,Tsonga J.W.,13,45,1680,687,7,5,7,6,,,,,,,2,0,Completed,1.44,2.62,1.53,2.5,1.56,2.34,1.562,2.68,1.57,2.35
65,Paris,BNP Paribas,31/10/07,Masters,Indoor,Carpet,2nd Round,3,Baghdatis M.,Ljubicic I.,22,15,1375,1675,6,4,7,6,,,,,,,2,0,Completed,1.44,2.62,1.53,2.5,1.45,2.65,1.578,2.63,1.54,2.4
65,Paris,BNP Paribas,31/10/07,Masters,Indoor,Carpet,2nd Round,3,Nalbandian D.,Moya C.,21,16,1375,1620,6,4,6,4,,,,,,,2,0,Completed,1.3,3.39,1.35,3.2,1.28,3.46,1.361,3.57,1.34,3.14
65,Paris,BNP Paribas,31/10/07,Masters,Indoor,Carpet,2nd Round,3,Federer R.,Karlovic I.,1,24,7205,1365,6,3,4,6,6,3,,,,,2,1,Completed,1.06,8,1.06,9,1.1,6.75,1.128,8.11,1.08,7
65,Paris,BNP Paribas,31/10/07,Masters,Indoor,Carpet,2nd Round,3,Blake J.,Mahut N.,7,52,2110,653,6,7,7,6,6,1,,,,,2,1,Completed,1.38,2.87,1.45,2.75,1.44,2.67,1.465,2.95,1.45,2.68
65,Paris,BNP Paribas,01/11/07,Masters,Indoor,Carpet,3rd Round,3,Baghdatis M.,Davydenko N.,22,4,1375,3250,6,2,6,2,,,,,,,2,0,Completed,2.37,1.53,2.5,1.53,2.35,1.55,2.46,1.641,2.42,1.54
65,Paris,BNP Paribas,01/11/07,Masters,Indoor,Carpet,3rd Round,3,Robredo T.,Canas G.,8,14,1965,1678,7,5,7,5,,,,,,,2,0,Completed,2,1.72,2.25,1.65,2.1,1.7,2.39,1.671,2.28,1.6
65,Paris,BNP Paribas,01/11/07,Masters,Indoor,Carpet,3rd Round,3,Murray A.,Santoro F.,12,39,1705,731,6,4,6,2,,,,,,,2,0,Completed,1.11,6,1.16,5.25,1.12,5.66,1.177,6.15,1.15,5.2
65,Paris,BNP Paribas,01/11/07,Masters,Indoor,Carpet,3rd Round,3,Nadal R.,Wawrinka S.,2,36,5385,780,6,4,6,3,,,,,,,2,0,Completed,1.22,4,1.22,4.25,1.25,3.9,1.298,4.06,1.26,3.7
65,Paris,BNP Paribas,01/11/07,Masters,Indoor,Carpet,3rd Round,3,Ferrer D.,Berdych T.,6,11,2130,1735,6,4,6,2,,,,,,,2,0,Completed,2.75,1.4,2.45,1.55,2.45,1.5,2.99,1.457,2.45,1.52
65,Paris,BNP Paribas,01/11/07,Masters,Indoor,Carpet,3rd Round,3,Gasquet R.,Blake J.,13,7,1680,2110,6,4,6,4,,,,,,,2,0,Completed,1.44,2.62,1.62,2.3,1.6,2.3,1.546,2.73,1.57,2.34
65,Paris,BNP Paribas,01/11/07,Masters,Indoor,Carpet,3rd Round,3,Nalbandian D.,Federer R.,21,1,1375,7205,6,4,7,6,,,,,,,2,0,Completed,5,1.14,4.25,1.22,3.9,1.25,4.7,1.244,3.8,1.25
65,Paris,BNP Paribas,01/11/07,Masters,Indoor,Carpet,3rd Round,3,Youzhny M.,Haas T.,18,10,1445,1870,6,4,1,6,6,3,,,,,2,1,Completed,1.66,2.1,1.7,2.15,1.65,2.15,1.855,2.07,1.7,2.1
65,Paris,BNP Paribas,02/11/07,Masters,Indoor,Carpet,Quarterfinals,3,Baghdatis M.,Robredo T.,22,8,1375,1965,6,4,6,4,,,,,,,2,0,Completed,1.57,2.37,1.55,2.45,1.58,2.28,1.578,2.63,1.55,2.38
65,Paris,BNP Paribas,02/11/07,Masters,Indoor,Carpet,Quarterfinals,3,Nalbandian D.,Ferrer D.,21,6,1375,2130,7,6,6,7,6,2,,,,,2,1,Completed,1.39,2.87,1.5,2.6,1.5,2.45,1.463,2.96,1.49,2.52
65,Paris,BNP Paribas,02/11/07,Masters,Indoor,Carpet,Quarterfinals,3,Nadal R.,Youzhny M.,2,18,5385,1445,6,4,6,2,,,,,,,2,0,Completed,1.22,4.33,1.35,3.2,1.35,3.1,1.316,3.86,1.35,3.1
65,Paris,BNP Paribas,02/11/07,Masters,Indoor,Carpet,Quarterfinals,3,Gasquet R.,Murray A.,13,12,1680,1705,6,3,0,6,6,4,,,,,2,1,Completed,2.1,1.72,2.1,1.73,2.15,1.65,2.3,1.714,2.15,1.7
65,Paris,BNP Paribas,03/11/07,Masters,Indoor,Carpet,Semifinals,3,Nadal R.,Baghdatis M.,2,22,5385,1375,4,6,6,4,6,3,,,,,2,1,Completed,1.25,4,1.25,4,1.25,3.9,1.29,4.15,1.26,3.75
65,Paris,BNP Paribas,03/11/07,Masters,Indoor,Carpet,Semifinals,3,Nalbandian D.,Gasquet R.,21,13,1375,1680,6,2,6,4,,,,,,,2,0,Completed,1.5,2.62,1.42,2.85,1.45,2.6,1.478,2.89,1.46,2.64
