ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,UBW,UBL
64,Paris,BNP Paribas,26/10/08,Masters,Indoor,Carpet,1st Round,3,Tursunov D.,Mannarino A.,26,137,1123,340,6,3,6,2,,,,,,,2,0,Completed,2.1,1.66,2.25,1.65,1.833,1.833,1.98,1.926,1.9,1.86
64,Paris,BNP Paribas,26/10/08,Masters,Indoor,Carpet,1st Round,3,Robredo T.,Chardy J.,19,79,1285,558,7,6,7,6,,,,,,,2,0,Completed,1.53,2.37,1.6,2.35,1.571,2.25,1.667,2.4,1.58,2.32
64,Paris,BNP Paribas,27/10/08,Masters,Indoor,Carpet,1st Round,3,Cilic M.,Seppi A.,25,34,1125,955,7,6,6,2,,,,,,,2,0,Completed,1.4,2.75,1.45,2.7,1.4,2.75,1.457,2.99,1.45,2.68
64,Paris,BNP Paribas,27/10/08,Masters,Indoor,Carpet,1st Round,3,Kiefer N.,Karlovic I.,40,24,855,1170,6,4,7,5,,,,,,,2,0,Completed,1.83,1.83,1.9,1.9,1.833,1.833,2.02,1.893,1.75,2.03
64,Paris,BNP Paribas,27/10/08,Masters,Indoor,Carpet,1st Round,3,Berdych T.,Ginepri R.,22,53,1215,720,6,4,7,5,,,,,,,2,0,Completed,1.4,2.75,1.45,2.8,1.4,2.75,1.51,2.81,1.45,2.68
64,Paris,BNP Paribas,27/10/08,Masters,Indoor,Carpet,1st Round,3,Querrey S.,Baghdatis M.,41,59,855,695,7,5,6,7,3,2,,,,,1,1,Retired,1.8,1.9,1.75,2.1,1.833,1.833,1.84,2.09,1.66,2.18
64,Paris,BNP Paribas,27/10/08,Masters,Indoor,Carpet,1st Round,3,Bolelli S.,Nieminen J.,39,36,873,910,7,5,6,4,,,,,,,2,0,Completed,2,1.72,1.95,1.85,1.909,1.8,1.971,1.935,1.96,1.8
64,Paris,BNP Paribas,27/10/08,Masters,Indoor,Carpet,1st Round,3,Monaco J.,Safin M.,49,31,740,1020,6,0,7,6,,,,,,,2,0,Completed,2.5,1.5,2.45,1.55,2.5,1.5,2.61,1.585,2.52,1.5
64,Paris,BNP Paribas,27/10/08,Masters,Indoor,Carpet,1st Round,3,Ancic M.,Schuettler R.,37,29,900,1040,6,4,3,6,6,1,,,,,2,1,Completed,1.4,2.75,1.5,2.55,1.444,2.625,1.556,2.7,1.53,2.44
64,Paris,BNP Paribas,27/10/08,Masters,Indoor,Carpet,1st Round,3,Andreev I.,Mathieu P.H.,20,32,1260,1000,7,6,6,3,,,,,,,2,0,Completed,1.61,2.2,1.55,2.45,1.615,2.2,1.68,2.37,1.58,2.3
64,Paris,BNP Paribas,27/10/08,Masters,Indoor,Carpet,1st Round,3,Lopez F.,Tipsarevic J.,33,45,975,795,6,3,6,4,,,,,,,2,0,Completed,1.61,2.2,1.6,2.3,1.615,2.2,1.741,2.25,1.65,2.18
64,Paris,BNP Paribas,28/10/08,Masters,Indoor,Carpet,1st Round,3,Soderling R.,Ouanna J.,18,152,1290,289,6,3,6,4,,,,,,,2,0,Completed,1.1,6.5,1.13,6.14,1.111,6,1.16,6.65,1.12,6
64,Paris,BNP Paribas,28/10/08,Masters,Indoor,Carpet,1st Round,3,Kohlschreiber P.,Youzhny M.,30,27,1040,1105,6,1,6,4,,,,,,,2,0,Completed,1.4,2.75,1.45,2.7,1.444,2.625,1.541,2.75,1.48,2.56
64,Paris,BNP Paribas,28/10/08,Masters,Indoor,Carpet,1st Round,3,Ljubicic I.,Troicki V.,48,51,745,726,6,3,6,4,,,,,,,2,0,Completed,2.2,1.61,2.2,1.7,1.909,1.8,2.26,1.735,2.15,1.67
64,Paris,BNP Paribas,28/10/08,Masters,Indoor,Carpet,1st Round,3,Serra F.,Canas G.,63,68,663,620,4,6,7,5,6,3,,,,,2,1,Completed,2.25,1.57,2.32,1.61,2.1,1.667,2.36,1.685,2.08,1.72
64,Paris,BNP Paribas,28/10/08,Masters,Indoor,Carpet,1st Round,3,Stepanek R.,Gicquel M.,28,57,1095,709,6,4,3,6,6,4,,,,,2,1,Completed,1.36,3,1.4,2.95,1.364,3,1.461,2.97,1.45,2.68
64,Paris,BNP Paribas,28/10/08,Masters,Indoor,Carpet,2nd Round,3,Monfils G.,Monaco J.,16,49,1408,740,6,4,6,4,,,,,,,2,0,Completed,1.2,4.33,1.25,3.95,1.25,3.75,1.283,4.23,1.24,3.9
64,Paris,BNP Paribas,28/10/08,Masters,Indoor,Carpet,2nd Round,3,Del Potro J.M.,Ancic M.,9,37,1820,900,6,0,6,4,,,,,,,2,0,Completed,1.28,3.5,1.35,3.3,1.25,3.75,1.352,3.64,1.27,3.6
64,Paris,BNP Paribas,28/10/08,Masters,Indoor,Carpet,2nd Round,3,Djokovic N.,Tursunov D.,3,26,4575,1123,6,2,4,3,,,,,,,1,0,Retired,1.1,6.5,1.15,5.6,1.143,5,1.189,5.8,1.13,5.7
64,Paris,BNP Paribas,28/10/08,Masters,Indoor,Carpet,2nd Round,3,Roddick A.,Lopez F.,7,33,2045,975,6,3,6,4,,,,,,,2,0,Completed,1.38,2.87,1.5,2.65,1.4,2.75,1.493,2.83,1.48,2.58
64,Paris,BNP Paribas,28/10/08,Masters,Indoor,Carpet,2nd Round,3,Verdasco F.,Robredo T.,17,19,1345,1285,6,2,6,7,6,2,,,,,2,1,Completed,2,1.72,2.05,1.8,1.833,1.833,2.02,1.893,1.97,1.8
64,Paris,BNP Paribas,29/10/08,Masters,Indoor,Carpet,2nd Round,3,Nalbandian D.,Kiefer N.,8,40,1875,855,7,6,6,3,,,,,,,2,0,Completed,1.28,3.5,1.35,3.3,1.3,3.4,1.35,3.66,1.28,3.5
64,Paris,BNP Paribas,29/10/08,Masters,Indoor,Carpet,2nd Round,3,Cilic M.,Granollers M.,25,58,1125,708,6,4,7,6,,,,,,,2,0,Completed,1.2,4.33,1.25,3.95,1.286,3.5,1.275,4.34,1.27,3.6
64,Paris,BNP Paribas,29/10/08,Masters,Indoor,Carpet,2nd Round,3,Kohlschreiber P.,Ferrer D.,30,5,1040,2315,6,3,6,2,,,,,,,2,0,Completed,1.66,2.1,1.65,2.2,1.571,2.25,1.704,2.32,1.7,2.1
64,Paris,BNP Paribas,29/10/08,Masters,Indoor,Carpet,2nd Round,3,Simon G.,Andreev I.,10,20,1740,1260,6,3,7,5,,,,,,,2,0,Completed,1.61,2.2,1.6,2.4,1.615,2.2,1.68,2.37,1.57,2.34
64,Paris,BNP Paribas,29/10/08,Masters,Indoor,Carpet,2nd Round,3,Davydenko N.,Ljubicic I.,6,48,2265,745,7,6,7,5,,,,,,,2,0,Completed,1.57,2.25,1.67,2.21,1.615,2.2,1.606,2.55,1.44,2.7
64,Paris,BNP Paribas,29/10/08,Masters,Indoor,Carpet,2nd Round,3,Nadal R.,Serra F.,1,63,7100,663,6,2,6,4,,,,,,,2,0,Completed,1.01,13,1.02,13.5,1.02,11,1.035,22,1.02,15
64,Paris,BNP Paribas,29/10/08,Masters,Indoor,Carpet,2nd Round,3,Berdych T.,Wawrinka S.,22,12,1215,1580,6,3,7,5,,,,,,,2,0,Completed,1.4,2.75,1.49,2.65,1.444,2.625,1.543,2.74,1.47,2.6
64,Paris,BNP Paribas,29/10/08,Masters,Indoor,Carpet,2nd Round,3,Tsonga J.W.,Stepanek R.,14,28,1485,1095,3,6,6,4,6,4,,,,,2,1,Completed,1.4,2.75,1.44,2.8,1.444,2.625,1.524,2.78,1.5,2.52
64,Paris,BNP Paribas,29/10/08,Masters,Indoor,Carpet,2nd Round,3,Blake J.,Bolelli S.,11,39,1625,873,6,7,6,3,6,4,,,,,2,1,Completed,1.5,2.5,1.55,2.45,1.5,2.5,1.625,2.5,1.48,2.57
64,Paris,BNP Paribas,29/10/08,Masters,Indoor,Carpet,2nd Round,3,Federer R.,Soderling R.,2,18,5805,1290,6,4,7,6,,,,,,,2,0,Completed,1.11,6,1.13,5.95,1.125,5.5,1.187,5.86,1.13,5.7
64,Paris,BNP Paribas,29/10/08,Masters,Indoor,Carpet,2nd Round,3,Murray A.,Querrey S.,4,41,3420,855,6,2,6,4,,,,,,,2,0,Completed,1.05,9,1.09,7.33,1.083,7,1.069,12.45,1.06,8.5
64,Paris,BNP Paribas,30/10/08,Masters,Indoor,Carpet,3rd Round,3,Nalbandian D.,Del Potro J.M.,8,9,1875,1820,6,4,6,0,,,,,,,2,0,Completed,2.25,1.57,2.27,1.64,2.2,1.615,2.45,1.645,2.1,1.7
64,Paris,BNP Paribas,30/10/08,Masters,Indoor,Carpet,3rd Round,3,Roddick A.,Simon G.,7,10,2045,1740,6,3,7,5,,,,,,,2,0,Completed,1.57,2.25,1.7,2.15,1.615,2.2,1.704,2.32,1.7,2.1
64,Paris,BNP Paribas,30/10/08,Masters,Indoor,Carpet,3rd Round,3,Tsonga J.W.,Djokovic N.,14,3,1485,4575,6,4,1,6,6,3,,,,,2,1,Completed,3.25,1.33,3.17,1.36,3,1.364,3.18,1.42,2.95,1.38
64,Paris,BNP Paribas,30/10/08,Masters,Indoor,Carpet,3rd Round,3,Blake J.,Kohlschreiber P.,11,30,1625,1040,6,4,6,4,,,,,,,2,0,Completed,2.2,1.61,2.2,1.65,2.1,1.667,2.37,1.68,2.18,1.65
64,Paris,BNP Paribas,30/10/08,Masters,Indoor,Carpet,3rd Round,3,Murray A.,Verdasco F.,4,17,3420,1345,6,3,7,6,,,,,,,2,0,Completed,1.06,8,1.1,6.75,1.1,6.5,1.1,9,1.09,7
64,Paris,BNP Paribas,30/10/08,Masters,Indoor,Carpet,3rd Round,3,Federer R.,Cilic M.,2,25,5805,1125,6,3,6,4,,,,,,,2,0,Completed,1.06,8,1.05,9.5,1.063,8,1.091,10,1.04,11
64,Paris,BNP Paribas,30/10/08,Masters,Indoor,Carpet,3rd Round,3,Nadal R.,Monfils G.,1,16,7100,1408,6,3,6,2,,,,,,,2,0,Completed,1.12,5.5,1.18,5.01,1.143,5,1.225,5.04,1.16,5
64,Paris,BNP Paribas,30/10/08,Masters,Indoor,Carpet,3rd Round,3,Davydenko N.,Berdych T.,6,22,2265,1215,6,1,6,1,,,,,,,2,0,Completed,1.83,1.83,1.9,1.9,1.833,1.833,2.04,1.877,1.84,1.92
64,Paris,BNP Paribas,31/10/08,Masters,Indoor,Carpet,Quarterfinals,3,Nalbandian D.,Murray A.,8,4,1875,3420,7,6,6,3,,,,,,,2,0,Completed,2.87,1.4,2.65,1.49,2.75,1.4,3.02,1.45,2.7,1.44
64,Paris,BNP Paribas,31/10/08,Masters,Indoor,Carpet,Quarterfinals,3,Davydenko N.,Nadal R.,6,1,2265,7100,6,1,,,,,,,,,1,0,Retired,3.4,1.33,3.4,1.32,3.25,1.333,3.45,1.377,2.95,1.38
64,Paris,BNP Paribas,31/10/08,Masters,Indoor,Carpet,Quarterfinals,3,Blake J.,Federer R.,11,2,1625,5805,,,,,,,,,,,,,Walkover,9,1.06,6.75,1.1,7,1.083,8.75,1.111,6,1.12
64,Paris,BNP Paribas,31/10/08,Masters,Indoor,Carpet,Quarterfinals,3,Tsonga J.W.,Roddick A.,14,7,1485,2045,5,7,6,4,7,6,,,,,2,1,Completed,2.1,1.72,2.16,1.7,1.909,1.8,2.2,1.769,2,1.77
64,Paris,BNP Paribas,01/11/08,Masters,Indoor,Carpet,Semifinals,3,Nalbandian D.,Davydenko N.,8,6,1875,2265,6,1,5,7,6,4,,,,,2,1,Completed,1.53,2.5,1.54,2.51,1.5,2.5,1.578,2.63,1.54,2.4
64,Paris,BNP Paribas,01/11/08,Masters,Indoor,Carpet,Semifinals,3,Tsonga J.W.,Blake J.,14,11,1485,1625,6,4,6,3,,,,,,,2,0,Completed,1.57,2.37,1.55,2.45,1.571,2.25,1.599,2.57,1.57,2.34
64,Paris,BNP Paribas,02/11/08,Masters,Indoor,Carpet,The Final,3,Nalbandian D.,Tsonga J.W.,8,14,1875,1485,6,3,4,6,6,4,,,,,2,1,Completed,1.57,2.37,1.6,2.4,1.571,2.25,1.641,2.46,1.64,2.2
