ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,SJW,SJL,UBW,UBL
64,Paris,BNP Paribas Masters,08/11/09,Masters 1000,Indoor,Hard,1st Round,3,Blake J.,Santoro F.,41,54,980,815,6,4,6,3,,,,,,,2,0,Completed,1.25,3.75,1.2,4.25,1.286,3.5,1.2,4,1.23,4
64,Paris,BNP Paribas Masters,08/11/09,Masters 1000,Indoor,Hard,1st Round,3,Becker B.,Llodra M.,44,71,948,659,3,6,6,2,6,3,,,,,2,1,Completed,3,1.36,3.1,1.35,3,1.364,3,1.33,3.2,1.33
64,Paris,BNP Paribas Masters,09/11/09,Masters 1000,Indoor,Hard,1st Round,3,Seppi A.,Kohlschreiber P.,50,26,875,1340,6,3,6,3,,,,,,,2,0,Completed,3.75,1.25,3.85,1.25,3.4,1.3,2.88,1.36,3.4,1.3
64,Paris,BNP Paribas Masters,09/11/09,Masters 1000,Indoor,Hard,1st Round,3,Karlovic I.,Cuevas P.,39,48,1015,901,7,6,6,4,,,,,,,2,0,Completed,1.57,2.25,1.55,2.35,1.571,2.25,1.57,2.25,1.6,2.28
64,Paris,BNP Paribas Masters,09/11/09,Masters 1000,Indoor,Hard,1st Round,3,Kubot L.,Beck A.,111,34,500,1066,6,4,3,6,6,4,,,,,2,1,Completed,2,1.72,1.95,1.8,1.909,1.8,2,1.73,2.05,1.74
64,Paris,BNP Paribas Masters,09/11/09,Masters 1000,Indoor,Hard,1st Round,3,Berdych T.,Millot V.,20,247,1655,189,6,3,7,6,,,,,,,2,0,Completed,1.07,7.5,1.06,7.79,1.1,6.5,1.08,6.5,1.09,7
64,Paris,BNP Paribas Masters,09/11/09,Masters 1000,Indoor,Hard,1st Round,3,Montanes A.,Hanescu V.,32,37,1135,1021,3,6,6,3,7,6,,,,,2,1,Completed,3,1.36,3.1,1.35,2.63,1.44,2.75,1.4,3.1,1.35
64,Paris,BNP Paribas Masters,09/11/09,Masters 1000,Indoor,Hard,1st Round,3,Isner J.,Falla A.,35,87,1032,562,4,6,7,6,7,5,,,,,2,1,Completed,1.5,2.5,1.6,2.25,1.571,2.25,1.53,2.38,1.67,2.15
64,Paris,BNP Paribas Masters,09/11/09,Masters 1000,Indoor,Hard,1st Round,3,Safin M.,Ascione T.,65,168,695,304,6,4,4,6,7,6,,,,,2,1,Completed,1.36,3,1.45,2.65,1.4,2.75,1.4,2.75,1.5,2.52
64,Paris,BNP Paribas Masters,09/11/09,Masters 1000,Indoor,Hard,1st Round,3,Ljubicic I.,Grosjean S.,25,705,1380,26,7,6,6,4,,,,,,,2,0,Completed,1.14,5,1.18,4.5,1.143,5,1.17,4.5,1.17,4.8
64,Paris,BNP Paribas Masters,09/11/09,Masters 1000,Indoor,Hard,1st Round,3,Troicki V.,Mathieu P.H.,29,33,1175,1090,7,6,3,0,,,,,,,1,0,Retired,1.66,2.1,1.6,2.25,1.667,2.1,1.57,2.25,1.67,2.15
64,Paris,BNP Paribas Masters,10/11/09,Masters 1000,Indoor,Hard,1st Round,3,Almagro N.,Chiudinelli M.,27,55,1305,795,6,2,6,4,,,,,,,2,0,Completed,1.9,1.8,2,1.75,2,1.727,2,1.73,2.05,1.74
64,Paris,BNP Paribas Masters,10/11/09,Masters 1000,Indoor,Hard,1st Round,3,Guez D.,Wawrinka S.,179,21,287,1625,6,3,6,4,,,,,,,2,0,Completed,6,1.11,6.25,1.1,5.5,1.125,6,1.1,6,1.12
64,Paris,BNP Paribas Masters,10/11/09,Masters 1000,Indoor,Hard,1st Round,3,Monaco J.,Chardy J.,30,31,1150,1137,7,6,7,5,,,,,,,2,0,Completed,2.25,1.57,2.5,1.5,2.2,1.615,2.38,1.53,2.48,1.52
64,Paris,BNP Paribas Masters,10/11/09,Masters 1000,Indoor,Hard,1st Round,3,Benneteau J.,Petzschner P.,49,81,879,585,4,6,7,5,6,3,,,,,2,1,Completed,1.4,2.75,1.44,2.65,1.4,2.75,1.36,2.88,1.43,2.75
64,Paris,BNP Paribas Masters,10/11/09,Masters 1000,Indoor,Hard,1st Round,3,Clement A.,Lopez F.,93,47,552,915,6,3,6,1,,,,,,,2,0,Completed,2.37,1.53,2.35,1.55,2.25,1.571,2.38,1.53,2.24,1.62
64,Paris,BNP Paribas Masters,10/11/09,Masters 1000,Indoor,Hard,2nd Round,3,Davydenko N.,Becker B.,7,44,4430,948,6,2,6,1,,,,,,,2,0,Completed,1.06,8,1.1,6.25,1.1,6.5,1.07,8,1.09,7
