ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
64,Paris,BNP Paribas Masters,08/11/11,Masters 1000,Indoor,Hard,1st Round,3,Dodig I.,Fognini F.,39,42,1035,975,4,6,6,1,6,3,,,,,2,1,Completed,1.5,2.5,1.5,2.5,1.5,2.5,1.54,2.66,1.4,2.75,1.57,2.75,1.5,2.51
64,Paris,BNP Paribas Masters,08/11/11,Masters 1000,Indoor,Hard,1st Round,3,Lopez F.,Llodra M.,21,32,1675,1265,7,6,6,3,,,,,,,2,0,Completed,2.2,1.61,2.15,1.65,2.1,1.67,2.3,1.69,2.25,1.62,2.38,1.76,2.16,1.66
64,Paris,BNP Paribas Masters,08/11/11,Masters 1000,Indoor,Hard,1st Round,3,Stakhovsky S.,Nishikori K.,63,24,755,1500,6,4,6,3,,,,,,,2,0,Completed,3,1.36,2.8,1.4,2.5,1.5,3.14,1.42,2.88,1.36,3.15,1.5,2.8,1.41
64,Paris,BNP Paribas Masters,08/11/11,Masters 1000,Indoor,Hard,1st Round,3,Chardy J.,Granollers M.,110,28,515,1335,6,3,,,,,,,,,1,0,Retired,1.8,1.9,1.8,1.95,1.8,1.91,1.85,2.06,1.9,1.9,1.92,2.2,1.82,1.93
64,Paris,BNP Paribas Masters,08/11/11,Masters 1000,Indoor,Hard,1st Round,3,Isner J.,Wawrinka S.,25,16,1450,1900,6,7,7,5,7,6,,,,,2,1,Completed,2.25,1.57,2.35,1.55,2.25,1.57,2.48,1.61,2.25,1.62,2.48,1.72,2.29,1.59
64,Paris,BNP Paribas Masters,08/11/11,Masters 1000,Indoor,Hard,1st Round,3,Monaco J.,Young D.,34,43,1200,975,6,4,6,2,,,,,,,2,0,Completed,1.72,2,1.85,1.9,1.83,1.83,1.8,2.13,1.62,2.25,1.91,2.25,1.8,1.96
64,Paris,BNP Paribas Masters,07/11/11,Masters 1000,Indoor,Hard,1st Round,3,Garcia-Lopez G.,Giraldo S.,64,45,730,925,6,4,1,6,6,4,,,,,2,1,Completed,2.75,1.4,2.65,1.45,2.63,1.44,2.86,1.48,2.5,1.5,3,1.51,2.62,1.46
64,Paris,BNP Paribas Masters,07/11/11,Masters 1000,Indoor,Hard,1st Round,3,Kohlschreiber P.,Youzhny M.,50,37,900,1105,6,4,6,2,,,,,,,2,0,Completed,1.61,2.2,1.65,2.15,1.73,2,1.77,2.18,1.67,2.1,1.77,2.73,1.66,2.17
64,Paris,BNP Paribas Masters,07/11/11,Masters 1000,Indoor,Hard,1st Round,3,Verdasco F.,Cilic M.,23,18,1595,1745,3,6,6,2,6,3,,,,,2,1,Completed,2.75,1.4,2.8,1.4,2.63,1.44,3,1.45,2.88,1.4,3.25,1.47,2.86,1.4
64,Paris,BNP Paribas Masters,07/11/11,Masters 1000,Indoor,Hard,1st Round,3,Anderson K.,Muller G.,33,53,1235,883,6,3,4,6,6,4,,,,,2,1,Completed,1.36,3,1.4,2.8,1.4,2.75,1.43,3.09,1.36,3,1.48,3.2,1.4,2.84
