ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
65,Paris,BNP Paribas Masters,02/11/15,Masters 1000,Indoor,Hard,1st Round,3,Thiem D.,Mannarino A.,19,42,1600,1035,6,2,5,7,6,2,,,,,2,1,Completed,1.53,2.37,1.48,2.5,1.5,2.62,1.63,2.44,1.63,2.75,1.51,2.51
65,Paris,BNP Paribas Masters,02/11/15,Masters 1000,Indoor,Hard,1st Round,3,Bellucci T.,Gabashvili T.,40,50,1080,857,6,4,6,4,,,,,,,2,0,Completed,1.72,2,1.75,2.05,1.8,2,1.85,2.07,1.85,2.2,1.75,2.06
65,Paris,BNP Paribas Masters,02/11/15,Masters 1000,Indoor,Hard,1st Round,3,Seppi A.,Cuevas P.,28,35,1405,1145,7,5,6,3,,,,,,,2,0,Completed,1.66,2.1,1.68,2.15,1.73,2.1,1.83,2.09,1.83,2.15,1.74,2.06
65,Paris,BNP Paribas Masters,02/11/15,Masters 1000,Indoor,Hard,1st Round,3,Tomic B.,Fognini F.,18,22,1675,1550,6,3,6,2,,,,,,,2,0,Completed,1.66,2.1,1.72,2.05,1.73,2.1,1.81,2.11,1.84,2.3,1.74,2.07
65,Paris,BNP Paribas Masters,02/11/15,Masters 1000,Indoor,Hard,1st Round,3,Lajovic D.,Mahut N.,87,70,628,718,7,5,6,3,,,,,,,2,0,Completed,2.1,1.66,2.2,1.65,2.2,1.67,2.07,1.85,2.2,1.85,2.07,1.73
65,Paris,BNP Paribas Masters,02/11/15,Masters 1000,Indoor,Hard,1st Round,3,Dolgopolov O.,Vesely J.,37,39,1110,1092,6,3,7,6,,,,,,,2,0,Completed,3.25,1.33,3,1.38,3,1.4,3.44,1.36,3.35,1.4,3.15,1.34
65,Paris,BNP Paribas Masters,02/11/15,Masters 1000,Indoor,Hard,1st Round,3,Bedene A.,Granollers M.,49,88,877,619,7,5,7,6,,,,,,,2,0,Completed,1.66,2.1,1.75,2.05,1.67,2.2,1.75,2.21,1.81,2.21,1.72,2.1
65,Paris,BNP Paribas Masters,02/11/15,Masters 1000,Indoor,Hard,1st Round,3,Mayer L.,Klizan M.,36,44,1125,990,6,4,6,3,,,,,,,2,0,Completed,1.72,2,1.8,2,1.91,1.91,1.93,1.97,1.93,2.05,1.83,1.95
65,Paris,BNP Paribas Masters,02/11/15,Masters 1000,Indoor,Hard,1st Round,3,Paire B.,Monfils G.,23,20,1528,1590,2,6,7,6,6,4,,,,,2,1,Completed,2.75,1.4,2.8,1.4,2.75,1.44,2.93,1.46,2.95,1.46,2.78,1.43
65,Paris,BNP Paribas Masters,02/11/15,Masters 1000,Indoor,Hard,1st Round,3,Dimitrov G.,Carreno-Busta P.,29,69,1315,719,6,4,6,1,,,,,,,2,0,Completed,1.22,4,1.18,4.5,1.22,4.33,1.27,4.21,1.27,4.5,1.23,4.11
65,Paris,BNP Paribas Masters,03/11/15,Masters 1000,Indoor,Hard,1st Round,3,Roger-Vasselin E.,Karlovic I.,149,21,385,1565,4,6,7,6,7,6,,,,,2,1,Completed,3,1.36,2.9,1.4,3,1.4,3.08,1.43,3.15,1.45,2.92,1.39
65,Paris,BNP Paribas Masters,03/11/15,Masters 1000,Indoor,Hard,1st Round,3,Chardy J.,Pouille L.,32,84,1230,645,3,6,6,3,6,2,,,,,2,1,Completed,1.36,3,1.38,3,1.4,3,1.46,2.95,1.46,3.15,1.4,2.91
65,Paris,BNP Paribas Masters,03/11/15,Masters 1000,Indoor,Hard,1st Round,3,Troicki V.,Sock J.,27,25,1442,1470,6,2,6,3,,,,,,,2,0,Completed,3,1.36,3,1.38,3.25,1.36,3.33,1.38,3.33,1.4,3.1,1.35
65,Paris,BNP Paribas Masters,03/11/15,Masters 1000,Indoor,Hard,1st Round,3,Bautista R.,Herbert P.H,24,137,1525,413,4,6,6,3,6,2,,,,,2,1,Completed,1.5,2.5,1.5,2.5,1.53,2.5,1.5,2.8,1.58,2.8,1.51,2.5
