ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
30,Paris,BNP Paribas Masters,02/11/2020,Masters 1000,Indoor,Hard,1st Round,3,Coric B.,Fucsovics M.,24,52,1820,1047,7,6,6,1,,,,,,,2,0,Completed,1.4,2.75,1.52,2.72,1.52,3.13,1.44,2.8
30,Paris,BNP Paribas Masters,02/11/2020,Masters 1000,Indoor,Hard,1st Round,3,Albot R.,Hurkacz H.,90,33,772,1518,7,5,6,7,6,4,,,,,2,1,Completed,3.75,1.25,3.67,1.33,3.94,1.37,3.49,1.3
30,Paris,BNP Paribas Masters,02/11/2020,Masters 1000,Indoor,Hard,1st Round,3,Lopez F.,Krajinovic F.,64,30,953,1628,7,6,6,1,,,,,,,2,0,Completed,3.75,1.25,4.28,1.26,4.3,1.31,3.87,1.26
30,Paris,BNP Paribas Masters,02/11/2020,Masters 1000,Indoor,Hard,1st Round,3,Giron M.,Ramos-Vinolas A.,91,46,769,1165,6,3,4,6,6,1,,,,,2,1,Completed,1.3,3.4,1.41,3.18,1.41,3.4,1.36,3.17
30,Paris,BNP Paribas Masters,02/11/2020,Masters 1000,Indoor,Hard,1st Round,3,Moutet C.,Caruso S.,75,81,838,802,3,6,7,6,6,3,,,,,2,1,Completed,1.8,1.95,1.84,2.08,1.91,2.1,1.82,2
30,Paris,BNP Paribas Masters,02/11/2020,Masters 1000,Indoor,Hard,1st Round,3,Thompson J.,Delbonis F.,61,78,994,816,6,2,6,3,,,,,,,2,0,Completed,1.53,2.37,1.68,2.32,1.68,2.75,1.59,2.37
30,Paris,BNP Paribas Masters,02/11/2020,Masters 1000,Indoor,Hard,1st Round,3,Gombos N.,Cecchinato M.,105,79,682,811,6,2,7,6,,,,,,,2,0,Completed,1.57,2.25,1.6,2.51,1.63,2.6,1.57,2.4
30,Paris,BNP Paribas Masters,02/11/2020,Masters 1000,Indoor,Hard,1st Round,3,Struff J.L.,Basilashvili N.,35,39,1450,1395,6,4,6,2,,,,,,,2,0,Completed,1.12,6,1.17,6.01,1.19,6.7,1.14,5.77
30,Paris,BNP Paribas Masters,02/11/2020,Masters 1000,Indoor,Hard,1st Round,3,Humbert U.,Ruud C.,34,27,1466,1739,4,6,6,2,7,6,,,,,2,1,Completed,1.33,3.25,1.37,3.39,1.4,3.4,1.35,3.21
30,Paris,BNP Paribas Masters,02/11/2020,Masters 1000,Indoor,Hard,1st Round,3,De Minaur A.,Travaglia S.,25,74,1815,849,6,4,6,4,,,,,,,2,0,Completed,1.18,4.5,1.16,6.16,1.22,6.16,1.17,5.22
30,Paris,BNP Paribas Masters,02/11/2020,Masters 1000,Indoor,Hard,1st Round,3,Bonzi B.,Coria F.,180,93,346,757,6,2,6,1,,,,,,,2,0,Completed,1.4,2.75,1.34,3.56,1.45,3.56,1.36,3.18
30,Paris,BNP Paribas Masters,02/11/2020,Masters 1000,Indoor,Hard,1st Round,3,Cilic M.,Auger-Aliassime F.,43,21,1280,2171,6,0,3,6,6,3,,,,,2,1,Completed,3,1.36,3.31,1.38,3.6,1.54,3.13,1.37
30,Paris,BNP Paribas Masters,02/11/2020,Masters 1000,Indoor,Hard,1st Round,3,Davidovich Fokina A.,Khachanov K.,63,19,963,2245,6,3,2,6,6,2,,,,,2,1,Completed,2.37,1.53,2.43,1.63,2.5,1.65,2.37,1.59
30,Paris,BNP Paribas Masters,02/11/2020,Masters 1000,Indoor,Hard,1st Round,3,Carreno Busta P.,Gaston H.,15,161,2400,390,6,3,6,2,,,,,,,2,0,Completed,1.28,3.5,1.29,4.05,1.36,4.3,1.26,3.89
30,Paris,BNP Paribas Masters,03/11/2020,Masters 1000,Indoor,Hard,1st Round,3,Nishioka Y.,Andujar P.,51,57,1052,1024,5,7,6,4,6,2,,,,,2,1,Completed,1.28,3.5,1.27,4.28,1.31,4.28,1.27,3.79
30,Paris,BNP Paribas Masters,03/11/2020,Masters 1000,Indoor,Hard,1st Round,3,Raonic M.,Bedene A.,17,53,2265,1045,6,3,6,2,,,,,,,2,0,Completed,1.18,4.5,1.21,5.09,1.22,5.09,1.2,4.6
30,Paris,BNP Paribas Masters,03/11/2020,Masters 1000,Indoor,Hard,1st Round,3,Wawrinka S.,Evans D.,20,31,2230,1589,6,3,7,6,,,,,,,2,0,Completed,1.44,2.62,1.53,2.69,1.54,2.88,1.49,2.64
30,Paris,BNP Paribas Masters,03/11/2020,Masters 1000,Indoor,Hard,1st Round,3,Anderson K.,Djere L.,86,54,780,1042,5,2,,,,,,,,,0,0,Retired,1.22,4,1.27,4.18,1.28,4.3,1.25,3.96
30,Paris,BNP Paribas Masters,03/11/2020,Masters 1000,Indoor,Hard,1st Round,3,Gasquet R.,Fritz T.,56,29,1030,1670,6,0,3,6,6,3,,,,,2,1,Completed,2.2,1.61,2.22,1.74,2.3,1.76,2.19,1.68
30,Paris,BNP Paribas Masters,03/11/2020,Masters 1000,Indoor,Hard,1st Round,3,Herbert P.H.,Sandgren T.,85,48,787,1078,2,6,6,4,7,6,,,,,2,1,Completed,1.57,2.25,1.6,2.5,1.65,2.6,1.57,2.41
30,Paris,BNP Paribas Masters,03/11/2020,Masters 1000,Indoor,Hard,1st Round,3,Sonego L.,Bublik A.,32,49,1543,1070,6,1,6,4,,,,,,,2,0,Completed,1.61,2.2,1.72,2.26,1.77,2.3,1.7,2.15
30,Paris,BNP Paribas Masters,03/11/2020,Masters 1000,Indoor,Hard,1st Round,3,Paul T.,Simon G.,55,59,1035,1005,3,6,6,3,6,3,,,,,2,1,Completed,2.62,1.44,2.72,1.52,2.75,1.56,2.61,1.5
