ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment
32,Paris,French Open,29/05/00,Grand Slam,Outdoor,Clay,1st Round,5,Agassi A.,Dupuis A.,1,116,7,6,6,3,6,4,,,,,3,0,Completed
32,Paris,French Open,29/05/00,Grand Slam,Outdoor,Clay,1st Round,5,Agenor R.,Srichaphan P.,91,92,6,2,6,4,3,6,7,6,,,3,1,Completed
32,Paris,French Open,29/05/00,Grand Slam,Outdoor,Clay,1st Round,5,Arazi H.,Woodruff C.,28,41,6,3,6,4,7,6,,,,,3,0,Completed
32,Paris,French Open,29/05/00,Grand Slam,Outdoor,Clay,1st Round,5,Balcells J.,Bruguera S.,122,198,6,3,5,7,6,2,1,6,6,0,3,2,Completed
32,Paris,French Open,29/05/00,Grand Slam,Outdoor,Clay,1st Round,5,Browne F.,Marin J.A.,123,71,7,5,6,3,6,7,6,1,,,3,1,Completed
32,Paris,French Open,29/05/00,Grand Slam,Outdoor,Clay,1st Round,5,Calleri A.,Mantilla F.,102,63,6,2,6,3,6,4,,,,,3,0,Completed
32,Paris,French Open,29/05/00,Grand Slam,Outdoor,Clay,1st Round,5,Chang M.,Voinea A.,33,90,6,1,6,2,2,6,6,3,,,3,1,Completed
32,Paris,French Open,29/05/00,Grand Slam,Outdoor,Clay,1st Round,5,Charpentier M.,Alami K.,230,30,6,7,6,4,6,3,1,6,6,3,3,2,Completed
32,Paris,French Open,29/05/00,Grand Slam,Outdoor,Clay,1st Round,5,Chela J.I.,Martin T.,56,22,4,6,6,3,6,4,6,4,,,3,1,Completed
32,Paris,French Open,29/05/00,Grand Slam,Outdoor,Clay,1st Round,5,Clavet F.,Canas G.,49,117,6,2,6,0,6,3,,,,,3,0,Completed
32,Paris,French Open,29/05/00,Grand Slam,Outdoor,Clay,1st Round,5,Clement A.,Escude N.,59,23,7,6,6,4,6,0,,,,,3,0,Completed
