ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
33,Paris,French Open,28/05/01,Grand Slam,Outdoor,Clay,1st Round,5,Acasuso J.,Gustafsson M.,91,57,6,3,6,2,6,3,,,,,3,0,Completed,2,1.75,2.1,1.55,2,1.55,2.25,1.571
33,Paris,French Open,28/05/01,Grand Slam,Outdoor,Clay,1st Round,5,Agassi A.,Johansson T.,3,20,6,2,6,3,7,6,,,,,3,0,Completed,1.17,4.5,1.12,4.5,1.15,3.8,1.111,6
33,Paris,French Open,28/05/01,Grand Slam,Outdoor,Clay,1st Round,5,Alami K.,Sanguinetti D.,109,58,6,7,6,1,6,7,6,4,6,1,3,2,Completed,1.85,1.9,1.7,1.9,1.55,2,1.833,1.833
33,Paris,French Open,28/05/01,Grand Slam,Outdoor,Clay,1st Round,5,Andersen J.F.,Thomann N.,200,134,7,6,0,6,6,7,6,2,6,4,3,2,Completed,,,1.85,1.72,1.75,1.75,,
33,Paris,French Open,28/05/01,Grand Slam,Outdoor,Clay,1st Round,5,Arazi H.,Elsner D.,27,111,6,4,6,4,2,6,6,1,,,3,1,Completed,1.22,4,1.15,3.9,1.15,3.8,1.2,4
33,Paris,French Open,28/05/01,Grand Slam,Outdoor,Clay,1st Round,5,Arthurs W.,Rafter P.,59,8,4,6,2,6,6,3,7,6,6,1,3,2,Completed,3.25,1.3,4,1.15,3.2,1.2,4,1.2
33,Paris,French Open,28/05/01,Grand Slam,Outdoor,Clay,1st Round,5,Balcells J.,Kiefer N.,61,28,6,2,1,6,4,6,6,3,8,6,3,2,Completed,2.05,1.7,1.82,1.77,1.75,1.75,2,1.727
33,Paris,French Open,28/05/01,Grand Slam,Outdoor,Clay,1st Round,5,Blanco G.,Schuettler R.,76,56,1,6,7,6,6,4,7,6,,,3,1,Completed,1.38,2.85,1.47,2.3,1.4,2.3,1.5,2.5
33,Paris,French Open,28/05/01,Grand Slam,Outdoor,Clay,1st Round,5,Boutter J.,Costa A.,73,34,6,2,5,7,6,7,6,4,7,5,3,2,Completed,3.6,1.25,3.5,1.2,3,1.25,3.2,1.3
33,Paris,French Open,28/05/01,Grand Slam,Outdoor,Clay,1st Round,5,Bruguera S.,Llodra M.,65,110,3,6,6,7,6,2,6,4,6,3,3,2,Completed,1.28,3.3,1.25,3.15,1.25,3,1.333,3
33,Paris,French Open,28/05/01,Grand Slam,Outdoor,Clay,1st Round,5,Burgsmuller L.,Prinosil D.,92,29,5,7,6,2,6,4,7,5,,,3,1,Completed,1.6,2.2,1.65,1.95,1.65,1.85,1.667,2.1
33,Paris,French Open,28/05/01,Grand Slam,Outdoor,Clay,1st Round,5,Calatrava A.,Clavet F.,47,51,4,6,7,5,6,0,6,3,,,3,1,Completed,1.75,2,1.82,1.75,1.85,1.65,1.667,2.1
33,Paris,French Open,28/05/01,Grand Slam,Outdoor,Clay,1st Round,5,Calleri A.,van Lottum J.,74,199,6,3,6,0,6,4,,,,,3,0,Completed,1.3,3.25,1.2,3.5,1.2,3.2,1.286,3.25
33,Paris,French Open,28/05/01,Grand Slam,Outdoor,Clay,1st Round,5,Canas G.,Rochus C.,82,90,6,4,6,3,6,1,,,,,3,0,Completed,1.32,3.1,1.4,2.5,1.35,2.5,1.333,3
33,Paris,French Open,28/05/01,Grand Slam,Outdoor,Clay,1st Round,5,Chang M.,Popp A.,35,100,6,3,6,3,6,1,,,,,3,0,Completed,1.38,2.85,1.3,2.8,1.3,2.7,1.364,2.875
33,Paris,French Open,28/05/01,Grand Slam,Outdoor,Clay,1st Round,5,Corretja A.,Zabaleta M.,13,103,2,6,7,6,6,3,4,6,6,1,3,2,Completed,1.22,4,1.2,3.5,1.2,3.2,1.222,3.75
33,Paris,French Open,28/05/01,Grand Slam,Outdoor,Clay,1st Round,5,Coutelot N.,Pozzi G.,184,60,6,3,6,3,7,5,,,,,3,0,Completed,,,,,,,,
33,Paris,French Open,28/05/01,Grand Slam,Outdoor,Clay,1st Round,5,Davydenko N.,Bjorkman J.,116,41,6,3,6,2,6,3,,,,,3,0,Completed,2.1,1.67,2.1,1.55,2,1.55,2.25,1.571
33,Paris,French Open,28/05/01,Grand Slam,Outdoor,Clay,1st Round,5,Diaz J.,Youzhny M.,79,84,3,6,7,6,6,1,6,1,,,3,1,Completed,1.75,2,1.55,2.1,1.5,2.1,1.8,1.909
33,Paris,French Open,28/05/01,Grand Slam,Outdoor,Clay,1st Round,5,Dupuis A.,Escude N.,75,32,2,6,6,0,6,3,7,6,,,3,1,Completed,2.4,1.53,2.4,1.42,2.3,1.4,2.375,1.533
33,Paris,French Open,28/05/01,Grand Slam,Outdoor,Clay,1st Round,5,El Aynaoui Y.,Medvedev A.,72,80,6,7,6,0,6,2,6,7,6,3,3,2,Completed,1.67,2.1,1.6,2.05,1.6,1.9,1.667,2.1
33,Paris,French Open,28/05/01,Grand Slam,Outdoor,Clay,1st Round,5,Enqvist T.,Ilie A.,14,62,6,4,6,1,2,6,6,3,,,3,1,Completed,1.5,2.45,1.45,2.35,1.45,2.2,1.444,2.625
33,Paris,French Open,28/05/01,Grand Slam,Outdoor,Clay,1st Round,5,Federer R.,Galvani S.,18,239,6,3,6,3,6,3,,,,,3,0,Completed,1.22,4,1.15,4,1.15,3.8,1.182,4.333
33,Paris,French Open,28/05/01,Grand Slam,Outdoor,Clay,1st Round,5,Ferrero J.C.,Koubek S.,4,77,6,2,6,2,6,3,,,,,3,0,Completed,1.12,5.5,1.1,4.85,1.05,5,1.111,6
33,Paris,French Open,28/05/01,Grand Slam,Outdoor,Clay,1st Round,5,Gonzalez F.,Saulnier C.,160,141,2,6,6,2,1,6,7,5,6,4,3,2,Completed,,,,,,,,
33,Paris,French Open,28/05/01,Grand Slam,Outdoor,Clay,1st Round,5,Grosjean S.,Tabara M.,10,52,6,3,3,6,6,3,7,6,,,3,1,Completed,1.3,3.2,1.25,3.1,1.25,3,1.333,3
33,Paris,French Open,28/05/01,Grand Slam,Outdoor,Clay,1st Round,5,Haas T.,Golmard J.,22,50,6,0,6,1,6,1,,,,,3,0,Completed,1.45,2.6,1.45,2.35,1.45,2.2,1.444,2.625
