ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
31,Paris,French Open,27/05/02,Grand Slam,Outdoor,Clay,1st Round,5,Agassi A.,Prodon E.,4,274,6,3,6,3,6,1,,,,,3,0,Completed,,,1.01,12,1.03,7.5,1.02,6,1.02,13
31,Paris,French Open,27/05/02,Grand Slam,Outdoor,Clay,1st Round,5,Arazi H.,Federer R.,45,8,6,3,6,2,6,4,,,,,3,0,Completed,,,,,4.7,1.12,5,1.05,,
31,Paris,French Open,27/05/02,Grand Slam,Outdoor,Clay,1st Round,5,Arthurs W.,Roddick A.,91,14,4,6,7,6,4,6,7,5,6,3,3,2,Completed,,,4.85,1.15,5.1,1.1,4.5,1.1,4.5,1.167
31,Paris,French Open,27/05/02,Grand Slam,Outdoor,Clay,1st Round,5,Blake J.,Burgsmuller L.,37,81,6,2,2,1,,,,,,,1,0,Retired,,,1.25,3.7,1.16,4.15,1.1,4.5,1.167,4.5
31,Paris,French Open,27/05/02,Grand Slam,Outdoor,Clay,1st Round,5,Brasington J.,Luzzi F.,148,172,6,2,6,2,7,5,,,,,3,0,Completed,,,2.3,1.57,2.2,1.55,1.8,1.7,,
31,Paris,French Open,27/05/02,Grand Slam,Outdoor,Clay,1st Round,5,Calatrava A.,Kiefer N.,133,65,6,3,6,0,6,4,,,,,3,0,Completed,,,1.9,1.85,1.95,1.7,1.85,1.65,,
31,Paris,French Open,27/05/02,Grand Slam,Outdoor,Clay,1st Round,5,Canas G.,Kucera K.,17,74,6,7,6,4,6,2,6,2,,,3,1,Completed,,,1.22,4,1.2,3.7,1.15,3.8,1.167,4.5
31,Paris,French Open,27/05/02,Grand Slam,Outdoor,Clay,1st Round,5,Clement A.,Benneteau J.,47,197,6,0,6,1,6,4,,,,,3,0,Completed,,,1.14,5,1.15,4.25,1.15,3.8,,
31,Paris,French Open,27/05/02,Grand Slam,Outdoor,Clay,1st Round,5,Coria G.,Sargsian S.,147,70,6,2,7,5,6,0,,,,,3,0,Completed,,,,,1.15,4.3,1.1,4.5,,
31,Paris,French Open,27/05/02,Grand Slam,Outdoor,Clay,1st Round,5,Corretja A.,Ulihrach B.,20,40,6,1,6,4,6,1,,,,,3,0,Completed,,,,,,,,,,
31,Paris,French Open,27/05/02,Grand Slam,Outdoor,Clay,1st Round,5,Costa A.,Gasquet R.,22,294,3,6,6,0,6,4,6,3,,,3,1,Completed,,,1.12,5.5,1.1,5.1,1.1,4.5,1.143,5
31,Paris,French Open,27/05/02,Grand Slam,Outdoor,Clay,1st Round,5,Coutelot N.,Koubek S.,87,39,6,4,6,4,6,4,,,,,3,0,Completed,,,2.4,1.52,2.7,1.36,2.5,1.35,,
31,Paris,French Open,27/05/02,Grand Slam,Outdoor,Clay,1st Round,5,Davydenko N.,Galimberti G.,79,179,6,7,6,4,6,1,6,3,,,3,1,Completed,,,1.48,2.5,1.42,2.5,1.5,2.1,,
31,Paris,French Open,27/05/02,Grand Slam,Outdoor,Clay,1st Round,5,de Chaunac S.,Chang M.,173,93,4,6,4,6,6,4,6,2,6,4,3,2,Completed,,,3,1.35,2.65,1.36,2.3,1.4,,
31,Paris,French Open,27/05/02,Grand Slam,Outdoor,Clay,1st Round,5,di Pasquale A.,Russell M.,283,102,6,4,6,0,4,6,6,1,,,3,1,Completed,,,1.48,2.5,1.54,2.2,1.4,2.3,1.615,2.2
31,Paris,French Open,27/05/02,Grand Slam,Outdoor,Clay,1st Round,5,El Aynaoui Y.,Gambill J.M.,18,53,3,6,6,3,6,4,3,6,6,4,3,2,Completed,,,1.17,4.5,1.15,4.25,1.15,3.8,,
31,Paris,French Open,27/05/02,Grand Slam,Outdoor,Clay,1st Round,5,Enqvist T.,Massa E.,21,112,4,6,4,6,6,3,6,2,6,4,3,2,Completed,,,1.42,2.7,1.36,2.65,1.3,2.7,1.364,2.875
31,Paris,French Open,27/05/02,Grand Slam,Outdoor,Clay,1st Round,5,Ferrero J.C.,Lisnard J.,11,135,6,1,7,6,6,3,,,,,3,0,Completed,,,,,1.03,7.5,1.02,6,1.05,8.5
