ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
29,Paris,French Open,25/05/2025,Grand Slam,Outdoor,Clay,1st Round,5,Fucsovics M.,Schoolkate T.,124,128,468,464,6,4,6,2,6,2,,,,,3,0,Completed,1.08,8,1.1,8.86,1.11,9.6,1.08,8.03
29,Paris,French Open,25/05/2025,Grand Slam,Outdoor,Clay,1st Round,5,Medjedovic H.,Majchrzak K.,74,96,811,645,6,3,6,3,7,6,,,,,3,0,Completed,1.57,2.38,1.62,2.45,1.63,2.56,1.59,2.38
29,Paris,French Open,25/05/2025,Grand Slam,Outdoor,Clay,1st Round,5,Paul T.,Moller E.,12,112,3210,511,6,7,6,2,6,3,6,1,,,3,1,Completed,1.1,7,1.15,6.45,1.15,7.2,1.12,6.52
29,Paris,French Open,25/05/2025,Grand Slam,Outdoor,Clay,1st Round,5,Navone M.,Nakashima B.,97,32,620,1690,7,6,4,6,6,1,6,2,,,3,1,Completed,1.5,2.63,1.49,2.84,1.5,2.98,1.48,2.69
29,Paris,French Open,25/05/2025,Grand Slam,Outdoor,Clay,1st Round,5,Mpetshi G.,Bergs Z.,37,50,1414,1051,4,6,6,3,7,6,6,4,,,3,1,Completed,1.73,2.1,1.88,2.03,1.9,2.12,1.78,2.06
29,Paris,French Open,25/05/2025,Grand Slam,Outdoor,Clay,1st Round,5,Opelka R.,Hijikata R.,93,78,651,792,1,6,6,3,7,5,7,6,,,3,1,Completed,1.44,2.75,1.47,2.92,1.5,2.96,1.45,2.81
29,Paris,French Open,25/05/2025,Grand Slam,Outdoor,Clay,1st Round,5,Carreno Busta P.,Comesana F.,99,64,615,911,6,2,7,6,7,5,,,,,3,0,Completed,2.63,1.5,2.67,1.54,2.84,1.54,2.64,1.5
29,Paris,French Open,25/05/2025,Grand Slam,Outdoor,Clay,1st Round,5,Dzumhur D.,Tirante T.A.,69,132,875,453,3,6,6,4,6,3,7,5,,,3,1,Completed,1.73,2.1,1.74,2.22,1.75,2.3,1.7,2.15
29,Paris,French Open,25/05/2025,Grand Slam,Outdoor,Clay,1st Round,5,Kopriva V.,Monteiro T.,86,131,715,454,6,4,6,3,4,6,6,7,6,1,3,2,Completed,1.4,3,1.42,3.14,1.45,3.14,1.4,3
29,Paris,French Open,25/05/2025,Grand Slam,Outdoor,Clay,1st Round,5,Musetti L.,Hanfmann Y.,7,142,3860,410,7,5,6,2,6,0,,,,,3,0,Completed,1.05,11,1.06,13.11,1.06,16,1.04,11.52
29,Paris,French Open,25/05/2025,Grand Slam,Outdoor,Clay,1st Round,5,Cerundolo J.M.,Michelsen A.,109,33,530,1550,6,3,6,2,6,4,,,,,3,0,Completed,1.8,2,1.88,2.03,1.96,2.03,1.83,2
29,Paris,French Open,25/05/2025,Grand Slam,Outdoor,Clay,1st Round,5,Galan D.E.,Royer V.,122,120,477,478,7,6,6,3,3,6,6,7,7,5,3,2,Completed,2.2,1.67,2.07,1.85,2.22,1.89,2.05,1.78
29,Paris,French Open,25/05/2025,Grand Slam,Outdoor,Clay,1st Round,5,Tiafoe F.,Safiullin R.,16,72,2665,816,6,4,7,5,6,4,,,,,3,0,Completed,1.4,3,1.48,2.88,1.48,3.15,1.43,2.88
29,Paris,French Open,25/05/2025,Grand Slam,Outdoor,Clay,1st Round,5,Marozsan F.,Nardi L.,56,95,990,645,6,2,6,3,7,6,,,,,3,0,Completed,1.22,4.33,1.25,4.52,1.25,5,1.22,4.41
29,Paris,French Open,25/05/2025,Grand Slam,Outdoor,Clay,1st Round,5,Gigante M.,Hassan B.,167,220,338,253,6,4,6,2,6,0,,,,,3,0,Completed,1.5,2.63,1.53,2.69,1.56,2.69,1.51,2.61
29,Paris,French Open,25/05/2025,Grand Slam,Outdoor,Clay,1st Round,5,Nava E.,Van De Zandschulp B.,137,89,433,670,6,2,7,5,7,5,,,,,3,0,Completed,2.1,1.73,2.18,1.77,2.18,1.82,2.12,1.74
29,Paris,French Open,25/05/2025,Grand Slam,Outdoor,Clay,1st Round,5,Brooksby J.,Faria J.,161,115,347,493,6,1,3,6,6,3,6,2,,,3,1,Completed,1.57,2.38,1.65,2.4,1.67,2.45,1.6,2.38
29,Paris,French Open,25/05/2025,Grand Slam,Outdoor,Clay,1st Round,5,Shelton B.,Sonego L.,13,44,2980,1205,6,4,4,6,3,6,6,2,6,3,3,2,Completed,1.62,2.3,1.58,2.56,1.62,2.62,1.57,2.44
29,Paris,French Open,25/05/2025,Grand Slam,Outdoor,Clay,1st Round,5,Halys Q.,Machac T.,52,22,1039,2110,7,6,4,1,,,,,,,1,0,Retired,3,1.4,3.24,1.4,3.25,1.43,3.05,1.39
29,Paris,French Open,25/05/2025,Grand Slam,Outdoor,Clay,1st Round,5,Borges N.,Jacquet K.,41,150,1285,388,3,6,6,7,6,4,6,3,6,3,3,2,Completed,1.57,2.38,1.55,2.65,1.6,2.68,1.56,2.46
29,Paris,French Open,26/05/2025,Grand Slam,Outdoor,Clay,1st Round,5,Korda S.,Darderi L.,23,45,2020,1159,6,2,4,6,6,3,6,2,,,3,1,Completed,1.91,1.91,1.96,1.94,2,1.98,1.92,1.91
29,Paris,French Open,26/05/2025,Grand Slam,Outdoor,Clay,1st Round,5,Gaston H.,Blanchet U.,83,193,753,289,2,6,6,0,2,6,6,3,6,4,3,2,Completed,1.44,2.75,1.5,2.8,1.51,2.92,1.46,2.76
