ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
30,Rome,Rome TMS,07/05/01,Masters,Outdoor,Clay,1st Round,3,Arazi H.,Voltchkov V.,28,26,6,2,6,3,,,,,,,2,0,Completed,1.4,2.75,1.3,2.65,1.25,3,1.364,2.875
30,Rome,Rome TMS,07/05/01,Masters,Outdoor,Clay,1st Round,3,Boutter J.,Martin T.,82,31,6,3,6,3,,,,,,,2,0,Completed,1.85,1.85,2,1.6,1.85,1.65,2,1.727
30,Rome,Rome TMS,07/05/01,Masters,Outdoor,Clay,1st Round,3,Bruguera S.,Volandri F.,73,156,7,6,7,6,,,,,,,2,0,Completed,1.25,3.5,1.2,3.4,1.2,3.2,,
30,Rome,Rome TMS,07/05/01,Masters,Outdoor,Clay,1st Round,3,Calatrava A.,Agassi A.,49,3,6,3,6,3,,,,,,,2,0,Completed,3.65,1.25,3.4,1.2,3.2,1.2,4,1.2
30,Rome,Rome TMS,07/05/01,Masters,Outdoor,Clay,1st Round,3,Chang M.,Vicente F.,32,43,6,4,7,5,,,,,,,2,0,Completed,2.3,1.55,2.05,1.55,1.9,1.6,2.2,1.615
30,Rome,Rome TMS,07/05/01,Masters,Outdoor,Clay,1st Round,3,Clavet F.,Schuettler R.,33,51,6,1,6,2,,,,,,,2,0,Completed,1.55,2.3,1.5,2.15,1.5,2.1,1.615,2.2
30,Rome,Rome TMS,07/05/01,Masters,Outdoor,Clay,1st Round,3,Coria G.,Gambill J.M.,25,15,7,5,6,4,,,,,,,2,0,Completed,1.4,2.75,1.45,2.3,1.4,2.3,1.5,2.5
30,Rome,Rome TMS,07/05/01,Masters,Outdoor,Clay,1st Round,3,Corretja A.,Moya C.,11,23,5,7,7,5,6,1,,,,,2,1,Completed,2.4,1.5,2.05,1.55,1.9,1.6,2.375,1.533
30,Rome,Rome TMS,07/05/01,Masters,Outdoor,Clay,1st Round,3,Diaz J.,Puerta M.,118,68,6,1,6,2,,,,,,,2,0,Completed,,,,,,,,
30,Rome,Rome TMS,07/05/01,Masters,Outdoor,Clay,1st Round,3,Enqvist T.,Pozzi G.,14,59,6,2,6,1,,,,,,,2,0,Completed,1.28,3.3,1.15,4.25,1.2,3.2,1.286,3.25
30,Rome,Rome TMS,07/05/01,Masters,Outdoor,Clay,1st Round,3,Federer R.,Johansson T.,18,24,7,6,4,6,7,6,,,,,2,1,Completed,1.4,2.7,1.35,2.6,1.35,2.5,1.4,2.75
30,Rome,Rome TMS,07/05/01,Masters,Outdoor,Clay,1st Round,3,Ferreira W.,Hrbaty D.,19,17,6,2,6,4,,,,,,,2,0,Completed,2.65,1.42,2.15,1.5,2.3,1.4,2.625,1.444
30,Rome,Rome TMS,07/05/01,Masters,Outdoor,Clay,1st Round,3,Ferrero J.C.,Schalken S.,9,30,6,3,7,5,,,,,,,2,0,Completed,1.3,3.2,1.3,2.85,1.3,2.7,1.286,3.25
30,Rome,Rome TMS,07/05/01,Masters,Outdoor,Clay,1st Round,3,Grosjean S.,Ilie A.,13,60,6,4,6,2,,,,,,,2,0,Completed,1.45,2.6,1.4,2.4,1.45,2.2,1.444,2.625
30,Rome,Rome TMS,07/05/01,Masters,Outdoor,Clay,1st Round,3,Haas T.,Medvedev A.,22,61,7,5,6,3,,,,,,,2,0,Completed,1.5,2.45,1.45,2.3,1.5,2.1,1.5,2.5
30,Rome,Rome TMS,07/05/01,Masters,Outdoor,Clay,1st Round,3,Henman T.,Costa A.,10,38,6,2,3,6,6,1,,,,,2,1,Completed,1.9,1.8,1.75,1.8,1.75,1.75,1.833,1.833
30,Rome,Rome TMS,07/05/01,Masters,Outdoor,Clay,1st Round,3,Hewitt L.,Ulihrach B.,7,40,6,1,2,6,7,5,,,,,2,1,Completed,1.42,2.65,1.4,2.45,1.4,2.3,1.4,2.75
30,Rome,Rome TMS,07/05/01,Masters,Outdoor,Clay,1st Round,3,Kafelnikov Y.,Pavel A.,6,20,7,5,3,1,,,,,,,1,0,Retired,1.67,2.1,1.55,2.05,1.6,1.9,1.667,2.1
30,Rome,Rome TMS,07/05/01,Masters,Outdoor,Clay,1st Round,3,Kiefer N.,Pioline C.,37,39,6,3,6,0,,,,,,,2,0,Completed,1.95,1.75,1.95,1.6,2,1.55,2,1.727
30,Rome,Rome TMS,07/05/01,Masters,Outdoor,Clay,1st Round,3,Kuerten G.,Ljubicic I.,1,74,6,7,7,5,6,4,,,,,2,1,Completed,1.2,4.2,1.15,3.9,1.15,3.8,1.167,4.5
30,Rome,Rome TMS,07/05/01,Masters,Outdoor,Clay,1st Round,3,Lapentti N.,Gaudio G.,41,36,6,3,6,2,,,,,,,2,0,Completed,1.95,1.75,1.9,1.65,1.75,1.75,2.25,1.571
30,Rome,Rome TMS,07/05/01,Masters,Outdoor,Clay,1st Round,3,Levy H.,Sampras P.,54,4,7,5,2,6,6,4,,,,,2,1,Completed,3,1.35,3,1.25,3,1.25,2.875,1.364
30,Rome,Rome TMS,07/05/01,Masters,Outdoor,Clay,1st Round,3,Luzzi F.,Clement A.,146,12,6,2,1,6,6,3,,,,,2,1,Completed,,,,,,,,
30,Rome,Rome TMS,07/05/01,Masters,Outdoor,Clay,1st Round,3,Mantilla F.,Navarra M.,79,212,6,3,7,5,,,,,,,2,0,Completed,1.14,5,1.1,4.5,1.1,4.5,,
30,Rome,Rome TMS,07/05/01,Masters,Outdoor,Clay,1st Round,3,Portas A.,Escude N.,45,34,7,6,6,4,,,,,,,2,0,Completed,1.67,2.05,,,1.55,2,1.667,2.1
30,Rome,Rome TMS,07/05/01,Masters,Outdoor,Clay,1st Round,3,Rios M.,Sanguinetti D.,27,56,4,6,6,3,6,4,,,,,2,1,Completed,1.52,2.4,1.45,2.3,1.45,2.2,1.444,2.625
30,Rome,Rome TMS,07/05/01,Masters,Outdoor,Clay,1st Round,3,Rusedski G.,Prinosil D.,52,29,6,3,6,2,,,,,,,2,0,Completed,1.6,2.2,1.55,2.05,1.55,2,1.571,2.25
30,Rome,Rome TMS,07/05/01,Masters,Outdoor,Clay,1st Round,3,Safin M.,Bjorkman J.,2,35,6,2,3,6,7,5,,,,,2,1,Completed,1.42,2.65,1.4,2.45,1.4,2.3,1.444,2.625
30,Rome,Rome TMS,07/05/01,Masters,Outdoor,Clay,1st Round,3,Santopadre V.,Norman M.,180,5,6,4,6,3,,,,,,,2,0,Completed,3.75,1.22,3.4,1.2,3.2,1.2,4,1.222
30,Rome,Rome TMS,07/05/01,Masters,Outdoor,Clay,1st Round,3,Santoro F.,Voinea A.,47,130,6,3,6,4,,,,,,,2,0,Completed,1.95,1.75,1.65,1.9,1.7,1.8,1.909,1.8
30,Rome,Rome TMS,07/05/01,Masters,Outdoor,Clay,1st Round,3,Squillari F.,Mirnyi M.,21,53,6,1,7,6,,,,,,,2,0,Completed,1.4,2.7,1.3,2.8,1.3,2.7,1.4,2.75
30,Rome,Rome TMS,07/05/01,Masters,Outdoor,Clay,1st Round,3,Vinciguerra A.,Meligeni F.,55,103,6,2,6,0,,,,,,,2,0,Completed,1.8,1.9,1.7,1.85,1.7,1.8,1.833,1.833
30,Rome,Rome TMS,07/05/01,Masters,Outdoor,Clay,2nd Round,3,Boutter J.,Henman T.,82,10,2,6,6,3,6,4,,,,,2,1,Completed,2.4,1.5,2.35,1.45,2.3,1.4,2.25,1.571
30,Rome,Rome TMS,07/05/01,Masters,Outdoor,Clay,2nd Round,3,Corretja A.,Portas A.,11,45,6,7,6,2,6,4,,,,,2,1,Completed,1.42,2.65,1.4,2.45,1.45,2.2,1.4,2.75
30,Rome,Rome TMS,07/05/01,Masters,Outdoor,Clay,2nd Round,3,Diaz J.,Kafelnikov Y.,118,6,7,6,1,6,7,5,,,,,2,1,Completed,3.5,1.25,3.05,1.27,2.7,1.3,3,1.333
30,Rome,Rome TMS,07/05/01,Masters,Outdoor,Clay,2nd Round,3,Federer R.,Safin M.,18,2,4,6,6,4,7,6,,,,,2,1,Completed,2,1.7,1.85,1.75,1.75,1.75,1.909,1.8
30,Rome,Rome TMS,07/05/01,Masters,Outdoor,Clay,2nd Round,3,Ferreira W.,Rusedski G.,19,52,6,4,6,4,,,,,,,2,0,Completed,1.67,2.05,1.65,1.97,1.6,1.9,1.667,2.1
30,Rome,Rome TMS,07/05/01,Masters,Outdoor,Clay,2nd Round,3,Ferrero J.C.,Rios M.,9,27,6,1,6,3,,,,,,,2,0,Completed,1.38,2.8,1.4,2.5,1.4,2.3,1.333,3
30,Rome,Rome TMS,07/05/01,Masters,Outdoor,Clay,2nd Round,3,Grosjean S.,Bruguera S.,13,73,7,5,3,6,7,5,,,,,2,1,Completed,1.5,2.4,1.42,2.45,1.4,2.3,1.533,2.375
