ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,IWW,IWL,SBW,SBL,B&WW,B&WL
28,Rome,Telecom Italia Masters Roma,05/05/03,Masters,Outdoor,Clay,1st Round,3,Coria G.,Henman T.,16,28,6,2,6,1,,,,,,,2,0,Completed,,,1.22,4,1.2,3.3,1.286,3.25,,
28,Rome,Telecom Italia Masters Roma,05/05/03,Masters,Outdoor,Clay,1st Round,3,Costa A.,Krajan Z.,8,105,6,4,7,5,,,,,,,2,0,Completed,,,,,1.2,3.3,,,1.13,4.25
28,Rome,Telecom Italia Masters Roma,05/05/03,Masters,Outdoor,Clay,1st Round,3,Ferreira W.,Lopez F.,27,56,3,6,6,4,6,3,,,,,2,1,Completed,1.833,1.833,2,1.75,1.75,1.75,2,1.727,1.75,1.75
28,Rome,Telecom Italia Masters Roma,05/05/03,Masters,Outdoor,Clay,1st Round,3,Ljubicic I.,Malisse X.,46,26,6,2,6,4,,,,,,,2,0,Completed,1.615,2.2,1.65,2.15,1.6,1.9,1.615,2.2,1.62,1.93
28,Rome,Telecom Italia Masters Roma,05/05/03,Masters,Outdoor,Clay,1st Round,3,Fish M.,Santoro F.,53,52,7,5,7,5,,,,,,,2,0,Completed,1.615,2.2,1.65,2.15,,,1.615,2.2,1.68,1.83
28,Rome,Telecom Italia Masters Roma,05/05/03,Masters,Outdoor,Clay,1st Round,3,Hanescu V.,Youzhny M.,132,31,7,6,6,3,,,,,,,2,0,Completed,2.5,1.5,2.4,1.53,,,,,,
28,Rome,Telecom Italia Masters Roma,05/05/03,Masters,Outdoor,Clay,1st Round,3,Verkerk M.,Spadea V.,68,30,6,3,7,6,,,,,,,2,0,Completed,2.5,1.5,2.55,1.48,2.2,1.45,2.5,1.5,2.3,1.42
28,Rome,Telecom Italia Masters Roma,05/05/03,Masters,Outdoor,Clay,1st Round,3,Hrbaty D.,Enqvist T.,58,91,6,3,6,3,,,,,,,2,0,Completed,1.833,1.833,1.8,1.95,1.9,1.6,1.727,2,1.66,1.88
28,Rome,Telecom Italia Masters Roma,05/05/03,Masters,Outdoor,Clay,1st Round,3,Mantilla F.,Nalbandian D.,47,12,6,3,1,6,6,0,,,,,2,1,Completed,1.833,1.833,1.85,1.9,1.9,1.6,1.833,1.833,1.75,1.75
28,Rome,Telecom Italia Masters Roma,05/05/03,Masters,Outdoor,Clay,1st Round,3,Ferrer D.,Agassi A.,60,1,0,6,7,6,6,4,,,,,2,1,Completed,6.5,1.1,6.25,1.1,5,1.05,7,1.063,7.5,1.02
28,Rome,Telecom Italia Masters Roma,05/05/03,Masters,Outdoor,Clay,1st Round,3,Novak J.,Arthurs W.,9,54,6,3,6,3,,,,,,,2,0,Completed,1.333,3.25,1.33,3.15,1.35,2.5,1.333,3,1.27,3
28,Rome,Telecom Italia Masters Roma,05/05/03,Masters,Outdoor,Clay,1st Round,3,Martin A.,Schalken S.,66,11,2,6,6,3,6,1,,,,,2,1,Completed,1.833,1.833,1.8,1.95,1.8,1.7,,,,
28,Rome,Telecom Italia Masters Roma,05/05/03,Masters,Outdoor,Clay,1st Round,3,Clement A.,Sanguinetti D.,36,87,6,1,6,3,,,,,,,2,0,Completed,,,1.55,2.4,1.45,2.2,1.571,2.25,1.42,2.3
