ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
28,Rome,Telecom Italia Masters Roma,02/05/05,Masters,Outdoor,Clay,1st Round,3,Roddick A.,Rusedski G.,3,44,6,4,6,2,,,,,,,2,0,Completed,1.07,7.5,1.08,7.25,1.07,7.19,1.1,5,1.066,12.25
28,Rome,Telecom Italia Masters Roma,02/05/05,Masters,Outdoor,Clay,1st Round,3,Verdasco F.,Davydenko N.,56,16,6,3,7,5,,,,,,,2,0,Completed,2.37,1.53,2.2,1.65,2.3,1.55,2.2,1.5,2.49,1.592
28,Rome,Telecom Italia Masters Roma,02/05/05,Masters,Outdoor,Clay,1st Round,3,Hrbaty D.,Mello R.,24,53,6,4,6,3,,,,,,,2,0,Completed,1.39,2.75,1.37,3,1.42,2.75,1.4,2.5,1.382,3.27
28,Rome,Telecom Italia Masters Roma,02/05/05,Masters,Outdoor,Clay,1st Round,3,Agassi A.,di Mauro A.,9,98,7,5,6,2,,,,,,,2,0,Completed,1.12,5.5,1.18,4.65,1.15,5.2,1.1,5,1.182,5.25
28,Rome,Telecom Italia Masters Roma,02/05/05,Masters,Outdoor,Clay,1st Round,3,Grosjean S.,Carlsen K.,28,55,6,3,6,2,,,,,,,2,0,Completed,1.11,6,1.09,7,1.1,6.25,1.1,5,1.105,8.05
28,Rome,Telecom Italia Masters Roma,02/05/05,Masters,Outdoor,Clay,1st Round,3,Almagro N.,Andreev I.,101,37,3,6,6,4,6,1,,,,,2,1,Completed,2.2,1.61,2.1,1.7,2.1,1.7,2,1.6,2.14,1.746
28,Rome,Telecom Italia Masters Roma,02/05/05,Masters,Outdoor,Clay,1st Round,3,Hanescu V.,Melzer J.,85,35,6,4,3,6,6,3,,,,,2,1,Completed,1.83,1.83,1.83,1.93,1.87,1.87,1.8,1.8,1.87,1.952
28,Rome,Telecom Italia Masters Roma,02/05/05,Masters,Outdoor,Clay,1st Round,3,Costa A.,Montanes A.,50,107,6,4,6,4,,,,,,,2,0,Completed,1.66,2.1,1.83,1.93,1.67,2.12,1.65,1.95,1.84,1.99
28,Rome,Telecom Italia Masters Roma,02/05/05,Masters,Outdoor,Clay,1st Round,3,Henman T.,Kuerten G.,6,110,6,3,6,3,,,,,,,2,0,Completed,1.72,2,1.65,2.2,1.6,2.25,1.55,2.1,1.625,2.4
28,Rome,Telecom Italia Masters Roma,02/05/05,Masters,Outdoor,Clay,1st Round,3,Gasquet R.,Srichaphan P.,59,34,6,0,6,2,,,,,,,2,0,Completed,1.12,5.5,1.14,5.4,1.2,4.25,1.2,3.6,1.182,5.25
28,Rome,Telecom Italia Masters Roma,02/05/05,Masters,Outdoor,Clay,1st Round,3,Monaco J.,Soderling R.,69,39,6,3,6,2,,,,,,,2,0,Completed,1.5,2.5,1.45,2.7,1.5,2.45,1.55,2.1,1.42,3.08
28,Rome,Telecom Italia Masters Roma,02/05/05,Masters,Outdoor,Clay,1st Round,3,Ferrer D.,Saulnier C.,25,49,6,1,6,3,,,,,,,2,0,Completed,1.16,4.5,1.1,6.5,1.15,5.2,1.2,3.6,1.111,7.8
28,Rome,Telecom Italia Masters Roma,02/05/05,Masters,Outdoor,Clay,1st Round,3,Wawrinka S.,Berdych T.,99,47,6,1,6,4,,,,,,,2,0,Completed,1.83,1.83,1.72,2.09,1.8,1.95,2,1.6,1.709,2.21
28,Rome,Telecom Italia Masters Roma,02/05/05,Masters,Outdoor,Clay,1st Round,3,Johansson T.,Lopez F.,18,27,6,3,6,2,,,,,,,2,0,Completed,2,1.72,1.93,1.83,2,1.75,1.9,1.7,1.99,1.84
28,Rome,Telecom Italia Masters Roma,02/05/05,Masters,Outdoor,Clay,1st Round,3,Seppi A.,Johansson J.,122,12,6,1,6,2,,,,,,,2,0,Completed,2,1.72,1.88,1.88,1.87,1.87,1.95,1.65,1.98,1.847
28,Rome,Telecom Italia Masters Roma,03/05/05,Masters,Outdoor,Clay,1st Round,3,Coria G.,Gonzalez F.,11,20,7,6,5,7,6,4,,,,,2,1,Completed,1.28,3.5,1.3,3.4,1.28,3.45,1.25,3.2,1.312,3.71
