ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,UBW,UBL
27,Rome,Internazionali BNL d'Italia,05/05/08,Masters,Outdoor,Clay,1st Round,3,Horna L.,Gasquet R.,111,9,411,1805,6,4,6,1,,,,,,,2,0,Completed,4.5,1.16,4.25,1.2,4.333,1.2,4.81,1.238,4,1.23
27,Rome,Internazionali BNL d'Italia,05/05/08,Masters,Outdoor,Clay,1st Round,3,Andreev I.,Lee H.T.,26,52,1155,649,6,4,7,5,,,,,,,2,0,Completed,1.16,4.5,1.17,4.67,1.2,4.333,1.249,4.62,1.18,4.7
27,Rome,Internazionali BNL d'Italia,05/05/08,Masters,Outdoor,Clay,1st Round,3,Mahut N.,Fabbiano T.,44,412,761,74,6,7,6,4,7,5,,,,,2,1,Completed,2,1.72,1.95,1.8,2.1,1.667,1.98,1.926,1.94,1.82
27,Rome,Internazionali BNL d'Italia,05/05/08,Masters,Outdoor,Clay,1st Round,3,Darcis S.,Ljubicic I.,49,29,713,1045,7,5,7,6,,,,,,,2,0,Completed,2.2,1.61,2.15,1.65,2.1,1.667,2.12,1.82,2.2,1.64
27,Rome,Internazionali BNL d'Italia,05/05/08,Masters,Outdoor,Clay,1st Round,3,Stepanek R.,Nieminen J.,27,25,1060,1170,6,3,3,6,6,3,,,,,2,1,Completed,1.4,2.75,1.42,2.75,1.444,2.625,1.427,3.14,1.42,2.76
27,Rome,Internazionali BNL d'Italia,05/05/08,Masters,Outdoor,Clay,1st Round,3,Starace P.,Cilic M.,45,48,760,696,6,4,2,6,6,4,,,,,2,1,Completed,1.4,2.75,1.42,2.75,1.4,2.75,1.42,3.18,1.42,2.76
27,Rome,Internazionali BNL d'Italia,05/05/08,Masters,Outdoor,Clay,1st Round,3,Korolev E.,Soderling R.,98,47,449,740,1,6,6,3,6,4,,,,,2,1,Completed,3.4,1.3,3.22,1.32,3,1.364,3.54,1.365,3.2,1.33
27,Rome,Internazionali BNL d'Italia,05/05/08,Masters,Outdoor,Clay,1st Round,3,Canas G.,Naso G.,30,269,1015,115,6,7,6,3,6,2,,,,,2,1,Completed,1.06,8,1.1,6.75,1.083,7,1.148,7.15,,
27,Rome,Internazionali BNL d'Italia,05/05/08,Masters,Outdoor,Clay,1st Round,3,Fish M.,Llodra M.,38,40,835,820,7,5,3,6,7,6,,,,,2,1,Completed,2.2,1.61,2.25,1.6,2.2,1.615,2.39,1.671,2.28,1.6
27,Rome,Internazionali BNL d'Italia,05/05/08,Masters,Outdoor,Clay,1st Round,3,Seppi A.,Santoro F.,46,50,743,707,6,4,6,2,,,,,,,2,0,Completed,1.36,3,1.37,2.92,1.364,3,1.407,3.26,1.43,2.76
