ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,SJW,SJL,UBW,UBL
25,Rome,Internazionali BNL d'Italia,27/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Cilic M.,Cipolla F.,15,122,2555,675,6,2,6,2,,,,,,,2,0,Completed,1.28,3.5,1.35,3.25,1.333,3.25,1.364,2.875,1.3,3.4
25,Rome,Internazionali BNL d'Italia,27/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Rochus C.,Chela J.I.,55,151,1129,535,6,1,6,2,,,,,,,2,0,Completed,3.25,1.33,3.4,1.32,3.25,1.333,3.25,1.286,3.25,1.32
25,Rome,Internazionali BNL d'Italia,27/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Wawrinka S.,Kunitsyn I.,12,38,3015,1467,6,3,6,4,,,,,,,2,0,Completed,1.16,4.5,1.2,4.55,1.167,4.5,1.222,3.75,1.2,4.35
25,Rome,Internazionali BNL d'Italia,27/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Monaco J.,Kiefer N.,58,30,1105,1670,6,2,6,3,,,,,,,2,0,Completed,1.28,3.5,1.35,3.2,1.286,3.5,,,1.25,3.8
25,Rome,Internazionali BNL d'Italia,27/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Troicki V.,Hanescu V.,40,34,1445,1566,6,3,6,3,,,,,,,2,0,Completed,2,1.72,2.05,1.8,2,1.72,2,1.727,2,1.77
25,Rome,Internazionali BNL d'Italia,27/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Crivoi V.,Blake J.,112,16,746,2550,7,5,6,3,,,,,,,2,0,Completed,2.37,1.53,2.35,1.6,2.25,1.571,,,2.34,1.57
25,Rome,Internazionali BNL d'Italia,27/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Montanes A.,Starace P.,33,88,1609,873,7,6,6,4,,,,,,,2,0,Completed,2.2,1.61,2.2,1.7,2.1,1.667,2,1.727,2.15,1.67
25,Rome,Internazionali BNL d'Italia,27/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Karlovic I.,Hernych J.,24,59,1830,1100,4,6,6,4,6,2,,,,,2,1,Completed,1.72,2,1.8,2,1.8,1.909,,,1.77,2
25,Rome,Internazionali BNL d'Italia,28/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Robredo T.,Safin M.,17,20,2510,2035,2,6,7,6,6,2,,,,,2,1,Completed,1.25,3.75,1.31,3.56,1.3,3.4,1.286,3.25,1.32,3.25
25,Rome,Internazionali BNL d'Italia,28/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Youzhny M.,Gimeno-Traver D.,67,64,1020,1055,7,5,6,4,,,,,,,2,0,Completed,1.44,2.62,1.55,2.4,1.444,2.625,,,1.5,2.52
25,Rome,Internazionali BNL d'Italia,28/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Kohlschreiber P.,Bolelli S.,39,41,1465,1436,4,6,6,1,6,0,,,,,2,1,Completed,2.2,1.61,2.28,1.63,1.909,1.8,1.833,1.833,2.05,1.72
25,Rome,Internazionali BNL d'Italia,28/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Zverev M.,Berdych T.,76,26,960,1825,4,6,6,2,7,5,,,,,2,1,Completed,3.5,1.28,3.55,1.3,3.25,1.333,3.75,1.222,3.25,1.32
25,Rome,Internazionali BNL d'Italia,28/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Soderling R.,Granollers M.,27,97,1800,845,6,3,6,0,,,,,,,2,0,Completed,1.44,2.62,1.55,2.45,1.444,2.625,1.5,2.5,1.52,2.48
25,Rome,Internazionali BNL d'Italia,28/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Melzer J.,Benneteau J.,31,45,1655,1297,3,6,6,2,6,3,,,,,2,1,Completed,2.25,1.57,2.45,1.55,2.25,1.571,2.375,1.533,2.35,1.57
25,Rome,Internazionali BNL d'Italia,28/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Lopez F.,Bellucci T.,32,72,1625,984,6,4,6,2,,,,,,,2,0,Completed,1.66,2.1,1.75,2.05,1.667,2.1,1.67,2.1,1.7,2.1
25,Rome,Internazionali BNL d'Italia,28/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Seppi A.,Querrey S.,37,60,1470,1095,3,6,6,4,6,3,,,,,2,1,Completed,1.38,2.87,1.4,3,1.364,3,1.4,2.75,1.43,2.75
25,Rome,Internazionali BNL d'Italia,28/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Fish M.,Andreev I.,28,25,1785,1830,6,3,4,6,7,6,,,,,2,1,Completed,4.5,1.16,4.55,1.2,4.5,1.167,4,1.2,4.35,1.2
25,Rome,Internazionali BNL d'Italia,28/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Tipsarevic J.,Acasuso J.,65,44,1040,1330,6,3,6,4,,,,,,,2,0,Completed,2.25,1.57,2.25,1.65,2.1,1.667,2,1.727,2.15,1.67
25,Rome,Internazionali BNL d'Italia,28/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Gulbis E.,Almagro N.,43,21,1375,1875,3,6,7,6,6,2,,,,,2,1,Completed,3.4,1.3,3.5,1.3,3.4,1.3,3.25,1.286,3.1,1.35
25,Rome,Internazionali BNL d'Italia,28/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Fognini F.,Volandri F.,81,149,925,547,6,7,6,1,7,6,,,,,2,1,Completed,1.33,3.25,1.4,3,1.4,2.75,1.571,2.25,1.4,2.85
25,Rome,Internazionali BNL d'Italia,28/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Gonzalez F.,Chardy J.,13,42,3005,1391,6,4,6,1,,,,,,,2,0,Completed,1.14,5,1.2,4.55,1.167,4.5,1.167,4.5,1.17,4.8
25,Rome,Internazionali BNL d'Italia,29/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Gasquet R.,Tsonga J.W.,23,10,1855,3455,7,6,6,4,,,,,,,2,0,Completed,2,1.72,1.95,1.85,2.1,1.667,2,1.727,1.97,1.8
25,Rome,Internazionali BNL d'Italia,29/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Stepanek R.,Serra F.,19,48,2450,1251,7,6,4,6,7,5,,,,,2,1,Completed,1.33,3.25,1.38,3.07,1.333,3.25,1.333,3,1.35,3.1
25,Rome,Internazionali BNL d'Italia,29/04/09,Masters 1000,Outdoor,Clay,1st Round,3,Mathieu P.H.,Ferrer D.,35,14,1560,2915,6,3,2,6,6,2,,,,,2,1,Completed,4,1.22,4.14,1.24,4.333,1.2,4,1.2,4.5,1.19
25,Rome,Internazionali BNL d'Italia,28/04/09,Masters 1000,Outdoor,Clay,2nd Round,3,Djokovic N.,Montanes A.,3,33,9160,1609,7,6,6,0,,,,,,,2,0,Completed,1.06,8,1.05,9.5,1.05,8.5,1.03,10,1.05,9.5
25,Rome,Internazionali BNL d'Italia,29/04/09,Masters 1000,Outdoor,Clay,2nd Round,3,Robredo T.,Kohlschreiber P.,17,39,2510,1465,6,2,7,6,,,,,,,2,0,Completed,1.53,2.37,1.5,2.55,1.5,2.5,1.5,2.5,1.6,2.28
25,Rome,Internazionali BNL d'Italia,29/04/09,Masters 1000,Outdoor,Clay,2nd Round,3,Monaco J.,Murray A.,58,4,1105,9050,1,6,6,3,7,5,,,,,2,1,Completed,5,1.14,4.14,1.24,4,1.222,3.75,1.25,4.1,1.22
25,Rome,Internazionali BNL d'Italia,29/04/09,Masters 1000,Outdoor,Clay,2nd Round,3,Cilic M.,Rochus C.,15,55,2555,1129,6,0,5,7,6,2,,,,,2,1,Completed,1.28,3.5,1.3,3.55,1.3,3.4,1.25,3.5,1.28,3.55
25,Rome,Internazionali BNL d'Italia,29/04/09,Masters 1000,Outdoor,Clay,2nd Round,3,Soderling R.,Crivoi V.,27,112,1800,746,6,1,6,7,6,1,,,,,2,1,Completed,1.28,3.5,1.25,3.95,1.28,3.5,1.286,3.25,1.28,3.55
25,Rome,Internazionali BNL d'Italia,29/04/09,Masters 1000,Outdoor,Clay,2nd Round,3,Melzer J.,Davydenko N.,31,11,1655,3405,7,5,7,6,,,,,,,2,0,Completed,5.5,1.12,5.29,1.16,5,1.14,5,1.143,5.15,1.15
25,Rome,Internazionali BNL d'Italia,29/04/09,Masters 1000,Outdoor,Clay,2nd Round,3,Verdasco F.,Fish M.,8,28,3870,1785,6,4,5,7,6,3,,,,,2,1,Completed,1.08,7,1.15,5.6,1.11,6,1.143,5,1.16,4.85
25,Rome,Internazionali BNL d'Italia,29/04/09,Masters 1000,Outdoor,Clay,2nd Round,3,Federer R.,Karlovic I.,2,24,10060,1830,6,4,6,4,,,,,,,2,0,Completed,1.06,8,1.1,6.75,1.063,8,1.071,7,1.11,6.2
25,Rome,Internazionali BNL d'Italia,29/04/09,Masters 1000,Outdoor,Clay,2nd Round,3,Gonzalez F.,Tipsarevic J.,13,65,3005,1040,6,4,6,4,,,,,,,2,0,Completed,1.22,4,1.25,4.2,1.16,4.5,1.167,4.5,1.22,4.1
25,Rome,Internazionali BNL d'Italia,29/04/09,Masters 1000,Outdoor,Clay,2nd Round,3,Wawrinka S.,Youzhny M.,12,67,3015,1020,6,3,7,6,,,,,,,2,0,Completed,1.22,4,1.3,3.55,1.28,3.5,1.222,3.75,1.27,3.65
25,Rome,Internazionali BNL d'Italia,29/04/09,Masters 1000,Outdoor,Clay,2nd Round,3,Nadal R.,Seppi A.,1,37,14890,1470,6,2,6,3,,,,,,,2,0,Completed,1.005,21,1.01,16,1.01,17,1.01,17,1.01,20
25,Rome,Internazionali BNL d'Italia,29/04/09,Masters 1000,Outdoor,Clay,2nd Round,3,Simon G.,Fognini F.,7,81,4010,925,6,7,6,2,6,3,,,,,2,1,Completed,1.4,2.75,1.45,2.75,1.36,3,1.364,2.875,1.4,2.88
25,Rome,Internazionali BNL d'Italia,29/04/09,Masters 1000,Outdoor,Clay,2nd Round,3,Zverev M.,Mathieu P.H.,76,35,960,1560,3,6,7,6,6,0,,,,,2,1,Completed,2.62,1.44,,,,,,,,
25,Rome,Internazionali BNL d'Italia,29/04/09,Masters 1000,Outdoor,Clay,2nd Round,3,Stepanek R.,Lopez F.,19,32,2450,1625,6,2,6,1,,,,,,,2,0,Completed,1.57,2.25,,,,,,,,
25,Rome,Internazionali BNL d'Italia,29/04/09,Masters 1000,Outdoor,Clay,2nd Round,3,Del Potro J.M.,Troicki V.,5,40,4580,1445,6,3,1,6,6,3,,,,,2,1,Completed,1.16,4.5,1.19,4.76,1.167,4.5,1.143,5,1.22,4.1
25,Rome,Internazionali BNL d'Italia,29/04/09,Masters 1000,Outdoor,Clay,2nd Round,3,Gasquet R.,Gulbis E.,23,43,1855,1375,6,2,1,6,6,4,,,,,2,1,Completed,1.53,2.37,1.5,2.55,1.5,2.5,1.4,2.75,1.48,2.6
25,Rome,Internazionali BNL d'Italia,30/04/09,Masters 1000,Outdoor,Clay,3rd Round,3,Gonzalez F.,Melzer J.,13,31,3005,1655,3,6,6,3,7,5,,,,,2,1,Completed,1.14,5,1.2,4.55,1.2,4.333,1.167,4.5,1.23,4
25,Rome,Internazionali BNL d'Italia,30/04/09,Masters 1000,Outdoor,Clay,3rd Round,3,Monaco J.,Cilic M.,58,15,1105,2555,6,4,6,4,,,,,,,2,0,Completed,1.57,2.25,1.55,2.45,1.533,2.375,1.571,2.25,1.5,2.52
25,Rome,Internazionali BNL d'Italia,30/04/09,Masters 1000,Outdoor,Clay,3rd Round,3,Del Potro J.M.,Wawrinka S.,5,12,4580,3015,6,2,6,7,6,3,,,,,2,1,Completed,2,1.72,2.09,1.75,1.833,1.833,2,1.727,1.92,1.84
25,Rome,Internazionali BNL d'Italia,30/04/09,Masters 1000,Outdoor,Clay,3rd Round,3,Djokovic N.,Robredo T.,3,17,9160,2510,6,1,6,1,,,,,,,2,0,Completed,1.16,4.5,1.2,4.55,1.2,4.333,1.2,4,1.18,4.6
25,Rome,Internazionali BNL d'Italia,30/04/09,Masters 1000,Outdoor,Clay,3rd Round,3,Federer R.,Stepanek R.,2,19,10060,2450,6,4,6,1,,,,,,,2,0,Completed,1.16,4.5,1.25,3.97,1.143,5,1.125,5.5,1.17,4.8
25,Rome,Internazionali BNL d'Italia,30/04/09,Masters 1000,Outdoor,Clay,3rd Round,3,Zverev M.,Simon G.,76,7,960,4010,6,4,6,1,,,,,,,2,0,Completed,3.5,1.28,3.53,1.3,3.25,1.333,3.2,1.33,3.1,1.35
25,Rome,Internazionali BNL d'Italia,30/04/09,Masters 1000,Outdoor,Clay,3rd Round,3,Verdasco F.,Gasquet R.,8,23,3870,1855,7,5,6,4,,,,,,,2,0,Completed,1.36,3,1.4,3,1.4,2.75,1.33,3.2,1.4,2.88
25,Rome,Internazionali BNL d'Italia,30/04/09,Masters 1000,Outdoor,Clay,3rd Round,3,Nadal R.,Soderling R.,1,27,14890,1800,6,1,6,0,,,,,,,2,0,Completed,1.01,15,1.01,16,1.015,13,1.02,13,1.02,15
25,Rome,Internazionali BNL d'Italia,01/05/09,Masters 1000,Outdoor,Clay,Quarterfinals,3,Djokovic N.,Del Potro J.M.,3,5,9160,4580,6,3,6,4,,,,,,,2,0,Completed,1.22,4.33,1.22,4.33,1.222,4,1.22,4,1.24,3.9
