ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
25,Rome,Internazionali BNL d'Italia,25/04/10,Masters 1000,Outdoor,Clay,1st Round,3,Hanescu V.,Berrer M.,39,44,1025,944,6,2,6,7,6,3,,,,,2,1,Completed,1.36,3,1.4,2.85,1.4,2.75,1.42,3.19,1.44,2.63,1.47,3.25,1.4,2.82
25,Rome,Internazionali BNL d'Italia,25/04/10,Masters 1000,Outdoor,Clay,1st Round,3,Chardy J.,Tipsarevic J.,46,38,920,1075,6,4,6,4,,,,,,,2,0,Completed,1.61,2.2,1.65,2.15,1.67,2.1,1.82,2.13,1.73,2,1.8,2.2,1.69,2.08
25,Rome,Internazionali BNL d'Italia,25/04/10,Masters 1000,Outdoor,Clay,1st Round,3,Seppi A.,Fognini F.,47,74,885,665,6,0,6,3,,,,,,,2,0,Completed,1.44,2.62,1.4,2.85,1.4,2.75,1.49,2.88,1.36,2.88,1.51,2.88,1.43,2.69
25,Rome,Internazionali BNL d'Italia,26/04/10,Masters 1000,Outdoor,Clay,1st Round,3,Lorenzi P.,Montanes A.,96,31,566,1360,2,6,6,4,6,3,,,,,2,1,Completed,5,1.14,4.67,1.17,4.5,1.17,5.38,1.2,5,1.14,6.1,1.21,4.84,1.16
25,Rome,Internazionali BNL d'Italia,26/04/10,Masters 1000,Outdoor,Clay,1st Round,3,Isner J.,Zeballos H.,22,49,1618,883,4,6,7,6,7,5,,,,,2,1,Completed,2.1,1.66,2.2,1.65,2.1,1.67,2.22,1.76,2.2,1.62,2.25,1.77,2.13,1.67
25,Rome,Internazionali BNL d'Italia,26/04/10,Masters 1000,Outdoor,Clay,1st Round,3,Giraldo S.,Ferrero J.C.,76,16,652,2195,6,0,6,3,,,,,,,2,0,Completed,5.5,1.12,4.85,1.16,5.5,1.13,5.54,1.19,5,1.17,6.5,1.2,5.27,1.14
25,Rome,Internazionali BNL d'Italia,26/04/10,Masters 1000,Outdoor,Clay,1st Round,3,Kohlschreiber P.,Cuevas P.,29,56,1400,797,6,7,6,1,6,4,,,,,2,1,Completed,1.28,3.5,1.3,3.35,1.33,3.25,1.36,3.53,1.29,3.25,1.4,3.82,1.31,3.3
25,Rome,Internazionali BNL d'Italia,26/04/10,Masters 1000,Outdoor,Clay,1st Round,3,Gulbis E.,Baghdatis M.,40,33,1009,1345,6,2,6,2,,,,,,,2,0,Completed,1.53,2.37,1.55,2.35,1.53,2.38,1.69,2.35,1.53,2.38,1.75,2.63,1.58,2.3
25,Rome,Internazionali BNL d'Italia,26/04/10,Masters 1000,Outdoor,Clay,1st Round,3,Benneteau J.,Querrey S.,36,23,1094,1610,7,6,3,6,7,6,,,,,2,1,Completed,2.5,1.5,2.35,1.55,2.38,1.53,2.77,1.52,2.38,1.53,2.85,1.6,2.48,1.51
25,Rome,Internazionali BNL d'Italia,26/04/10,Masters 1000,Outdoor,Clay,1st Round,3,Starace P.,Hajek J.,69,86,712,605,6,2,6,2,,,,,,,2,0,Completed,1.57,2.25,1.65,2.15,1.57,2.25,1.69,2.34,1.62,2.2,1.73,2.5,1.64,2.18
25,Rome,Internazionali BNL d'Italia,26/04/10,Masters 1000,Outdoor,Clay,1st Round,3,Garcia-Lopez G.,Chela J.I.,42,55,989,814,6,2,6,2,,,,,,,2,0,Completed,3,1.36,2.85,1.4,2.75,1.4,3.11,1.43,2.88,1.36,3.27,1.45,2.79,1.41
25,Rome,Internazionali BNL d'Italia,26/04/10,Masters 1000,Outdoor,Clay,1st Round,3,Monaco J.,Andreev I.,24,52,1585,860,7,6,7,5,,,,,,,2,0,Completed,1.61,2.2,1.75,2.05,1.73,2,1.7,2.31,1.62,2.2,1.81,2.25,1.7,2.09
25,Rome,Internazionali BNL d'Italia,26/04/10,Masters 1000,Outdoor,Clay,1st Round,3,Llodra M.,Beck A.,59,83,762,619,6,2,3,6,6,4,,,,,2,1,Completed,1.5,2.5,1.55,2.4,1.44,2.63,1.4,2.75,1.58,2.58,1.58,2.8,1.49,2.55
25,Rome,Internazionali BNL d'Italia,26/04/10,Masters 1000,Outdoor,Clay,1st Round,3,Berdych T.,Granollers M.,14,98,2270,563,6,3,6,3,,,,,,,2,0,Completed,1.16,4.5,1.2,4.25,1.22,4,1.26,4.38,1.17,4.5,1.26,4.7,1.2,4.25
25,Rome,Internazionali BNL d'Italia,26/04/10,Masters 1000,Outdoor,Clay,1st Round,3,Ljubicic I.,Mathieu P.H.,15,51,2250,875,7,5,6,7,6,0,,,,,2,1,Completed,1.33,3.25,1.37,2.92,1.36,3,1.41,3.24,1.36,2.88,1.41,3.5,1.35,3.04
25,Rome,Internazionali BNL d'Italia,26/04/10,Masters 1000,Outdoor,Clay,1st Round,3,Volandri F.,Luczak P.,152,72,332,671,6,4,6,3,,,,,,,2,0,Completed,1.83,1.83,1.95,1.8,2.1,1.67,1.91,2.02,2,1.73,2.05,2.02,1.92,1.82
25,Rome,Internazionali BNL d'Italia,27/04/10,Masters 1000,Outdoor,Clay,1st Round,3,Hewitt L.,Youzhny M.,32,13,1355,2380,6,4,4,6,6,3,,,,,2,1,Completed,2.75,1.4,2.65,1.44,2.75,1.4,2.77,1.52,2.63,1.44,2.9,1.57,2.64,1.45
25,Rome,Internazionali BNL d'Italia,27/04/10,Masters 1000,Outdoor,Clay,1st Round,3,Wawrinka S.,Melzer J.,26,27,1510,1440,6,1,6,2,,,,,,,2,0,Completed,1.36,2.87,1.45,2.6,1.44,2.63,1.48,2.86,1.44,2.63,1.55,2.9,1.43,2.73
25,Rome,Internazionali BNL d'Italia,27/04/10,Masters 1000,Outdoor,Clay,1st Round,3,Lopez F.,Becker B.,35,41,1205,1004,6,4,6,3,,,,,,,2,0,Completed,1.3,3.4,1.3,3.3,1.36,3,1.38,3.42,1.33,3,1.42,3.42,1.35,3.05
25,Rome,Internazionali BNL d'Italia,27/04/10,Masters 1000,Outdoor,Clay,1st Round,3,Bolelli S.,Greul S.,124,61,410,744,6,4,6,1,,,,,,,2,0,Completed,1.57,2.25,1.7,2.1,1.73,2,1.69,2.32,1.73,2,1.91,2.41,1.68,2.13
25,Rome,Internazionali BNL d'Italia,27/04/10,Masters 1000,Outdoor,Clay,1st Round,3,Troicki V.,De Bakker T.,37,50,1075,880,3,6,6,1,1,0,,,,,1,1,Retired,2.37,1.53,2.35,1.55,2.38,1.53,2.47,1.64,2.38,1.53,2.6,1.68,2.34,1.57
25,Rome,Internazionali BNL d'Italia,27/04/10,Masters 1000,Outdoor,Clay,1st Round,3,Almagro N.,Kubot L.,34,43,1255,977,6,7,6,2,6,3,,,,,2,1,Completed,1.14,5.5,1.17,4.67,1.17,4.5,1.18,5.8,1.14,5,1.2,6,1.16,4.94
25,Rome,Internazionali BNL d'Italia,27/04/10,Masters 1000,Outdoor,Clay,1st Round,3,Bellucci T.,Mayer L.,28,63,1402,732,6,4,3,6,6,1,,,,,2,1,Completed,1.4,2.75,1.45,2.6,1.4,2.75,1.45,3.01,1.44,2.63,1.53,3.05,1.46,2.64
25,Rome,Internazionali BNL d'Italia,27/04/10,Masters 1000,Outdoor,Clay,1st Round,3,Ferrer D.,Korolev E.,17,70,2105,688,6,4,6,1,,,,,,,2,0,Completed,1.07,7,1.09,6.75,1.08,7,1.15,6.69,1.07,7,1.15,8,1.09,6.84
25,Rome,Internazionali BNL d'Italia,27/04/10,Masters 1000,Outdoor,Clay,2nd Round,3,Hanescu V.,Monaco J.,39,24,1025,1585,7,6,6,4,,,,,,,2,0,Completed,2.25,1.57,2.28,1.58,2.2,1.62,2.25,1.74,2.38,1.53,2.4,1.74,2.27,1.6
25,Rome,Internazionali BNL d'Italia,27/04/10,Masters 1000,Outdoor,Clay,2nd Round,3,Djokovic N.,Chardy J.,2,46,7390,920,6,1,6,1,,,,,,,2,0,Completed,1.08,7,1.1,6.25,1.1,6.5,1.13,7.79,1.07,8,1.14,8.38,1.1,6.37
25,Rome,Internazionali BNL d'Italia,27/04/10,Masters 1000,Outdoor,Clay,2nd Round,3,Gulbis E.,Federer R.,40,1,1009,10690,2,6,6,1,7,5,,,,,2,1,Completed,4.5,1.16,3.7,1.25,4.5,1.17,4.72,1.24,3.5,1.25,5.25,1.25,4.34,1.2
25,Rome,Internazionali BNL d'Italia,27/04/10,Masters 1000,Outdoor,Clay,2nd Round,3,Murray A.,Seppi A.,5,47,5485,885,6,2,6,4,,,,,,,2,0,Completed,1.3,3.4,1.3,3.35,1.33,3.25,1.34,3.62,1.33,3.25,1.36,4,1.32,3.25
25,Rome,Internazionali BNL d'Italia,28/04/10,Masters 1000,Outdoor,Clay,2nd Round,3,Soderling R.,Lorenzi P.,7,96,4805,566,6,1,7,5,,,,,,,2,0,Completed,1.06,9,1.07,7.25,1.07,7.5,1.07,12.25,1.05,8,1.08,12.5,1.06,8.89
25,Rome,Internazionali BNL d'Italia,28/04/10,Masters 1000,Outdoor,Clay,2nd Round,3,Volandri F.,Benneteau J.,152,36,332,1094,6,2,6,0,,,,,,,2,0,Completed,2.1,1.66,2.1,1.7,2,1.73,2.21,1.76,2,1.73,2.35,1.85,2.08,1.7
25,Rome,Internazionali BNL d'Italia,28/04/10,Masters 1000,Outdoor,Clay,2nd Round,3,Garcia-Lopez G.,Hewitt L.,42,32,989,1355,6,2,6,3,,,,,,,2,0,Completed,2.25,1.57,2.3,1.6,2.2,1.62,2.27,1.72,2.38,1.53,2.4,1.73,2.22,1.63
25,Rome,Internazionali BNL d'Italia,28/04/10,Masters 1000,Outdoor,Clay,2nd Round,3,Giraldo S.,Llodra M.,76,59,652,762,6,3,6,2,,,,,,,2,0,Completed,1.38,3,1.36,3,1.4,2.75,1.49,2.89,1.36,2.88,1.5,3.05,1.4,2.85
25,Rome,Internazionali BNL d'Italia,28/04/10,Masters 1000,Outdoor,Clay,2nd Round,3,Wawrinka S.,Berdych T.,26,14,1510,2270,2,6,6,3,7,6,,,,,2,1,Completed,2,1.72,2.05,1.75,2,1.73,1.93,1.99,2,1.8,2.1,1.99,1.95,1.79
25,Rome,Internazionali BNL d'Italia,28/04/10,Masters 1000,Outdoor,Clay,2nd Round,3,Nadal R.,Kohlschreiber P.,3,29,6480,1400,6,1,6,3,,,,,,,2,0,Completed,1.01,15,1.02,11.5,1.02,11,1.03,21,1.02,13,1.03,25,1.02,14.38
25,Rome,Internazionali BNL d'Italia,28/04/10,Masters 1000,Outdoor,Clay,2nd Round,3,Verdasco F.,Bolelli S.,9,124,3555,410,7,6,6,3,,,,,,,2,0,Completed,1.12,5,1.14,5.2,1.14,5,1.19,5.53,1.17,4.5,1.2,6,1.16,4.83
25,Rome,Internazionali BNL d'Italia,28/04/10,Masters 1000,Outdoor,Clay,2nd Round,3,Ljubicic I.,Almagro N.,15,34,2250,1255,7,5,7,6,,,,,,,2,0,Completed,2.25,1.57,2.3,1.6,2.25,1.57,2.56,1.59,2.2,1.62,2.56,1.7,2.26,1.61
25,Rome,Internazionali BNL d'Italia,28/04/10,Masters 1000,Outdoor,Clay,2nd Round,3,Bellucci T.,Isner J.,28,22,1402,1618,7,6,7,5,,,,,,,2,0,Completed,1.36,3,1.4,2.85,1.44,2.63,1.45,3.01,1.4,2.75,1.45,3.01,1.41,2.8
25,Rome,Internazionali BNL d'Italia,28/04/10,Masters 1000,Outdoor,Clay,2nd Round,3,Tsonga J.W.,Troicki V.,10,37,3050,1075,6,2,6,3,,,,,,,2,0,Completed,1.28,3.5,1.32,3.22,1.36,3,1.34,3.67,1.25,3.5,1.37,4,1.32,3.24
