ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
30,Rome,Internazionali BNL d'Italia,10/05/15,Masters 1000,Outdoor,Clay,1st Round,3,Anderson K.,Mayer F.,16,567,1925,53,7,6,4,6,7,6,,,,,2,1,Completed,1.36,3,1.4,2.9,1.36,3,1.46,2.95,1.46,3.2,1.4,2.9
30,Rome,Internazionali BNL d'Italia,10/05/15,Masters 1000,Outdoor,Clay,1st Round,3,Donati M.,Giraldo S.,282,66,172,735,2,6,6,1,6,4,,,,,2,1,Completed,6,1.12,5.5,1.13,4.5,1.17,6.16,1.16,6.16,1.2,5.42,1.14
30,Rome,Internazionali BNL d'Italia,10/05/15,Masters 1000,Outdoor,Clay,1st Round,3,Mayer L.,Gaio F.,25,277,1442,178,6,3,6,4,,,,,,,2,0,Completed,1.1,7,1.1,6.5,1.12,5.5,1.1,8.6,1.13,8.6,1.09,6.97
30,Rome,Internazionali BNL d'Italia,10/05/15,Masters 1000,Outdoor,Clay,1st Round,3,Chardy J.,Rosol L.,38,42,1120,1070,7,6,6,4,,,,,,,2,0,Completed,1.8,1.9,1.82,1.9,1.73,2,1.88,2.02,1.88,2.09,1.82,1.94
30,Rome,Internazionali BNL d'Italia,10/05/15,Masters 1000,Outdoor,Clay,1st Round,3,Almagro N.,Vanni L.,174,100,290,529,6,4,6,3,,,,,,,2,0,Completed,1.2,4.33,1.2,4.3,1.17,4.5,1.22,4.85,1.25,4.85,1.21,4.25
30,Rome,Internazionali BNL d'Italia,10/05/15,Masters 1000,Outdoor,Clay,1st Round,3,Vesely J.,Gulbis E.,40,22,1100,1560,7,6,2,6,6,3,,,,,2,1,Completed,1.61,2.2,1.65,2.2,1.73,2,1.72,2.26,1.77,2.3,1.68,2.16
30,Rome,Internazionali BNL d'Italia,11/05/15,Masters 1000,Outdoor,Clay,1st Round,3,Simon G.,Sock J.,12,33,2255,1147,4,6,7,6,6,3,,,,,2,1,Completed,1.8,1.9,1.82,1.9,1.83,1.83,2,1.91,2,2.08,1.84,1.93
30,Rome,Internazionali BNL d'Italia,11/05/15,Masters 1000,Outdoor,Clay,1st Round,3,Dimitrov G.,Janowicz J.,11,46,3075,940,6,3,7,6,,,,,,,2,0,Completed,1.12,6,1.17,4.75,1.17,4.5,1.17,5.91,1.18,6,1.15,5.13
30,Rome,Internazionali BNL d'Italia,11/05/15,Masters 1000,Outdoor,Clay,1st Round,3,Kohlschreiber P.,Young D.,23,48,1535,920,6,4,6,1,,,,,,,2,0,Completed,1.14,5.5,1.13,5.5,1.17,4.5,1.14,6.67,1.17,6.67,1.14,5.53
30,Rome,Internazionali BNL d'Italia,11/05/15,Masters 1000,Outdoor,Clay,1st Round,3,Isner J.,Sousa J.,17,51,1855,903,7,5,6,3,,,,,,,2,0,Completed,1.25,3.75,1.25,3.75,1.3,3.4,1.29,3.97,1.3,4.1,1.26,3.77
