ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
29,Rome,Internazionali BNL d'Italia,12/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Basilashvili N.,Fucsovics M.,18,37,1905,1205,6,1,7,6,,,,,,,2,0,Completed,2.5,1.5,2.71,1.52,2.75,1.56,2.58,1.5
29,Rome,Internazionali BNL d'Italia,12/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Kohlschreiber P.,Simon G.,56,28,895,1375,6,2,3,6,6,3,,,,,2,1,Completed,1.36,3,1.37,3.4,1.41,3.4,1.37,3.1
29,Rome,Internazionali BNL d'Italia,12/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Berrettini M.,Pouille L.,33,25,1275,1420,6,2,6,4,,,,,,,2,0,Completed,1.36,3,1.4,3.21,1.42,3.25,1.39,2.98
29,Rome,Internazionali BNL d'Italia,12/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Sinner J.,Johnson S.,263,59,170,885,1,6,6,1,7,5,,,,,2,1,Completed,2.1,1.66,2.31,1.69,2.35,1.75,2.17,1.68
29,Rome,Internazionali BNL d'Italia,12/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Bautista Agut R.,Seppi A.,20,65,1645,785,6,1,3,6,6,1,,,,,2,1,Completed,1.22,4,1.23,4.7,1.29,4.7,1.24,4.07
29,Rome,Internazionali BNL d'Italia,13/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Coric B.,Auger-Aliassime F.,15,30,2445,1349,6,7,6,3,6,4,,,,,2,1,Completed,2,1.72,2.04,1.87,2.1,1.88,1.99,1.82
29,Rome,Internazionali BNL d'Italia,13/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Djere L.,Kukushkin M.,32,47,1281,990,6,3,6,4,,,,,,,2,0,Completed,1.4,2.75,1.42,3.11,1.47,3.25,1.41,2.93
29,Rome,Internazionali BNL d'Italia,13/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Verdasco F.,Edmund K.,38,27,1200,1405,4,6,6,4,6,2,,,,,2,1,Completed,2.1,1.66,2.29,1.7,2.3,1.83,2.14,1.71
29,Rome,Internazionali BNL d'Italia,13/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Khachanov K.,Sonego L.,13,67,2720,774,6,3,6,7,6,3,,,,,2,1,Completed,1.66,2.1,1.85,2.06,1.87,2.14,1.79,2.03
29,Rome,Internazionali BNL d'Italia,13/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Ruud C.,Evans D.,76,83,695,656,7,5,0,6,6,3,,,,,2,1,Completed,1.36,3,1.45,2.97,1.47,3.25,1.39,2.99
29,Rome,Internazionali BNL d'Italia,13/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Shapovalov D.,Carreno Busta P.,22,43,1470,1030,6,3,7,6,,,,,,,2,0,Completed,1.66,2.1,1.73,2.24,1.75,2.3,1.67,2.2
29,Rome,Internazionali BNL d'Italia,13/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Cecchinato M.,De Minaur A.,19,26,1840,1420,4,6,6,3,6,1,,,,,2,1,Completed,1.25,3.75,1.27,4.26,1.29,4.5,1.25,3.99
29,Rome,Internazionali BNL d'Italia,13/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Ramos-Vinolas A.,Monfils G.,88,16,635,1965,6,3,6,1,,,,,,,2,0,Completed,3.4,1.3,3.47,1.36,3.64,1.37,3.27,1.34
29,Rome,Internazionali BNL d'Italia,13/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Norrie C.,Millman J.,45,57,995,885,3,6,6,3,6,4,,,,,2,1,Completed,1.9,1.8,1.96,1.94,2,2.01,1.88,1.92
29,Rome,Internazionali BNL d'Italia,13/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Fognini F.,Tsonga J.W.,12,92,2920,623,6,3,6,4,,,,,,,2,0,Completed,1.36,3,1.36,3.43,1.44,3.6,1.36,3.15
29,Rome,Internazionali BNL d'Italia,14/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Albot R.,Paire B.,44,46,1006,993,6,3,6,2,,,,,,,2,0,Completed,2.62,1.44,2.81,1.5,2.9,1.5,2.74,1.45
29,Rome,Internazionali BNL d'Italia,14/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Fritz T.,Pella G.,52,21,954,1495,6,3,6,4,,,,,,,2,0,Completed,3,1.36,3.25,1.4,3.28,1.42,3.09,1.37
29,Rome,Internazionali BNL d'Italia,14/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Goffin D.,Wawrinka S.,23,29,1460,1365,4,6,6,0,6,2,,,,,2,1,Completed,2.5,1.5,2.73,1.52,2.73,1.57,2.58,1.51
29,Rome,Internazionali BNL d'Italia,14/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Chardy J.,Gasquet R.,42,39,1040,1105,6,1,4,6,6,3,,,,,2,1,Completed,1.57,2.25,1.73,2.24,1.8,2.35,1.67,2.21
29,Rome,Internazionali BNL d'Italia,14/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Schwartzman D.,Nishioka Y.,24,75,1440,706,6,1,6,4,,,,,,,2,0,Completed,1.36,3,1.46,2.95,1.47,3.07,1.42,2.88
29,Rome,Internazionali BNL d'Italia,14/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Kyrgios N.,Medvedev D.,36,14,1225,2625,6,3,3,6,6,3,,,,,2,1,Completed,3,1.36,3.24,1.4,3.5,1.44,3.01,1.39
29,Rome,Internazionali BNL d'Italia,14/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Sousa J.,Tiafoe F.,72,34,717,1255,6,3,6,7,7,6,,,,,2,1,Completed,2.75,1.4,2.83,1.49,2.86,1.52,2.71,1.46
29,Rome,Internazionali BNL d'Italia,14/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Cilic M.,Basso A.,10,416,3025,28,6,1,7,5,,,,,,,2,0,Completed,1.07,9,1.1,8.61,1.11,10.2,1.08,8.32
29,Rome,Internazionali BNL d'Italia,14/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Struff J.L.,Dimitrov G.,51,48,965,985,6,4,6,7,6,3,,,,,2,1,Completed,2.1,1.66,2.16,1.78,2.25,1.78,2.13,1.72
29,Rome,Internazionali BNL d'Italia,14/05/2019,Masters 1000,Outdoor,Clay,2nd Round,3,Khachanov K.,Bautista Agut R.,13,20,2720,1645,5,7,6,4,6,2,,,,,2,1,Completed,2.1,1.66,2.4,1.65,2.4,1.75,2.18,1.68
29,Rome,Internazionali BNL d'Italia,14/05/2019,Masters 1000,Outdoor,Clay,2nd Round,3,Berrettini M.,Zverev A.,33,5,1275,4745,7,5,7,5,,,,,,,2,0,Completed,2.37,1.53,2.34,1.68,2.45,1.68,2.35,1.6
29,Rome,Internazionali BNL d'Italia,14/05/2019,Masters 1000,Outdoor,Clay,2nd Round,3,Basilashvili N.,Djere L.,18,32,1905,1281,7,5,6,4,,,,,,,2,0,Completed,2.25,1.57,2.28,1.71,2.4,1.71,2.3,1.62
29,Rome,Internazionali BNL d'Italia,14/05/2019,Masters 1000,Outdoor,Clay,2nd Round,3,Coric B.,Norrie C.,15,45,2445,995,6,2,6,2,,,,,,,2,0,Completed,1.22,4,1.24,4.6,1.27,4.9,1.22,4.32
29,Rome,Internazionali BNL d'Italia,16/05/2019,Masters 1000,Outdoor,Clay,2nd Round,3,Schwartzman D.,Ramos-Vinolas A.,24,88,1440,635,7,6,6,1,,,,,,,2,0,Completed,1.44,2.62,1.47,2.9,1.49,2.95,1.45,2.77
29,Rome,Internazionali BNL d'Italia,16/05/2019,Masters 1000,Outdoor,Clay,2nd Round,3,Verdasco F.,Thiem D.,38,4,1200,4845,4,6,6,4,7,5,,,,,2,1,Completed,5,1.16,5.31,1.2,5.65,1.21,4.96,1.18
29,Rome,Internazionali BNL d'Italia,16/05/2019,Masters 1000,Outdoor,Clay,2nd Round,3,Nishikori K.,Fritz T.,6,52,3860,954,6,2,6,4,,,,,,,2,0,Completed,1.28,3.5,1.34,3.59,1.36,3.7,1.31,3.47
29,Rome,Internazionali BNL d'Italia,16/05/2019,Masters 1000,Outdoor,Clay,2nd Round,3,Federer R.,Sousa J.,3,72,5770,717,6,4,6,3,,,,,,,2,0,Completed,1.07,9,1.09,9.06,1.1,10.2,1.08,8.26
29,Rome,Internazionali BNL d'Italia,16/05/2019,Masters 1000,Outdoor,Clay,2nd Round,3,Struff J.L.,Cilic M.,51,10,965,3025,6,2,6,3,,,,,,,2,0,Completed,2.37,1.53,2.49,1.61,2.5,1.67,2.41,1.57
29,Rome,Internazionali BNL d'Italia,16/05/2019,Masters 1000,Outdoor,Clay,2nd Round,3,Nadal R.,Chardy J.,2,42,7945,1040,6,0,6,1,,,,,,,2,0,Completed,1.05,11,1.05,14.31,1.06,15.25,1.04,12
29,Rome,Internazionali BNL d'Italia,16/05/2019,Masters 1000,Outdoor,Clay,2nd Round,3,Del Potro J.M.,Goffin D.,9,23,3145,1460,6,4,6,2,,,,,,,2,0,Completed,2.25,1.57,2.43,1.63,2.45,1.69,2.34,1.61
29,Rome,Internazionali BNL d'Italia,16/05/2019,Masters 1000,Outdoor,Clay,2nd Round,3,Ruud C.,Kyrgios N.,76,36,695,1225,6,3,6,7,2,1,,,,,1,1,Awarded,2.25,1.57,2.26,1.72,2.35,1.72,2.24,1.65
29,Rome,Internazionali BNL d'Italia,16/05/2019,Masters 1000,Outdoor,Clay,2nd Round,3,Tsitsipas S.,Sinner J.,7,263,3790,170,6,3,6,2,,,,,,,2,0,Completed,1.14,5.5,1.13,6.99,1.15,7,1.13,6.2
29,Rome,Internazionali BNL d'Italia,16/05/2019,Masters 1000,Outdoor,Clay,2nd Round,3,Djokovic N.,Shapovalov D.,1,22,12115,1470,6,1,6,3,,,,,,,2,0,Completed,1.1,7,1.11,8.21,1.13,8.21,1.1,7.18
