ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,SJW,SJL,UBW,UBL
56,Shanghai,Shanghai Masters,11/10/09,Masters 1000,Outdoor,Hard,1st Round,3,Beck A.,Acasuso J.,36,47,1071,876,7,6,1,0,,,,,,,1,0,Retired,1.53,2.37,1.55,2.35,1.61,2.2,1.62,2.2,,
56,Shanghai,Shanghai Masters,11/10/09,Masters 1000,Outdoor,Hard,1st Round,3,Zeng S.X.,Sela D.,393,44,96,978,2,6,6,1,6,4,,,,,2,1,Completed,4.33,1.2,,,4.33,1.2,4.5,1.17,,
56,Shanghai,Shanghai Masters,11/10/09,Masters 1000,Outdoor,Hard,1st Round,3,Lopez F.,Garcia-Lopez G.,41,51,1005,849,6,3,6,4,,,,,,,2,0,Completed,1.66,2.1,1.75,2.05,1.72,2,1.73,2,1.74,2.05
56,Shanghai,Shanghai Masters,11/10/09,Masters 1000,Outdoor,Hard,1st Round,3,Kunitsyn I.,Andreev I.,116,40,490,1040,6,7,6,4,6,2,,,,,2,1,Completed,2.2,1.61,2.1,1.7,2,1.72,2.1,1.67,2.08,1.72
56,Shanghai,Shanghai Masters,12/10/09,Masters 1000,Outdoor,Hard,1st Round,3,Bellucci T.,Chiudinelli M.,53,83,833,616,7,6,6,4,,,,,,,2,0,Completed,2.1,1.66,2.25,1.6,2,1.727,2,1.73,2,1.77
56,Shanghai,Shanghai Masters,12/10/09,Masters 1000,Outdoor,Hard,1st Round,3,Blake J.,Karlovic I.,26,30,1415,1220,3,6,7,6,6,3,,,,,2,1,Completed,1.66,2.1,1.85,1.9,1.667,2.1,1.67,2.1,1.77,2
56,Shanghai,Shanghai Masters,12/10/09,Masters 1000,Outdoor,Hard,1st Round,3,Robredo T.,Llodra M.,15,129,2090,452,6,1,6,4,,,,,,,2,0,Completed,1.3,3.4,1.33,3.12,1.286,3.5,1.25,3.5,1.3,3.4
56,Shanghai,Shanghai Masters,12/10/09,Masters 1000,Outdoor,Hard,1st Round,3,Mayer F.,Petzschner P.,79,78,636,637,6,3,6,2,,,,,,,2,0,Completed,1.83,1.83,1.56,2.33,1.833,1.833,2.38,1.53,1.9,1.86
56,Shanghai,Shanghai Masters,12/10/09,Masters 1000,Outdoor,Hard,1st Round,3,Wawrinka S.,Kubot L.,22,121,1650,483,2,6,7,6,7,6,,,,,2,1,Completed,1.16,4.5,1.2,4.25,1.222,4,1.2,4,1.22,4.1
56,Shanghai,Shanghai Masters,12/10/09,Masters 1000,Outdoor,Hard,1st Round,3,Ferrer D.,Gasquet R.,19,57,1770,810,6,4,6,3,,,,,,,2,0,Completed,1.57,2.25,1.55,2.35,1.667,2.1,1.67,2.1,1.7,2.1
56,Shanghai,Shanghai Masters,12/10/09,Masters 1000,Outdoor,Hard,1st Round,3,Schuettler R.,Vassallo-Arguello M.,99,52,545,835,6,4,3,6,7,6,,,,,2,1,Completed,1.3,3.4,1.35,3.1,1.4,2.75,1.33,3,1.3,3.4
56,Shanghai,Shanghai Masters,12/10/09,Masters 1000,Outdoor,Hard,1st Round,3,Gonzalez F.,Zverev M.,12,67,2700,720,7,5,6,7,2,2,,,,,1,1,Retired,1.12,5.5,1.15,5.2,1.14,5,1.14,5,1.15,5.2
56,Shanghai,Shanghai Masters,12/10/09,Masters 1000,Outdoor,Hard,1st Round,3,Stepanek R.,Ferrero J.C.,16,21,2055,1675,6,3,6,0,,,,,,,2,0,Completed,1.9,1.8,1.87,1.87,1.83,1.83,2,1.73,1.9,1.86
56,Shanghai,Shanghai Masters,12/10/09,Masters 1000,Outdoor,Hard,1st Round,3,Safin M.,Gong M.X.,86,541,600,56,6,4,6,4,,,,,,,2,0,Completed,1.071,7.5,1.05,8.5,1.06,8,1.07,7,1.08,7.5
56,Shanghai,Shanghai Masters,12/10/09,Masters 1000,Outdoor,Hard,1st Round,3,Fognini F.,Gulbis E.,66,80,720,630,7,6,6,3,,,,,,,2,0,Completed,3.75,1.25,3.17,1.33,3.4,1.3,3,1.33,3.6,1.27
56,Shanghai,Shanghai Masters,13/10/09,Masters 1000,Outdoor,Hard,1st Round,3,Haas T.,Becker B.,18,38,1780,1064,7,6,6,4,,,,,,,2,0,Completed,1.16,4.5,1.2,4.25,1.222,4,1.22,3.8,1.22,4.1
56,Shanghai,Shanghai Masters,13/10/09,Masters 1000,Outdoor,Hard,1st Round,3,Melzer J.,Chardy J.,43,34,985,1132,6,4,6,4,,,,,,,2,0,Completed,1.8,1.9,1.8,1.95,1.833,1.833,1.83,1.83,1.8,1.97
56,Shanghai,Shanghai Masters,13/10/09,Masters 1000,Outdoor,Hard,1st Round,3,Hewitt L.,Isner J.,23,42,1555,987,6,2,6,4,,,,,,,2,0,Completed,1.44,2.62,1.5,2.45,1.533,2.375,1.53,2.38,1.48,2.58
56,Shanghai,Shanghai Masters,13/10/09,Masters 1000,Outdoor,Hard,1st Round,3,Almagro N.,Kohlschreiber P.,29,24,1225,1460,6,7,6,1,7,6,,,,,2,1,Completed,3,1.36,2.85,1.4,2.75,1.4,2.63,1.44,3,1.37
56,Shanghai,Shanghai Masters,13/10/09,Masters 1000,Outdoor,Hard,1st Round,3,Ljubicic I.,Benneteau J.,37,33,1070,1154,6,3,3,6,6,1,,,,,2,1,Completed,1.61,2.2,1.6,2.35,1.727,2,1.73,2,1.7,2.1
56,Shanghai,Shanghai Masters,13/10/09,Masters 1000,Outdoor,Hard,1st Round,3,Soderling R.,Hanescu V.,11,27,3125,1286,6,3,6,4,,,,,,,2,0,Completed,1.1,6.5,1.12,5.9,1.12,5.5,1.1,6,1.13,5.7
56,Shanghai,Shanghai Masters,13/10/09,Masters 1000,Outdoor,Hard,1st Round,3,Berdych T.,Cilic M.,20,13,1740,2495,7,6,3,6,6,4,,,,,2,1,Completed,2.62,1.44,2.35,1.55,2.5,1.5,2.25,1.57,2.44,1.53
56,Shanghai,Shanghai Masters,13/10/09,Masters 1000,Outdoor,Hard,1st Round,3,Monfils G.,Mathieu P.H.,14,35,2285,1100,6,2,6,2,,,,,,,2,0,Completed,1.36,3,1.35,3.05,1.4,2.75,1.33,3,1.38,2.95
56,Shanghai,Shanghai Masters,13/10/09,Masters 1000,Outdoor,Hard,1st Round,3,Troicki V.,Monaco J.,31,28,1170,1225,6,1,6,2,,,,,,,2,0,Completed,1.44,2.62,1.48,2.53,1.5,2.5,1.5,2.5,1.5,2.52
