ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
57,Shanghai,Shanghai Masters,05/10/14,Masters 1000,Outdoor,Hard,1st Round,3,Kukushkin M.,Robredo T.,85,20,642,1750,3,6,6,3,7,6,,,,,2,1,Completed,3.5,1.28,3.2,1.33,3,1.36,3.67,1.33,3.4,1.3,3.75,1.36,3.38,1.31
57,Shanghai,Shanghai Masters,05/10/14,Masters 1000,Outdoor,Hard,1st Round,3,Thiem D.,Rosol L.,39,26,1024,1290,6,4,7,6,,,,,,,2,0,Completed,1.57,2.25,1.6,2.3,1.57,2.25,1.68,2.33,1.57,2.3,1.68,2.4,1.59,2.3
57,Shanghai,Shanghai Masters,05/10/14,Masters 1000,Outdoor,Hard,1st Round,3,Bautista R.,Dolgopolov O.,18,24,1865,1490,6,4,6,4,,,,,,,2,0,Completed,1.66,2.1,1.65,2.2,1.62,2.2,1.83,2.11,1.62,2.25,1.83,2.25,1.69,2.13
57,Shanghai,Shanghai Masters,06/10/14,Masters 1000,Outdoor,Hard,1st Round,3,Isner J.,Andujar P.,14,43,1925,971,7,6,1,6,6,3,,,,,2,1,Completed,1.18,4.5,1.18,4.5,1.17,4.5,1.23,4.69,1.2,4,1.24,4.75,1.2,4.38
57,Shanghai,Shanghai Masters,06/10/14,Masters 1000,Outdoor,Hard,1st Round,3,Monaco J.,Sousa J.,82,49,660,887,6,2,7,6,,,,,,,2,0,Completed,1.53,2.37,1.55,2.4,1.5,2.5,1.63,2.43,1.53,2.4,1.63,2.65,1.56,2.38
57,Shanghai,Shanghai Masters,06/10/14,Masters 1000,Outdoor,Hard,1st Round,3,Jaziri M.,Young D.,87,67,638,759,7,5,6,4,,,,,,,2,0,Completed,3,1.36,2.9,1.4,3,1.36,3.1,1.43,2.88,1.4,3.1,1.45,2.88,1.4
57,Shanghai,Shanghai Masters,06/10/14,Masters 1000,Outdoor,Hard,1st Round,3,Lu Y.H.,Granollers M.,45,364,949,120,6,3,6,7,6,2,,,,,2,1,Completed,1.66,2.1,1.65,2.2,1.62,2.2,1.74,2.22,1.67,2.1,1.81,2.25,1.67,2.16
57,Shanghai,Shanghai Masters,06/10/14,Masters 1000,Outdoor,Hard,1st Round,3,Karlovic I.,Cilic M.,31,9,1195,3935,7,5,2,6,7,6,,,,,2,1,Completed,4.33,1.2,4,1.22,4.33,1.2,4.57,1.24,3.8,1.22,4.57,1.26,4.14,1.22
57,Shanghai,Shanghai Masters,06/10/14,Masters 1000,Outdoor,Hard,1st Round,3,Anderson K.,Ward J.,16,119,1875,481,3,6,6,3,6,2,,,,,2,1,Completed,1.2,4.33,1.2,4.3,1.2,4.33,1.26,4.38,1.2,4.33,1.26,4.55,1.21,4.21
57,Shanghai,Shanghai Masters,06/10/14,Masters 1000,Outdoor,Hard,1st Round,3,Gasquet R.,Chardy J.,22,32,1655,1150,7,6,6,2,,,,,,,2,0,Completed,1.36,3,1.33,3.2,1.36,3,1.4,3.22,1.33,3.2,1.42,3.5,1.36,3.09
57,Shanghai,Shanghai Masters,06/10/14,Masters 1000,Outdoor,Hard,1st Round,3,Sock J.,Tomic B.,60,77,801,701,7,6,6,7,6,4,,,,,2,1,Completed,2.25,1.57,2.25,1.62,2.25,1.57,2.44,1.63,2.25,1.57,2.45,1.65,2.31,1.59
57,Shanghai,Shanghai Masters,06/10/14,Masters 1000,Outdoor,Hard,1st Round,3,Dimitrov G.,Istomin D.,10,51,3710,860,6,3,6,3,,,,,,,2,0,Completed,1.2,4.33,1.2,4.3,1.2,4.33,1.21,5,1.2,4,1.24,5,1.21,4.27
57,Shanghai,Shanghai Masters,07/10/14,Masters 1000,Outdoor,Hard,1st Round,3,Benneteau J.,Zhang Z.,30,190,1205,274,5,7,6,3,6,3,,,,,2,1,Completed,1.16,5,1.2,4.3,1.2,4.33,1.33,3.64,1.17,4.8,1.33,5,1.24,3.97
57,Shanghai,Shanghai Masters,07/10/14,Masters 1000,Outdoor,Hard,1st Round,3,Youzhny M.,Gulbis E.,35,13,1135,2455,6,4,6,1,,,,,,,2,0,Completed,2.62,1.44,2.45,1.52,2.62,1.44,2.51,1.6,2.75,1.44,2.75,1.61,2.52,1.51
57,Shanghai,Shanghai Masters,07/10/14,Masters 1000,Outdoor,Hard,1st Round,3,Johnson S.,Golubev A.,42,61,974,788,6,3,1,6,6,3,,,,,2,1,Completed,1.4,2.75,1.42,2.8,1.44,2.62,1.67,2.35,1.44,2.75,1.67,2.8,1.54,2.46
57,Shanghai,Shanghai Masters,07/10/14,Masters 1000,Outdoor,Hard,1st Round,3,Lopez F.,Kokkinakis T.,21,173,1745,302,6,7,6,3,6,4,,,,,2,1,Completed,1.4,2.75,1.45,2.7,1.4,2.75,1.56,2.62,1.4,2.88,1.62,2.9,1.48,2.61
57,Shanghai,Shanghai Masters,07/10/14,Masters 1000,Outdoor,Hard,1st Round,3,Simon G.,Garcia-Lopez G.,29,38,1220,1040,3,6,6,0,6,1,,,,,2,1,Completed,1.4,2.75,1.42,2.8,1.4,2.75,1.41,3.18,1.44,2.75,1.44,3.18,1.39,2.9
57,Shanghai,Shanghai Masters,07/10/14,Masters 1000,Outdoor,Hard,1st Round,3,Pospisil V.,Giraldo S.,44,28,965,1225,6,2,6,7,6,1,,,,,2,1,Completed,1.36,3,1.4,2.9,1.4,2.75,1.43,3.05,1.4,2.88,1.45,3.05,1.4,2.87
