ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,1st Round,3,Blake J.,Larose S.,31,560,6,2,6,1,,,,,,,2,0,Completed,1.083,7,1.15,5,1.11,6.75,1.1,4.5,1.1,6
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,1st Round,3,Canas G.,Federer R.,19,10,7,6,7,5,,,,,,,2,0,Completed,2.375,1.533,2.75,1.42,2.42,1.45,2.1,1.5,2.375,1.533
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,1st Round,3,Dent T.,Norman M.,75,198,6,1,6,2,,,,,,,2,0,Completed,1.4,2.75,1.33,3.2,1.41,2.65,1.4,2.3,1.4,2.75
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,1st Round,3,El Aynaoui Y.,Kiefer N.,18,58,6,4,2,6,6,4,,,,,2,1,Completed,1.8,1.909,1.85,1.9,1.77,1.85,1.7,1.8,1.727,2
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,1st Round,3,Ferrero J.C.,Enqvist T.,8,33,7,6,6,7,7,5,,,,,2,1,Completed,2.1,1.667,2.15,1.65,1.88,1.75,2,1.55,2.2,1.615
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,1st Round,3,Grosjean S.,Ulihrach B.,11,61,3,6,7,6,6,4,,,,,2,1,Completed,1.364,3,1.38,2.9,1.3,3.2,1.25,3,1.364,3
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,1st Round,3,Haas T.,Niemeyer F.,3,222,6,3,6,3,,,,,,,2,0,Completed,1.143,5,1.18,4.5,1.18,4.25,1.2,3.3,1.143,5
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,1st Round,3,Henman T.,Vicente F.,4,50,6,4,6,4,,,,,,,2,0,Completed,1.125,5.5,1.15,5,1.17,4.75,1.15,3.8,1.167,4.5
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,1st Round,3,Johansson T.,Ljubicic I.,9,32,4,6,6,4,7,6,,,,,2,1,Completed,,,1.55,2.35,1.5,2.3,1.6,1.9,1.533,2.375
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,1st Round,3,Kafelnikov Y.,Mirnyi M.,5,29,6,4,6,7,6,2,,,,,2,1,Completed,1.615,2.2,1.72,2.05,1.57,2.15,1.45,2.2,1.615,2.2
