ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
45,Toronto,Toronto TMS,26/07/04,Masters,Outdoor,Hard,1st Round,3,Ferrer D.,Larose S.,42,193,7,5,6,2,,,,,,,2,0,Completed,1.533,2.375,1.6,2.25,1.65,2.2,1.4,2.3,1.654,2.33
45,Toronto,Toronto TMS,26/07/04,Masters,Outdoor,Hard,1st Round,3,Chela J.I.,Malisse X.,17,37,6,3,5,7,6,3,,,,,2,1,Completed,2.2,1.615,2.15,1.7,2.15,1.65,1.85,1.65,2.13,1.752
45,Toronto,Toronto TMS,26/07/04,Masters,Outdoor,Hard,1st Round,3,Mirnyi M.,Kratochvil M.,34,170,7,6,7,6,,,,,,,2,0,Completed,1.833,1.833,1.9,1.9,2.05,1.75,1.7,1.8,1.971,1.855
45,Toronto,Toronto TMS,26/07/04,Masters,Outdoor,Hard,1st Round,3,Johansson J.,Llodra M.,33,56,1,6,7,6,6,1,,,,,2,1,Completed,1.533,2.375,,,1.58,2.4,1.65,1.85,1.633,2.38
45,Toronto,Toronto TMS,26/07/04,Masters,Outdoor,Hard,1st Round,3,Andreev I.,Sargsian S.,57,55,7,5,6,7,6,2,,,,,2,1,Completed,1.533,2.375,1.65,2.25,1.6,2.25,1.45,2.2,1.671,2.29
45,Toronto,Toronto TMS,26/07/04,Masters,Outdoor,Hard,1st Round,3,Santoro F.,Ferrero J.C.,58,7,3,2,,,,,,,,,0,0,Retired,3.4,1.3,3.3,1.33,3.35,1.3,2.5,1.35,3.4,1.357
45,Toronto,Toronto TMS,26/07/04,Masters,Outdoor,Hard,1st Round,3,Saulnier C.,Nestor D.,70,542,6,3,6,4,,,,,,,2,0,Completed,1.167,4.5,1.2,4.25,1.2,4.25,1.2,3.3,1.227,4.7
45,Toronto,Toronto TMS,26/07/04,Masters,Outdoor,Hard,1st Round,3,Hernych J.,Labadze I.,109,43,6,1,6,4,,,,,,,2,0,Completed,,,,,,,1.65,1.85,1.667,2.3
45,Toronto,Toronto TMS,26/07/04,Masters,Outdoor,Hard,1st Round,3,Bogomolov A.,Karlovic I.,117,59,6,4,7,6,,,,,,,2,0,Completed,2.375,1.533,2.15,1.7,2.08,1.7,2,1.55,2.27,1.68
45,Toronto,Toronto TMS,26/07/04,Masters,Outdoor,Hard,1st Round,3,Soderling R.,Enqvist T.,50,53,7,6,6,3,,,,,,,2,0,Completed,1.833,1.833,2,1.81,2.15,1.65,1.75,1.75,2.15,1.741
45,Toronto,Toronto TMS,27/07/04,Masters,Outdoor,Hard,1st Round,3,Srichaphan P.,Pavel A.,15,16,7,5,6,2,,,,,,,2,0,Completed,1.444,2.625,1.5,2.6,1.55,2.35,1.5,2.1,1.524,2.71
45,Toronto,Toronto TMS,27/07/04,Masters,Outdoor,Hard,1st Round,3,Agassi A.,Haas T.,11,66,4,6,6,4,6,4,,,,,2,1,Completed,1.615,2.2,1.67,2.2,1.7,2.1,1.5,2.1,1.685,2.26
45,Toronto,Toronto TMS,27/07/04,Masters,Outdoor,Hard,1st Round,3,Robredo T.,Lee H.T.,27,78,7,6,6,1,,,,,,,2,0,Completed,1.571,2.25,1.7,2.15,1.55,2.35,1.55,2,1.667,2.3
45,Toronto,Toronto TMS,27/07/04,Masters,Outdoor,Hard,1st Round,3,Kuerten G.,Ginepri R.,23,40,6,1,6,4,,,,,,,2,0,Completed,2.1,1.667,2.2,1.67,2.2,1.65,1.9,1.6,2.41,1.621
45,Toronto,Toronto TMS,28/07/04,Masters,Outdoor,Hard,1st Round,3,Spadea V.,Dancevic F.,21,225,6,1,6,4,,,,,,,2,0,Completed,1.3,3.4,1.28,3.5,1.3,3.35,1.35,2.5,1.333,3.55
45,Toronto,Toronto TMS,28/07/04,Masters,Outdoor,Hard,1st Round,3,Novak J.,Bjorkman J.,22,38,5,7,7,6,6,0,,,,,2,1,Completed,1.4,2.75,1.5,2.6,1.4,2.85,1.4,2.3,1.526,2.7
45,Toronto,Toronto TMS,28/07/04,Masters,Outdoor,Hard,1st Round,3,Gonzalez F.,Schuettler R.,19,8,3,6,6,4,6,3,,,,,2,1,Completed,1.8,1.909,1.85,1.95,1.8,1.95,1.75,1.75,1.741,2.15
45,Toronto,Toronto TMS,28/07/04,Masters,Outdoor,Hard,1st Round,3,Melzer J.,Hrbaty D.,61,20,4,6,7,5,7,6,,,,,2,1,Completed,2.625,1.444,2.85,1.42,2.6,1.45,2,1.55,3.01,1.433
45,Toronto,Toronto TMS,28/07/04,Masters,Outdoor,Hard,1st Round,3,Ljubicic I.,Beck K.,26,63,6,2,5,7,6,3,,,,,2,1,Completed,1.5,2.5,1.6,2.35,1.48,2.53,1.5,2.1,1.556,2.6
45,Toronto,Toronto TMS,28/07/04,Masters,Outdoor,Hard,1st Round,3,Johansson T.,Massu N.,99,13,6,4,6,4,,,,,,,2,0,Completed,1.5,2.5,1.48,2.65,1.4,2.85,,,1.541,2.65
45,Toronto,Toronto TMS,28/07/04,Masters,Outdoor,Hard,1st Round,3,Moya C.,Verdasco F.,4,32,6,7,6,3,6,4,,,,,2,1,Completed,1.333,3.25,1.3,3.5,1.3,3.35,1.3,2.7,1.282,4
45,Toronto,Toronto TMS,28/07/04,Masters,Outdoor,Hard,1st Round,3,Federer R.,Arazi H.,1,36,6,3,7,5,,,,,,,2,0,Completed,1.063,8,1.08,7.75,1.07,7.19,1.05,5,1.063,13
45,Toronto,Toronto TMS,28/07/04,Masters,Outdoor,Hard,1st Round,3,Carraz G.,Grosjean S.,73,12,6,2,7,6,,,,,,,2,0,Completed,4.5,1.167,4.25,1.22,4.25,1.2,3.3,1.2,4.35,1.25
45,Toronto,Toronto TMS,28/07/04,Masters,Outdoor,Hard,1st Round,3,Lopez F.,Escude N.,30,67,7,6,6,2,,,,,,,2,0,Completed,,,1.6,2.35,1.65,2.2,1.5,2.1,1.694,2.24
45,Toronto,Toronto TMS,28/07/04,Masters,Outdoor,Hard,1st Round,3,Kiefer N.,Safin M.,25,14,6,7,6,4,7,6,,,,,2,1,Completed,2.1,1.667,1.95,1.85,1.95,1.8,1.75,1.75,2.16,1.735
45,Toronto,Toronto TMS,28/07/04,Masters,Outdoor,Hard,1st Round,3,Reid T.,Gaudio G.,127,9,7,6,5,7,6,3,,,,,2,1,Completed,2.25,1.571,2.15,1.7,2.1,1.7,2.3,1.4,2.44,1.61
45,Toronto,Toronto TMS,28/07/04,Masters,Outdoor,Hard,1st Round,3,Niemeyer F.,Sanchez D.,231,54,6,1,6,4,,,,,,,2,0,Completed,2,1.727,1.9,1.85,1.87,1.87,1.8,1.7,2.06,1.794
45,Toronto,Toronto TMS,28/07/04,Masters,Outdoor,Hard,1st Round,3,Youzhny M.,Nalbandian D.,46,6,3,6,6,3,6,4,,,,,2,1,Completed,3.25,1.333,2.95,1.4,2.92,1.37,2.3,1.4,3.4,1.357
45,Toronto,Toronto TMS,28/07/04,Masters,Outdoor,Hard,1st Round,3,Henman T.,Zabaleta M.,5,39,6,4,6,1,,,,,,,2,0,Completed,1.286,3.5,1.28,3.65,1.3,3.35,1.35,2.5,1.328,3.6
45,Toronto,Toronto TMS,28/07/04,Masters,Outdoor,Hard,1st Round,3,Hewitt L.,Nadal R.,10,62,1,6,6,4,6,2,,,,,2,1,Completed,1.25,3.75,1.28,3.65,1.25,3.75,1.25,3,1.334,3.59
45,Toronto,Toronto TMS,29/07/04,Masters,Outdoor,Hard,1st Round,3,Roddick A.,Benneteau J.,2,76,6,4,6,2,,,,,,,2,0,Completed,1.063,8,1.08,8,1.07,7.19,1.1,4.5,1.086,9.6
45,Toronto,Toronto TMS,29/07/04,Masters,Outdoor,Hard,1st Round,3,Horna L.,Coria G.,41,3,4,1,,,,,,,,,0,0,Retired,5,1.143,4.85,1.18,5.5,1.13,3.3,1.2,7.1,1.125
45,Toronto,Toronto TMS,29/07/04,Masters,Outdoor,Hard,2nd Round,3,Federer R.,Soderling R.,1,50,7,5,6,1,,,,,,,2,0,Completed,1.071,7.5,1.08,8,1.07,7.19,1.05,5,1.059,14
45,Toronto,Toronto TMS,29/07/04,Masters,Outdoor,Hard,2nd Round,3,Mirnyi M.,Srichaphan P.,34,15,3,6,6,1,6,4,,,,,2,1,Completed,2.625,1.444,2.7,1.47,2.65,1.45,2.3,1.4,2.65,1.541
45,Toronto,Toronto TMS,29/07/04,Masters,Outdoor,Hard,2nd Round,3,Moya C.,Bogomolov A.,4,117,6,4,6,3,,,,,,,2,0,Completed,1.167,4.5,1.16,5.25,1.17,4.67,1.25,3,1.2,5
45,Toronto,Toronto TMS,29/07/04,Masters,Outdoor,Hard,2nd Round,3,Kiefer N.,Ferrer D.,25,42,6,3,6,1,,,,,,,2,0,Completed,1.222,4,1.22,4.25,1.21,4.06,1.25,3,1.23,4.65
45,Toronto,Toronto TMS,29/07/04,Masters,Outdoor,Hard,2nd Round,3,Hernych J.,Reid T.,109,127,6,3,6,3,,,,,,,2,0,Completed,1.727,2,1.7,2.15,1.75,2,1.55,2,1.714,2.2
45,Toronto,Toronto TMS,29/07/04,Masters,Outdoor,Hard,2nd Round,3,Melzer J.,Agassi A.,61,11,6,3,6,3,,,,,,,2,0,Completed,5.5,1.125,5.5,1.15,5.2,1.15,4.5,1.1,5.75,1.16
45,Toronto,Toronto TMS,29/07/04,Masters,Outdoor,Hard,2nd Round,3,Gonzalez F.,Spadea V.,19,21,7,5,6,3,,,,,,,2,0,Completed,1.5,2.5,1.6,2.35,1.55,2.4,1.5,2.1,1.649,2.34
45,Toronto,Toronto TMS,29/07/04,Masters,Outdoor,Hard,2nd Round,3,Santoro F.,Ljubicic I.,58,26,6,4,7,6,,,,,,,2,0,Completed,2.75,1.4,2.95,1.4,2.85,1.4,2.3,1.4,3.45,1.345
45,Toronto,Toronto TMS,29/07/04,Masters,Outdoor,Hard,2nd Round,3,Hewitt L.,Novak J.,10,22,6,2,6,1,,,,,,,2,0,Completed,1.222,4,1.18,4.85,1.18,4.45,1.2,3.3,1.182,5.3
45,Toronto,Toronto TMS,29/07/04,Masters,Outdoor,Hard,2nd Round,3,Kuerten G.,Henman T.,23,5,7,5,6,4,,,,,,,2,0,Completed,2.75,1.4,2.6,1.5,2.35,1.55,2.1,1.5,2.45,1.606
45,Toronto,Toronto TMS,29/07/04,Masters,Outdoor,Hard,2nd Round,3,Chela J.I.,Robredo T.,17,27,6,4,6,0,,,,,,,2,0,Completed,1.833,1.833,1.9,1.9,1.87,1.87,1.75,1.75,1.806,2.04
45,Toronto,Toronto TMS,29/07/04,Masters,Outdoor,Hard,2nd Round,3,Roddick A.,Lopez F.,2,30,6,3,7,6,,,,,,,2,0,Completed,1.083,7,1.11,6.5,1.1,6.25,1.1,4.5,1.091,9.25
45,Toronto,Toronto TMS,29/07/04,Masters,Outdoor,Hard,2nd Round,3,Johansson T.,Andreev I.,99,57,7,6,6,1,,,,,,,2,0,Completed,1.667,2.1,1.73,2.1,1.75,2,1.65,1.85,1.769,2.1
45,Toronto,Toronto TMS,29/07/04,Masters,Outdoor,Hard,2nd Round,3,Saulnier C.,Youzhny M.,70,46,4,6,6,3,7,6,,,,,2,1,Completed,2.25,1.571,2.2,1.67,2.2,1.65,2,1.55,2.13,1.752
45,Toronto,Toronto TMS,29/07/04,Masters,Outdoor,Hard,2nd Round,3,Horna L.,Niemeyer F.,41,231,6,7,7,5,6,3,,,,,2,1,Completed,1.533,2.375,1.67,2.2,1.75,2,1.5,2.1,1.645,2.35
45,Toronto,Toronto TMS,29/07/04,Masters,Outdoor,Hard,2nd Round,3,Johansson J.,Carraz G.,33,73,7,6,6,7,7,6,,,,,2,1,Completed,1.571,2.25,1.654,2.25,1.65,2.2,1.6,1.9,1.68,2.27
45,Toronto,Toronto TMS,29/07/04,Masters,Outdoor,Hard,3rd Round,3,Federer R.,Mirnyi M.,1,34,7,6,7,6,,,,,,,2,0,Completed,1.125,5.5,1.13,5.5,,,,,1.121,7.3
45,Toronto,Toronto TMS,29/07/04,Masters,Outdoor,Hard,3rd Round,3,Kiefer N.,Moya C.,25,4,6,4,2,6,6,4,,,,,2,1,Completed,2.2,1.615,2.25,1.6,,,,,2.29,1.671
45,Toronto,Toronto TMS,30/07/04,Masters,Outdoor,Hard,3rd Round,3,Melzer J.,Gonzalez F.,61,19,6,3,6,3,,,,,,,2,0,Completed,2.625,1.444,2.75,1.45,2.6,1.45,2.2,1.45,3,1.435
45,Toronto,Toronto TMS,30/07/04,Masters,Outdoor,Hard,3rd Round,3,Hernych J.,Kuerten G.,109,23,5,7,7,6,6,4,,,,,2,1,Completed,3.5,1.286,3.3,1.33,3.1,1.35,2.5,1.35,3.55,1.333
45,Toronto,Toronto TMS,30/07/04,Masters,Outdoor,Hard,3rd Round,3,Santoro F.,Hewitt L.,58,10,2,6,6,3,6,4,,,,,2,1,Completed,5.5,1.125,8,1.08,5.5,1.13,3.8,1.15,6.5,1.138
45,Toronto,Toronto TMS,30/07/04,Masters,Outdoor,Hard,3rd Round,3,Johansson T.,Horna L.,99,41,3,6,7,5,6,1,,,,,2,1,Completed,1.286,3.5,1.3,3.5,,,,,1.308,3.75
45,Toronto,Toronto TMS,30/07/04,Masters,Outdoor,Hard,3rd Round,3,Johansson J.,Saulnier C.,33,70,7,6,4,6,7,6,,,,,2,1,Completed,1.571,2.25,,,,,,,1.746,2.14
45,Toronto,Toronto TMS,30/07/04,Masters,Outdoor,Hard,3rd Round,3,Roddick A.,Chela J.I.,2,17,6,1,6,4,,,,,,,2,0,Completed,1.1,6.5,1.13,6,1.15,4.9,1.1,4.5,1.149,6.1
45,Toronto,Toronto TMS,30/07/04,Masters,Outdoor,Hard,Quarterfinals,3,Federer R.,Santoro F.,1,58,7,5,6,4,,,,,,,2,0,Completed,1.04,9,1.05,10,1.05,8.5,1.05,6,1.05,15.5
45,Toronto,Toronto TMS,30/07/04,Masters,Outdoor,Hard,Quarterfinals,3,Johansson T.,Johansson J.,99,33,6,3,7,6,,,,,,,2,0,Completed,1.909,1.8,1.92,1.88,1.75,2,1.9,1.7,1.826,2.05
45,Toronto,Toronto TMS,31/07/04,Masters,Outdoor,Hard,Quarterfinals,3,Roddick A.,Hernych J.,2,109,6,4,6,2,,,,,,,2,0,Completed,1.05,8.5,1.07,8.5,1.07,7.19,1.1,5,1.067,11.61
45,Toronto,Toronto TMS,31/07/04,Masters,Outdoor,Hard,Quarterfinals,3,Kiefer N.,Melzer J.,25,61,1,6,6,3,6,3,,,,,2,1,Completed,1.444,2.625,1.75,2,1.5,2.55,1.5,2.2,1.518,2.73
45,Toronto,Toronto TMS,31/07/04,Masters,Outdoor,Hard,Semifinals,3,Federer R.,Johansson T.,1,99,4,6,6,3,6,2,,,,,2,1,Completed,1.07,7.5,1.1,7,1.09,6.68,1.05,6,1.091,9.25
45,Toronto,Toronto TMS,01/08/04,Masters,Outdoor,Hard,Semifinals,3,Roddick A.,Kiefer N.,2,25,7,5,6,3,,,,,,,2,0,Completed,1.11,6,1.13,6,,,1.15,4,1.138,6.65
45,Toronto,Toronto TMS,01/08/04,Masters,Outdoor,Hard,The Final,3,Federer R.,Roddick A.,1,2,7,5,6,3,,,,,,,2,0,Completed,,,,,,,,,1.49,2.74
