ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
48,Toronto,Rogers Masters,07/08/06,Masters,Outdoor,Hard,1st Round,3,Ljubicic I.,Almagro N.,4,48,3125,788,7,5,6,1,,,,,,,2,0,Completed,1.07,7.5,1.08,7.25,1.1,6.75,1.147,7.2,1.12,5.8
48,Toronto,Rogers Masters,07/08/06,Masters,Outdoor,Hard,1st Round,3,Dancevic F.,Polansky P.,97,996,420,9,7,6,6,3,,,,,,,2,0,Completed,1.12,5.5,,,1.15,5.2,1.115,8.45,1.14,5.25
48,Toronto,Rogers Masters,07/08/06,Masters,Outdoor,Hard,1st Round,3,Acasuso J.,Phau B.,26,65,1105,614,7,5,7,6,,,,,,,2,0,Completed,1.44,2.62,1.55,2.4,1.48,2.53,1.543,2.74,1.5,2.5
48,Toronto,Rogers Masters,07/08/06,Masters,Outdoor,Hard,1st Round,3,Gonzalez F.,Soderling R.,16,40,1480,883,6,3,4,6,6,2,,,,,2,1,Completed,1.66,2.1,1.7,2.1,1.75,2.05,1.833,2.1,1.77,2
48,Toronto,Rogers Masters,07/08/06,Masters,Outdoor,Hard,1st Round,3,Johansson T.,Lopez F.,39,63,885,625,5,7,6,4,6,3,,,,,2,1,Completed,2.2,1.61,2.35,1.57,2.34,1.56,2.46,1.641,2.24,1.62
48,Toronto,Rogers Masters,07/08/06,Masters,Outdoor,Hard,1st Round,3,Gasquet R.,Santoro F.,51,44,775,811,6,4,6,3,,,,,,,2,0,Completed,1.39,2.75,1.48,2.6,1.42,2.75,1.562,2.68,1.45,2.65
48,Toronto,Rogers Masters,07/08/06,Masters,Outdoor,Hard,1st Round,3,Youzhny M.,Rusedski G.,45,72,805,555,6,4,6,2,,,,,,,2,0,Completed,1.53,2.37,1.6,2.3,1.58,2.28,1.637,2.47,1.62,2.24
48,Toronto,Rogers Masters,07/08/06,Masters,Outdoor,Hard,1st Round,3,Sanguinetti D.,Nalbandian D.,68,3,585,3185,6,1,6,2,,,,,,,2,0,Completed,6,1.11,6,1.12,,,7.81,1.133,5.65,1.13
48,Toronto,Rogers Masters,07/08/06,Masters,Outdoor,Hard,1st Round,3,Henman T.,Bjorkman J.,60,32,640,998,6,2,6,3,,,,,,,2,0,Completed,1.39,2.75,1.4,2.85,1.35,3.01,1.415,3.21,1.4,2.85
48,Toronto,Rogers Masters,07/08/06,Masters,Outdoor,Hard,1st Round,3,Hrbaty D.,Kendrick R.,21,156,1290,266,6,4,6,4,,,,,,,2,0,Completed,1.44,2.62,1.48,2.6,1.4,2.85,1.457,2.99,1.42,2.75
48,Toronto,Rogers Masters,07/08/06,Masters,Outdoor,Hard,1st Round,3,Berdych T.,Nestor D.,14,N/A,1600,N/A,6,4,7,5,,,,,,,2,0,Completed,1.04,10,1.03,11,1.04,9.25,1.045,18,1.05,10
48,Toronto,Rogers Masters,07/08/06,Masters,Outdoor,Hard,1st Round,3,Grosjean S.,Serra F.,33,46,990,800,6,3,6,2,,,,,,,2,0,Completed,1.44,2.62,1.45,2.7,1.45,2.6,1.442,3.06,1.52,2.45
48,Toronto,Rogers Masters,07/08/06,Masters,Outdoor,Hard,1st Round,3,Moya C.,Gaudio G.,49,20,785,1300,6,1,6,4,,,,,,,2,0,Completed,1.5,2.5,1.4,2.85,1.45,2.6,1.538,2.76,1.44,2.7
48,Toronto,Rogers Masters,08/08/06,Masters,Outdoor,Hard,1st Round,3,Srichaphan P.,Simon G.,47,52,790,775,6,4,6,2,,,,,,,2,0,Completed,1.5,2.5,1.55,2.4,1.6,2.3,1.613,2.53,1.57,2.33
48,Toronto,Rogers Masters,08/08/06,Masters,Outdoor,Hard,1st Round,3,Blake J.,Bester P.,6,705,2220,23,6,4,6,1,,,,,,,2,0,Completed,1.02,11,1.01,14,1.02,11.5,1.025,28.5,1.02,20
48,Toronto,Rogers Masters,08/08/06,Masters,Outdoor,Hard,1st Round,3,Benneteau J.,Baghdatis M.,57,10,703,1852,5,7,6,2,6,3,,,,,2,1,Completed,4.33,1.19,4.4,1.2,4.85,1.17,5.74,1.191,4.25,1.2
48,Toronto,Rogers Masters,08/08/06,Masters,Outdoor,Hard,1st Round,3,Haas T.,Mirnyi M.,17,54,1420,740,6,3,6,3,,,,,,,2,0,Completed,1.25,3.75,1.28,3.55,1.28,3.46,1.278,4.3,1.28,3.6
48,Toronto,Rogers Masters,08/08/06,Masters,Outdoor,Hard,1st Round,3,Ferrero J.C.,Goldstein P.,28,76,1055,516,7,5,6,2,,,,,,,2,0,Completed,1.5,2.5,1.55,2.4,1.48,2.53,1.568,2.66,1.48,2.55
