ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,UBW,UBL
46,Toronto,Rogers Masters,21/07/08,Masters,Outdoor,Hard,1st Round,3,Gasquet R.,Llodra M.,12,36,1445,921,6,2,4,6,6,3,,,,,2,1,Completed,1.2,4.33,1.25,3.95,1.25,3.75,1.28,4.27,1.24,3.9
46,Toronto,Rogers Masters,21/07/08,Masters,Outdoor,Hard,1st Round,3,Wawrinka S.,Bolelli S.,10,48,1660,819,6,4,7,6,,,,,,,2,0,Completed,1.33,3.25,1.4,3,1.364,3,1.405,3.27,1.37,3
46,Toronto,Rogers Masters,21/07/08,Masters,Outdoor,Hard,1st Round,3,Kiefer N.,Fish M.,37,41,920,900,7,5,7,6,,,,,,,2,0,Completed,1.57,2.25,1.65,2.2,1.571,2.25,1.641,2.46,1.6,2.28
46,Toronto,Rogers Masters,21/07/08,Masters,Outdoor,Hard,1st Round,3,Gonzalez F.,Benneteau J.,15,57,1365,760,6,2,6,1,,,,,,,2,0,Completed,1.38,2.87,1.45,2.7,1.4,2.75,1.459,2.98,1.42,2.78
46,Toronto,Rogers Masters,21/07/08,Masters,Outdoor,Hard,1st Round,3,Robredo T.,Niemeyer F.,14,208,1400,193,7,6,6,1,,,,,,,2,0,Completed,1.1,6.5,1.1,6.75,1.111,6,1.121,8.48,1.1,6.75
46,Toronto,Rogers Masters,21/07/08,Masters,Outdoor,Hard,1st Round,3,Ginepri R.,Mathieu P.H.,65,23,630,1155,6,3,4,6,6,4,,,,,2,1,Completed,2.2,1.61,2.4,1.6,2.375,1.533,2.34,1.694,2.34,1.57
46,Toronto,Rogers Masters,22/07/08,Masters,Outdoor,Hard,1st Round,3,Mahut N.,Tipsarevic J.,95,45,491,858,6,3,6,7,6,2,,,,,2,1,Completed,3.25,1.33,3.3,1.35,3,1.364,3.58,1.36,3.25,1.32
46,Toronto,Rogers Masters,22/07/08,Masters,Outdoor,Hard,1st Round,3,Acasuso J.,Gulbis E.,55,53,773,777,6,7,6,3,7,5,,,,,2,1,Completed,4.5,1.16,3.95,1.25,3.75,1.25,4.81,1.238,4.6,1.18
46,Toronto,Rogers Masters,22/07/08,Masters,Outdoor,Hard,1st Round,3,Youzhny M.,Seppi A.,16,35,1270,950,7,6,6,2,,,,,,,2,0,Completed,1.36,3,1.35,3.3,1.36,3,1.398,3.31,1.37,3
46,Toronto,Rogers Masters,22/07/08,Masters,Outdoor,Hard,1st Round,3,Dancevic F.,Ancic M.,82,24,519,1095,6,3,6,4,,,,,,,2,0,Completed,3.75,1.25,3.55,1.3,3.5,1.286,3.61,1.356,3.55,1.28
46,Toronto,Rogers Masters,22/07/08,Masters,Outdoor,Hard,1st Round,3,Lopez F.,Stepanek R.,31,18,1010,1256,4,6,6,3,6,4,,,,,2,1,Completed,3.25,1.33,3.17,1.36,2.75,1.4,3.45,1.377,3,1.37
46,Toronto,Rogers Masters,22/07/08,Masters,Outdoor,Hard,1st Round,3,Haas T.,Moya C.,46,28,850,1040,6,3,6,2,,,,,,,2,0,Completed,1.28,3.5,1.38,3.07,1.364,3,1.382,3.42,1.33,3.2
46,Toronto,Rogers Masters,22/07/08,Masters,Outdoor,Hard,1st Round,3,Cilic M.,Dlouhy L.,44,213,860,187,6,3,4,6,6,3,,,,,2,1,Completed,1.12,5.5,1.2,4.55,1.167,4.5,1.198,5.55,1.18,4.6
46,Toronto,Rogers Masters,22/07/08,Masters,Outdoor,Hard,1st Round,3,Simon G.,Young D.,22,110,1205,446,6,1,6,3,,,,,,,2,0,Completed,1.28,3.5,1.35,3.3,1.364,3,1.356,3.61,1.32,3.25
46,Toronto,Rogers Masters,22/07/08,Masters,Outdoor,Hard,1st Round,3,Levine J.,Polansky P.,123,276,401,134,6,2,6,4,,,,,,,2,0,Completed,1.38,2.87,,,1.4,2.75,1.51,2.81,1.37,3
46,Toronto,Rogers Masters,22/07/08,Masters,Outdoor,Hard,1st Round,3,Berdych T.,Nieminen J.,21,29,1210,1030,6,3,6,1,,,,,,,2,0,Completed,1.33,3.25,1.38,3.07,1.364,3,1.41,3.24,1.33,3.2
46,Toronto,Rogers Masters,22/07/08,Masters,Outdoor,Hard,1st Round,3,Soderling R.,Canas G.,49,59,815,735,7,5,6,1,,,,,,,2,0,Completed,1.33,3.25,1.35,3.15,1.444,2.625,1.465,2.95,1.37,3
46,Toronto,Rogers Masters,22/07/08,Masters,Outdoor,Hard,1st Round,3,Johansson T.,Golubev A.,64,155,638,294,7,6,6,1,,,,,,,2,0,Completed,1.36,3,1.42,2.89,1.364,3,1.402,3.29,1.43,2.75
46,Toronto,Rogers Masters,22/07/08,Masters,Outdoor,Hard,1st Round,3,Bjorkman J.,Clement A.,188,72,223,562,6,3,3,6,6,0,,,,,2,1,Completed,2.62,1.44,2.9,1.4,2.37,1.53,2.96,1.463,2.6,1.47
46,Toronto,Rogers Masters,22/07/08,Masters,Outdoor,Hard,1st Round,3,Andreev I.,Monfils G.,26,39,1065,913,7,6,7,6,,,,,,,2,0,Completed,1.83,1.83,2,1.8,2.1,1.667,1.98,1.926,2,1.78
46,Toronto,Rogers Masters,23/07/08,Masters,Outdoor,Hard,1st Round,3,Verdasco F.,Bellucci T.,11,80,1475,529,1,6,6,3,6,2,,,,,2,1,Completed,1.22,4,1.27,3.81,1.222,4,1.28,4.27,1.3,3.4
46,Toronto,Rogers Masters,23/07/08,Masters,Outdoor,Hard,1st Round,3,Kudryavtsev A.,Kohlschreiber P.,203,33,213,965,6,2,7,6,,,,,,,2,0,Completed,6,1.11,5.15,1.15,5,1.143,6.15,1.177,5.75,1.13
46,Toronto,Rogers Masters,23/07/08,Masters,Outdoor,Hard,1st Round,3,Tursunov D.,Lapentti N.,30,74,1028,549,6,3,6,4,,,,,,,2,0,Completed,1.14,5,1.2,4.55,1.167,4.5,1.214,5.28,1.18,4.6
46,Toronto,Rogers Masters,24/07/08,Masters,Outdoor,Hard,1st Round,3,Safin M.,Querrey S.,42,38,880,919,6,3,6,3,,,,,,,2,0,Completed,1.57,2.25,1.67,2.21,1.615,2.2,1.758,2.22,1.74,2.04
46,Toronto,Rogers Masters,22/07/08,Masters,Outdoor,Hard,2nd Round,3,Roddick A.,Mahut N.,6,95,2065,491,6,1,6,7,6,3,,,,,2,1,Completed,1.12,5.5,1.15,5.6,1.167,4.5,1.206,5.45,1.16,5
46,Toronto,Rogers Masters,23/07/08,Masters,Outdoor,Hard,2nd Round,3,Djokovic N.,Dancevic F.,3,82,4945,519,6,4,6,4,,,,,,,2,0,Completed,1.07,7.5,1.1,6.75,1.083,7,1.1,9,1.08,7.5
46,Toronto,Rogers Masters,23/07/08,Masters,Outdoor,Hard,2nd Round,3,Ferrer D.,Ginepri R.,5,65,2945,630,6,4,6,4,,,,,,,2,0,Completed,1.36,3,1.45,2.6,1.364,3,1.457,2.99,1.4,2.85
46,Toronto,Rogers Masters,24/07/08,Masters,Outdoor,Hard,2nd Round,3,Nadal R.,Levine J.,2,123,5830,401,6,4,6,2,,,,,,,2,0,Completed,1.01,15,1.01,16,1.015,13,1.025,28.5,1.02,15
46,Toronto,Rogers Masters,24/07/08,Masters,Outdoor,Hard,2nd Round,3,Cilic M.,Robredo T.,44,14,860,1400,6,3,6,4,,,,,,,2,0,Completed,2.1,1.66,2,1.8,2,1.727,2.09,1.84,1.97,1.8
46,Toronto,Rogers Masters,24/07/08,Masters,Outdoor,Hard,2nd Round,3,Soderling R.,Verdasco F.,49,11,815,1475,6,4,6,7,6,4,,,,,2,1,Completed,1.53,2.37,1.5,2.65,1.533,2.375,1.568,2.66,1.55,2.38
46,Toronto,Rogers Masters,24/07/08,Masters,Outdoor,Hard,2nd Round,3,Andreev I.,Berdych T.,26,21,1065,1210,6,4,3,6,6,4,,,,,2,1,Completed,3,1.36,3,1.4,2.75,1.4,3.25,1.408,3.15,1.34
