ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
46,Toronto,Rogers Masters,09/08/10,Masters 1000,Outdoor,Hard,1st Round,3,Stakhovsky S.,Gasquet R.,48,40,922,1035,7,5,6,1,,,,,,,2,0,Completed,3.25,1.33,3.1,1.35,3,1.36,3.32,1.39,3.25,1.33,3.35,1.39,3.17,1.33
46,Toronto,Rogers Masters,09/08/10,Masters 1000,Outdoor,Hard,1st Round,3,Chela J.I.,Falla A.,50,64,914,790,6,0,6,3,,,,,,,2,0,Completed,2.37,1.53,2.35,1.55,2.25,1.57,2.4,1.66,2.25,1.57,2.5,1.66,2.32,1.58
46,Toronto,Rogers Masters,09/08/10,Masters 1000,Outdoor,Hard,1st Round,3,Hanescu V.,Raonic M.,54,217,870,229,6,4,6,4,,,,,,,2,0,Completed,1.61,2.2,1.7,2.05,1.67,2.1,1.64,2.44,1.67,2.1,1.75,2.44,1.63,2.21
46,Toronto,Rogers Masters,09/08/10,Masters 1000,Outdoor,Hard,1st Round,3,Anderson K.,Mayer L.,87,68,607,732,7,6,6,4,,,,,,,2,0,Completed,1.66,2.1,1.65,2.15,1.67,2.1,1.63,2.46,1.67,2.1,1.7,2.46,1.64,2.19
46,Toronto,Rogers Masters,09/08/10,Masters 1000,Outdoor,Hard,1st Round,3,Benneteau J.,Istomin D.,33,53,1229,877,6,4,6,4,,,,,,,2,0,Completed,2.1,1.66,2.1,1.68,2,1.73,2.29,1.71,2,1.73,2.29,1.73,2.11,1.68
46,Toronto,Rogers Masters,09/08/10,Masters 1000,Outdoor,Hard,1st Round,3,Robredo T.,Nieminen J.,38,60,1075,815,6,1,6,4,,,,,,,2,0,Completed,1.8,1.9,1.8,1.95,1.83,1.83,2.02,1.91,1.73,2,2.02,2.2,1.83,1.9
46,Toronto,Rogers Masters,09/08/10,Masters 1000,Outdoor,Hard,1st Round,3,Youzhny M.,Simon G.,14,32,2725,1305,6,4,6,4,,,,,,,2,0,Completed,1.9,1.8,1.95,1.8,1.83,1.83,2.07,1.87,2,1.8,2.07,2,1.88,1.85
46,Toronto,Rogers Masters,09/08/10,Masters 1000,Outdoor,Hard,1st Round,3,De Bakker T.,Lopez F.,46,25,955,1515,7,6,6,3,,,,,,,2,0,Completed,2.1,1.66,2.15,1.65,2.1,1.67,2.14,1.81,2.1,1.67,2.25,1.81,2.11,1.69
46,Toronto,Rogers Masters,09/08/10,Masters 1000,Outdoor,Hard,1st Round,3,Polansky P.,Melzer J.,207,15,240,2470,7,6,6,4,,,,,,,2,0,Completed,6.5,1.1,5.5,1.13,6,1.11,6.54,1.15,5,1.14,7,1.15,6.03,1.11
46,Toronto,Rogers Masters,10/08/10,Masters 1000,Outdoor,Hard,1st Round,3,Gulbis E.,Bellucci T.,28,26,1414,1490,6,1,6,4,,,,,,,2,0,Completed,1.57,2.25,1.65,2.15,1.73,2,1.76,2.23,1.67,2.1,1.76,2.35,1.67,2.15
