ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
50,Toronto,Rogers Masters,06/08/18,Masters 1000,Outdoor,Hard,1st Round,3,Paire B.,Donaldson J.,55,62,920,875,6,3,6,4,,,,,,,2,0,Completed,2,1.72,1.95,1.75,2,1.8,2.04,1.87,2.1,1.87,2.01,1.8
50,Toronto,Rogers Masters,06/08/18,Masters 1000,Outdoor,Hard,1st Round,3,Polansky P.,Ebden M.,121,52,468,975,7,6,6,4,,,,,,,2,0,Completed,2.25,1.57,2.25,1.57,2.25,1.61,2.59,1.56,2.59,1.62,2.4,1.57
50,Toronto,Rogers Masters,06/08/18,Masters 1000,Outdoor,Hard,1st Round,3,Ivashka I.,Sugita Y.,125,74,459,785,6,2,6,3,,,,,,,2,0,Completed,1.61,2.2,1.65,2.1,1.73,2.1,1.71,2.27,1.72,2.3,1.67,2.21
50,Toronto,Rogers Masters,06/08/18,Masters 1000,Outdoor,Hard,1st Round,3,Verdasco F.,Gojowczyk P.,31,48,1305,1021,6,2,6,2,,,,,,,2,0,Completed,1.5,2.5,1.5,2.4,1.53,2.5,1.63,2.44,1.63,2.55,1.57,2.43
50,Toronto,Rogers Masters,06/08/18,Masters 1000,Outdoor,Hard,1st Round,3,Fucsovics M.,Sousa J.,51,63,982,866,6,4,7,6,,,,,,,2,0,Completed,1.61,2.2,1.65,2.1,1.67,2.2,1.68,2.32,1.75,2.32,1.68,2.19
50,Toronto,Rogers Masters,06/08/18,Masters 1000,Outdoor,Hard,1st Round,3,Medvedev D.,Sock J.,68,19,822,1850,6,3,3,6,6,3,,,,,2,1,Completed,1.53,2.37,1.5,2.4,1.5,2.62,1.6,2.51,1.63,2.68,1.54,2.48
50,Toronto,Rogers Masters,06/08/18,Masters 1000,Outdoor,Hard,1st Round,3,Klahn B.,Ferrer D.,116,69,484,820,7,6,6,4,,,,,,,2,0,Completed,1.72,2,1.72,2,1.73,2.1,1.75,2.2,2.37,2.21,1.79,2.05
50,Toronto,Rogers Masters,06/08/18,Masters 1000,Outdoor,Hard,1st Round,3,Herbert P.H.,Ramos-Vinolas A.,80,40,729,1065,4,6,6,3,6,4,,,,,2,1,Completed,1.5,2.5,1.45,2.55,1.44,2.75,1.49,2.85,1.55,2.9,1.47,2.7
50,Toronto,Rogers Masters,07/08/18,Masters 1000,Outdoor,Hard,1st Round,3,Carreno Busta P.,Nishioka Y.,13,206,2290,272,6,0,,,,,,,,,1,0,Retired,1.5,2.5,1.5,2.4,1.53,2.5,1.57,2.57,1.59,2.75,1.54,2.5
50,Toronto,Rogers Masters,07/08/18,Masters 1000,Outdoor,Hard,1st Round,3,Raonic M.,Goffin D.,29,11,1360,3120,6,3,6,4,,,,,,,2,0,Completed,1.4,2.75,1.45,2.55,1.44,2.75,1.49,2.84,1.56,2.85,1.47,2.69
50,Toronto,Rogers Masters,07/08/18,Masters 1000,Outdoor,Hard,1st Round,3,Schwartzman D.,Edmund K.,12,16,2470,1950,6,1,6,2,,,,,,,2,0,Completed,3.25,1.33,2.95,1.35,3,1.4,3.22,1.4,3.37,1.43,3.12,1.37
50,Toronto,Rogers Masters,07/08/18,Masters 1000,Outdoor,Hard,1st Round,3,Coric B.,Pospisil V.,20,94,1745,619,6,4,6,3,,,,,,,2,0,Completed,1.28,3.5,1.3,3.2,1.36,3,1.37,3.37,1.38,3.5,1.35,3.22
50,Toronto,Rogers Masters,07/08/18,Masters 1000,Outdoor,Hard,1st Round,3,Khachanov K.,Krajinovic F.,38,30,1175,1317,6,3,6,2,,,,,,,2,0,Completed,1.33,3.25,1.32,3.1,1.36,3.25,1.4,3.24,1.41,3.46,1.35,3.21
50,Toronto,Rogers Masters,07/08/18,Masters 1000,Outdoor,Hard,1st Round,3,Haase R.,Nishikori K.,39,22,1110,1710,7,5,6,1,,,,,,,2,0,Completed,4.5,1.18,4.3,1.18,4.5,1.2,4.89,1.22,5,1.24,4.6,1.2
50,Toronto,Rogers Masters,07/08/18,Masters 1000,Outdoor,Hard,1st Round,3,Querrey S.,Mannarino A.,32,25,1270,1580,6,2,7,5,,,,,,,2,0,Completed,1.57,2.25,1.57,2.25,1.61,2.25,1.69,2.31,1.71,2.45,1.65,2.24
50,Toronto,Rogers Masters,07/08/18,Masters 1000,Outdoor,Hard,1st Round,3,Wawrinka S.,Kyrgios N.,195,17,290,1935,1,6,7,5,7,5,,,,,2,1,Completed,2.5,1.5,2.55,1.45,2.75,1.44,2.94,1.46,2.94,1.53,2.69,1.47
50,Toronto,Rogers Masters,07/08/18,Masters 1000,Outdoor,Hard,1st Round,3,Harrison R.,Mcdonald M.,57,83,920,717,6,4,6,2,,,,,,,2,0,Completed,1.5,2.5,1.5,2.4,1.53,2.5,1.52,2.72,1.6,2.85,1.51,2.59
50,Toronto,Rogers Masters,07/08/18,Masters 1000,Outdoor,Hard,1st Round,3,Tsitsipas S.,Dzumhur D.,27,24,1534,1665,6,3,7,6,,,,,,,2,0,Completed,1.53,2.37,1.5,2.4,1.53,2.5,1.51,2.76,1.57,2.76,1.52,2.53
50,Toronto,Rogers Masters,07/08/18,Masters 1000,Outdoor,Hard,1st Round,3,Tiafoe F.,Cecchinato M.,41,21,1065,1720,7,6,6,1,,,,,,,2,0,Completed,1.36,3,1.37,2.85,1.4,3,1.4,3.24,1.49,3.24,1.4,2.96
