ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
46,Toronto,Canadian Open,09/08/2021,Masters 1000,Outdoor,Hard,1st Round,3,Cilic M.,Ramos-Vinolas A.,39,48,1593,1378,6,2,4,6,6,3,,,,,2,1,Completed,1.33,3.4,1.35,3.53,1.35,3.6,1.32,3.35
46,Toronto,Canadian Open,09/08/2021,Masters 1000,Outdoor,Hard,1st Round,3,Humbert U.,Sonego L.,26,25,2090,2147,6,3,6,4,,,,,,,2,0,Completed,1.5,2.62,1.56,2.6,1.59,2.66,1.51,2.53
46,Toronto,Canadian Open,09/08/2021,Masters 1000,Outdoor,Hard,1st Round,3,Fognini F.,Struff J.L.,37,46,1619,1410,6,7,6,2,6,4,,,,,2,1,Completed,1.9,1.9,2.06,1.85,2.1,1.95,1.95,1.84
46,Toronto,Canadian Open,09/08/2021,Masters 1000,Outdoor,Hard,1st Round,3,Duckworth J.,Fritz T.,85,40,899,1550,7,6,6,3,,,,,,,2,0,Completed,3.2,1.36,3.43,1.36,3.46,1.41,3.22,1.34
46,Toronto,Canadian Open,09/08/2021,Masters 1000,Outdoor,Hard,1st Round,3,Bublik A.,Evans D.,38,27,1611,2084,6,4,6,4,,,,,,,2,0,Completed,1.8,2,1.91,2,1.91,2.05,1.82,1.99
46,Toronto,Canadian Open,09/08/2021,Masters 1000,Outdoor,Hard,1st Round,3,Harris L.,Schnur B.,49,247,1368,272,6,3,6,2,,,,,,,2,0,Completed,1.28,3.75,1.31,3.85,1.31,4.4,1.25,3.85
46,Toronto,Canadian Open,09/08/2021,Masters 1000,Outdoor,Hard,1st Round,3,Millman J.,Berankis R.,42,84,1505,902,6,3,7,6,,,,,,,2,0,Completed,1.9,1.9,2.04,1.87,2.04,2,1.94,1.86
46,Toronto,Canadian Open,10/08/2021,Masters 1000,Outdoor,Hard,1st Round,3,Paul T.,Pospisil V.,58,61,1143,1125,6,7,6,2,6,3,,,,,2,1,Completed,2,1.8,2.15,1.79,2.15,1.9,2.05,1.77
46,Toronto,Canadian Open,10/08/2021,Masters 1000,Outdoor,Hard,1st Round,3,Opelka R.,Kyrgios N.,32,80,1741,918,4,6,7,6,6,4,,,,,2,1,Completed,2.1,1.72,2.44,1.63,2.44,1.75,2.18,1.68
46,Toronto,Canadian Open,10/08/2021,Masters 1000,Outdoor,Hard,1st Round,3,Lajovic D.,Ruusuvuori E.,44,72,1485,983,3,6,6,3,6,3,,,,,2,1,Completed,3.4,1.33,3.69,1.33,3.69,1.4,3.34,1.32
46,Toronto,Canadian Open,10/08/2021,Masters 1000,Outdoor,Hard,1st Round,3,Nishikori K.,Kecmanovic M.,55,59,1173,1142,6,4,6,7,6,2,,,,,2,1,Completed,1.4,3,1.46,2.96,1.49,3.3,1.39,2.99
46,Toronto,Canadian Open,10/08/2021,Masters 1000,Outdoor,Hard,1st Round,3,Basilashvili N.,Brooksby J.,43,97,1498,812,2,6,6,0,6,4,,,,,2,1,Completed,2.75,1.44,2.9,1.47,2.9,1.57,2.61,1.49
46,Toronto,Canadian Open,10/08/2021,Masters 1000,Outdoor,Hard,1st Round,3,Khachanov K.,Norrie C.,29,28,1920,1975,6,4,5,7,6,4,,,,,2,1,Completed,1.8,2,1.85,2.07,1.9,2.14,1.81,1.99
46,Toronto,Canadian Open,10/08/2021,Masters 1000,Outdoor,Hard,1st Round,3,Isner J.,Davidovich Fokina A.,30,34,1901,1723,6,4,6,1,,,,,,,2,0,Completed,1.61,2.3,1.6,2.49,1.69,2.53,1.61,2.31
46,Toronto,Canadian Open,10/08/2021,Masters 1000,Outdoor,Hard,1st Round,3,Tiafoe F.,Nishioka Y.,52,56,1226,1155,6,4,6,3,,,,,,,2,0,Completed,1.53,2.5,1.69,2.3,1.69,2.5,1.6,2.33
46,Toronto,Canadian Open,10/08/2021,Masters 1000,Outdoor,Hard,1st Round,3,Paire B.,Mcdonald M.,50,64,1354,1060,6,3,6,4,,,,,,,2,0,Completed,2.37,1.57,2.64,1.55,2.7,1.6,2.49,1.53
46,Toronto,Canadian Open,10/08/2021,Masters 1000,Outdoor,Hard,2nd Round,3,Medvedev D.,Bublik A.,2,38,9643,1611,4,6,6,3,6,4,,,,,2,1,Completed,1.2,4.5,1.21,5.11,1.22,5.45,1.19,4.63
46,Toronto,Canadian Open,10/08/2021,Masters 1000,Outdoor,Hard,2nd Round,3,Ruud C.,Cilic M.,12,39,3205,1593,6,3,3,6,6,3,,,,,2,1,Completed,1.72,2.1,1.72,2.26,1.8,2.29,1.69,2.17
46,Toronto,Canadian Open,11/08/2021,Masters 1000,Outdoor,Hard,2nd Round,3,Tsitsipas S.,Humbert U.,3,26,8115,2090,6,3,6,7,6,1,,,,,2,1,Completed,1.36,2.5,1.35,3.55,1.36,3.55,1.33,3.24
46,Toronto,Canadian Open,11/08/2021,Masters 1000,Outdoor,Hard,2nd Round,3,Opelka R.,Dimitrov G.,32,21,1741,2466,6,3,6,4,,,,,,,2,0,Completed,1.53,2.5,1.58,2.56,1.67,2.6,1.56,2.42
46,Toronto,Canadian Open,11/08/2021,Masters 1000,Outdoor,Hard,2nd Round,3,Duckworth J.,Sinner J.,85,15,899,2745,6,3,6,4,,,,,,,2,0,Completed,4.5,1.2,5.47,1.19,5.75,1.2,5,1.17
46,Toronto,Canadian Open,11/08/2021,Masters 1000,Outdoor,Hard,2nd Round,3,Isner J.,Garin C.,30,20,1901,2475,4,6,6,3,6,4,,,,,2,1,Completed,1.44,2.75,1.45,3,1.47,3.1,1.42,2.82
