ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Agassi A.,Kim A.,1,432,6,4,6,2,6,0,,,,,3,0,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Alami K.,El Aynaoui Y.,33,22,6,3,6,4,3,6,2,6,6,3,3,2,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Arazi H.,Hantschk M.,41,92,6,3,6,0,4,6,6,7,6,4,3,2,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Arthurs W.,Kuerten G.,102,2,4,6,6,3,7,6,7,6,,,3,1,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Bjorkman J.,Ulihrach B.,53,82,2,6,7,6,7,6,6,1,,,3,1,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Black B.,Dent T.,29,196,7,6,6,3,7,5,,,,,3,0,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Blanco G.,Rafter P.,114,20,7,6,2,6,6,3,1,6,7,6,3,2,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Boutter J.,Huet S.,101,98,7,6,6,3,6,0,,,,,3,0,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Calleri A.,Sanguinetti D.,72,99,7,5,6,4,6,2,,,,,3,0,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Chang M.,Levy H.,25,68,6,2,3,6,6,4,6,4,,,3,1,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Clement A.,Gaudio G.,37,26,6,3,6,4,6,2,,,,,3,0,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Corretja A.,Srichaphan P.,8,85,7,6,6,0,6,0,,,,,3,0,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Costa A.,Roddick A.,24,338,6,3,6,7,6,1,6,4,,,3,1,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,di Pasquale A.,Kauffmann C.,63,311,6,4,6,4,4,6,6,3,,,3,1,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Dosedel S.,Clavet F.,50,46,7,6,6,4,6,1,,,,,3,0,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Enqvist T.,Puerta M.,5,18,3,6,6,3,6,2,6,2,,,3,1,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Federer R.,Wessels P.,40,89,4,6,4,6,6,3,7,5,3,4,2,2,Retired
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Ferreira W.,Ilie A.,21,51,6,3,2,6,6,4,6,1,,,3,1,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Ferrero J.C.,Meligeni F.,12,122,6,3,6,4,3,6,7,5,,,3,1,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Fromberg R.,Bastl G.,84,74,4,6,6,4,6,3,6,2,,,3,1,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Gambill J.M.,Fish M.,27,348,5,7,5,7,6,4,6,3,6,2,3,2,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Gimelstob J.,Rochus C.,88,80,3,6,6,3,6,4,7,6,,,3,1,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Golmard J.,Black W.,48,118,6,2,6,2,6,2,,,,,3,0,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Gonzalez F.,Mamiit C.,128,115,6,3,6,4,6,1,,,,,3,0,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Grosjean S.,Kim K.,28,157,6,3,6,2,6,4,,,,,3,0,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Gumy H.,Russell M.,96,181,4,6,7,6,7,6,6,4,,,3,1,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Haas T.,Delgado J.,38,216,6,3,6,1,6,1,,,,,3,0,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Henman T.,Vicente F.,11,44,6,3,6,3,6,4,,,,,3,0,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Hewitt L.,Vinciguerra A.,9,43,2,6,7,5,6,3,6,3,,,3,1,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Hrbaty D.,Ivanisevic G.,36,77,3,6,6,0,6,1,6,0,,,3,1,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Johansson T.,Ljubicic I.,91,87,7,6,7,6,6,3,,,,,3,0,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Kafelnikov Y.,Stanoytchev O.,6,116,6,7,1,6,6,3,6,2,6,3,3,2,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Kiefer N.,Gaudenzi A.,14,103,7,5,6,4,0,6,6,4,,,3,1,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Knippschild J.,Cowan B.,126,174,6,4,6,3,6,3,,,,,3,0,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Koubek S.,Chela J.I.,45,56,4,6,6,3,7,6,7,6,,,3,1,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Krajicek R.,Rochus O.,23,110,6,7,6,1,6,1,6,4,,,3,1,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Kralert P.,Sanchez D.,212,93,7,6,7,6,6,2,,,,,3,0,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Lapentti N.,Bryan B.,16,129,7,5,6,4,7,6,,,,,3,0,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Lee H.T.,Tarango J.,182,76,6,3,3,6,6,3,7,6,,,3,1,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Malisse X.,Prinosil D.,159,59,7,5,6,4,6,4,,,,,3,0,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Martin T.,Spadea V.,32,119,6,4,6,1,1,6,6,2,,,3,1,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Mirnyi M.,Kucera K.,57,42,7,6,6,3,7,6,,,,,3,0,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Moya C.,Tillstrom M.,55,61,6,4,6,2,7,5,,,,,3,0,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Nestor D.,Santoro F.,307,31,7,6,6,4,6,4,,,,,3,0,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Norman M.,Goldstein P.,3,78,7,5,6,4,6,4,,,,,3,0,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Novak J.,Martin A.,39,62,6,4,6,4,6,4,,,,,3,0,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Pavel A.,King P.,35,312,6,3,6,4,6,3,,,,,3,0,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Philippoussis M.,Portas A.,15,70,6,3,6,2,6,3,,,,,3,0,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Pioline C.,Sargsian S.,10,71,6,3,6,3,6,1,,,,,3,0,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Popp A.,Vanek J.,83,79,6,3,6,4,7,6,,,,,3,0,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Pozzi G.,Ruud C.,49,142,6,2,6,3,6,2,,,,,3,0,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Rios M.,Massu N.,19,64,6,3,7,5,1,6,7,6,,,3,1,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Rosset M.,Vinck C.,30,121,6,4,6,1,6,4,,,,,3,0,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Rusedski G.,Gustafsson M.,34,52,6,1,6,2,6,4,,,,,3,0,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Sa A.,Kratochvil M.,86,151,3,6,6,4,6,1,7,6,,,3,1,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Safin M.,Guardiola T.,7,141,7,5,6,7,6,4,6,4,,,3,1,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Sampras P.,Damm M.,4,69,7,6,7,5,6,4,,,,,3,0,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Saulnier C.,Savolt A.,137,169,6,3,7,5,6,3,,,,,3,0,Completed
52,New York,US Open,28/08/00,Grand Slam,Outdoor,Hard,1st Round,5,Schalken S.,Burgsmuller L.,58,203,6,1,7,6,6,2,,,,,3,0,Completed
