ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
53,New York,US Open,27/08/01,Grand Slam,Outdoor,Hard,1st Round,5,Agassi A.,Bryan M.,2,306,6,4,6,1,6,0,,,,,3,0,Completed,1.02,11,1.03,7.5,1.02,6,,
53,New York,US Open,27/08/01,Grand Slam,Outdoor,Hard,1st Round,5,Arazi H.,Calleri A.,28,101,6,3,6,3,4,6,5,7,6,3,3,2,Completed,1.3,3.25,1.32,2.8,1.3,2.7,1.333,3
53,New York,US Open,27/08/01,Grand Slam,Outdoor,Hard,1st Round,5,Bastl G.,Prinosil D.,120,64,6,4,6,2,6,4,,,,,3,0,Completed,2.05,1.68,2.1,1.57,2.1,1.5,2.2,1.615
53,New York,US Open,27/08/01,Grand Slam,Outdoor,Hard,1st Round,5,Bjorkman J.,Balcells J.,51,61,7,6,6,2,6,2,,,,,3,0,Completed,1.25,3.6,1.27,3,1.25,3,1.286,3.25
53,New York,US Open,27/08/01,Grand Slam,Outdoor,Hard,1st Round,5,Blake J.,Sanchez D.,95,89,6,3,6,4,6,2,,,,,3,0,Completed,1.42,2.7,1.4,2.5,1.4,2.3,1.533,2.375
53,New York,US Open,27/08/01,Grand Slam,Outdoor,Hard,1st Round,5,Brasington J.,Pozzi G.,223,108,6,3,6,4,2,6,3,6,7,6,3,2,Completed,,,,,,,,
53,New York,US Open,27/08/01,Grand Slam,Outdoor,Hard,1st Round,5,Canas G.,Arthurs W.,27,58,6,1,6,3,6,7,6,2,,,3,1,Completed,1.58,2.25,1.62,2,1.65,1.85,1.615,2.2
53,New York,US Open,27/08/01,Grand Slam,Outdoor,Hard,1st Round,5,Clement A.,Blanco G.,12,45,6,2,4,6,6,3,6,4,,,3,1,Completed,1.16,4.5,1.17,3.85,1.15,3.8,1.167,4.5
53,New York,US Open,27/08/01,Grand Slam,Outdoor,Hard,1st Round,5,Corretja A.,Sluiter R.,11,93,7,6,6,7,6,4,6,2,,,3,1,Completed,1.26,3.5,1.2,3.4,1.2,3.2,1.25,3.5
53,New York,US Open,27/08/01,Grand Slam,Outdoor,Hard,1st Round,5,Costa A.,Harper-Griffith L.,40,297,6,3,6,3,6,3,,,,,3,0,Completed,1.2,4.25,1.17,3.85,1.15,3.8,,
53,New York,US Open,27/08/01,Grand Slam,Outdoor,Hard,1st Round,5,Delgado R.,Diaz J.,119,76,4,6,6,3,6,4,6,3,,,3,1,Completed,1.3,3.25,1.35,2.65,1.3,2.7,,
53,New York,US Open,27/08/01,Grand Slam,Outdoor,Hard,1st Round,5,Dent T.,Alami K.,132,125,6,3,6,4,6,4,,,,,3,0,Completed,1.33,3.1,1.3,2.85,1.25,3,1.3,3.2
53,New York,US Open,27/08/01,Grand Slam,Outdoor,Hard,1st Round,5,Escude N.,Lee H.T.,31,67,6,2,6,1,6,2,,,,,3,0,Completed,1.18,4.25,1.2,3.55,1.15,3.8,1.25,3.5
53,New York,US Open,27/08/01,Grand Slam,Outdoor,Hard,1st Round,5,Federer R.,Burgsmuller L.,13,72,6,4,6,4,6,4,,,,,3,0,Completed,1.11,5.7,1.13,4.4,1.15,3.8,1.125,5.5
53,New York,US Open,27/08/01,Grand Slam,Outdoor,Hard,1st Round,5,Ferrero J.C.,di Pasquale A.,5,82,1,6,6,3,2,6,7,6,6,0,3,2,Completed,1.1,5.75,1.1,5,1.1,4.5,1.143,5
