ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Agassi A.,Dent T.,1,256,2,6,6,3,6,0,4,0,,,2,1,Retired
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Arazi H.,Gaudi I.,38,218,6,2,6,4,6,0,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Bjorkman J.,Medvedev A.,78,47,6,4,6,3,6,3,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Black B.,Ilie A.,52,43,6,3,5,7,7,6,6,0,,,3,1,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Bower J.,Sanguinetti D.,509,87,6,3,7,6,4,6,7,6,,,3,1,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Chang M.,Gaudio G.,24,41,6,2,6,3,6,2,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Clavet F.,Gumy H.,42,88,6,3,6,3,6,3,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Clement A.,Ivanisevic G.,58,65,6,3,3,6,6,3,6,4,,,3,1,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Damm M.,Petrovic D.,86,185,6,1,6,4,6,1,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,di Pasquale A.,Hipfl M.,49,97,4,6,6,4,6,4,6,7,6,1,3,2,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Dosedel S.,Lapentti N.,50,10,6,3,6,2,0,6,6,1,,,3,1,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,El Aynaoui Y.,Mantilla F.,16,75,7,6,6,3,6,4,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Enqvist T.,Hantschk M.,8,92,6,1,6,4,6,2,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Escude N.,Canas G.,17,144,4,6,6,4,6,1,6,2,,,3,1,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Ferreira W.,Arthurs W.,37,94,6,7,6,3,7,6,6,1,,,3,1,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Gambill J.M.,Hewitt L.,56,7,6,3,6,2,7,5,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Gimelstob J.,Cowan B.,99,172,6,3,6,4,6,7,6,3,,,3,1,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Godwin N.,Vicente F.,203,31,6,7,6,1,3,6,6,2,8,6,3,2,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Goldstein P.,Boutter J.,76,103,7,6,6,3,6,4,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Golmard J.,Saulnier C.,70,124,7,5,6,4,6,4,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Gustafsson M.,Kilderry P.,72,297,6,4,6,2,6,4,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Haas T.,Kiefer N.,23,12,5,7,6,4,6,2,6,3,,,3,1,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Henman T.,Srichaphan P.,14,90,5,7,6,3,6,1,6,3,,,3,1,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Hrbaty D.,Zabaleta M.,32,40,6,4,6,2,7,5,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Huet S.,Bhupathi M.,108,1049,6,7,6,3,7,6,6,1,,,3,1,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Johansson T.,Meligeni F.,57,100,6,4,6,7,6,3,6,2,,,3,1,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Kafelnikov Y.,Federer R.,5,35,7,5,7,5,7,6,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Koubek S.,Voinea A.,36,93,3,3,,,,,,,,,0,0,Retired
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Krajicek R.,Kohlmann M.,27,189,3,6,6,1,6,4,7,6,,,3,1,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Kucera K.,Black W.,44,166,6,2,6,2,6,4,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Kuerten G.,Woodruff C.,4,46,6,4,6,7,7,5,7,6,,,3,1,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Lareau S.,Russell M.,133,183,7,6,6,2,1,6,6,2,,,3,1,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Lee M.,Marin J.A.,259,68,6,2,6,4,7,6,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Levy H.,Stoltenberg J.,142,82,6,3,2,6,6,7,6,4,6,4,3,2,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Llodra M.,Alami K.,158,29,6,3,6,3,6,1,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Martin A.,Eschauer W.,67,176,6,4,6,4,3,6,6,2,,,3,1,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Martin T.,Jonsson F.,20,118,7,6,7,6,6,2,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Mirnyi M.,Ulihrach B.,59,85,6,2,4,0,,,,,,,1,0,Retired
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Nestor D.,MacLagan M.,154,353,4,6,7,6,6,2,6,4,,,3,1,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Norman M.,Woodforde M.,2,191,6,4,6,2,2,0,,,,,2,0,Retired
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,O'Brien A.,Ljubicic I.,192,81,5,7,6,1,7,5,7,6,,,3,1,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Parmar A.,Sa A.,137,83,6,7,6,3,4,6,6,2,6,3,3,2,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Pavel A.,Berasategui A.,34,113,6,0,6,4,6,2,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Philippoussis M.,Melzer J.,18,387,6,4,7,6,5,7,6,4,,,3,1,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Pioline C.,Ruud C.,6,111,7,6,6,1,4,6,6,3,,,3,1,Completed
