ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Agassi A.,Wessels P.,2,93,7,6,6,4,6,4,,,,,3,0,Completed,1.18,4.25,1.2,3.5,1.15,3.8,1.167,4.5
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Arazi H.,Sanchez D.,27,86,7,6,6,2,6,3,,,,,3,0,Completed,1.25,3.65,1.25,3.15,1.2,3.2,,
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Bjorkman J.,Burgsmuller L.,41,70,6,4,6,3,6,4,,,,,3,0,Completed,1.28,3.4,1.32,2.8,1.3,2.7,1.364,2.875
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Black B.,Martin A.,76,36,6,1,6,1,6,0,,,,,3,0,Completed,1.28,3.5,1.15,4,1.15,3.8,1.286,3.5
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Black W.,Haas T.,149,21,6,4,5,7,6,1,3,0,,,2,1,Retired,4.5,1.18,3.4,1.22,3,1.25,3.5,1.25
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Bryan B.,Ulihrach B.,157,44,6,3,6,4,6,1,,,,,3,0,Completed,1.3,3.25,1.37,2.57,1.3,2.7,1.333,3
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Canas G.,Gaudio G.,49,39,1,6,6,1,3,6,6,2,7,5,3,2,Completed,1.25,3.75,1.3,2.9,1.25,3,1.3,3.2
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Carlsen K.,Balcells J.,1013,62,7,5,7,6,7,6,,,,,3,0,Completed,2.05,1.72,1.82,1.75,1.75,1.75,2.1,1.667
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Chang M.,Vanek J.,48,94,6,2,6,2,6,7,4,6,6,2,3,2,Completed,1.35,3.1,1.25,3.1,1.25,3,1.333,3
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Clement A.,Knippschild J.,12,96,7,6,5,7,6,1,6,3,,,3,1,Completed,1.85,1.9,1.65,1.95,1.55,2,1.833,1.833
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Cowan B.,Hilton M.,265,383,6,3,6,2,7,6,,,,,3,0,Completed,1.42,2.65,1.45,2.3,1.4,2.3,,
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Delgado J.,Medvedev A.,182,119,6,2,6,4,7,5,,,,,3,0,Completed,1.9,1.85,1.9,1.67,1.85,1.65,2,1.727
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Dent T.,Bruguera S.,143,61,6,0,6,1,6,4,,,,,3,0,Completed,1.22,4,1.24,3.2,1.2,3.2,,
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Dosedel S.,Vacek J.,102,142,7,5,6,1,1,6,7,6,,,3,1,Completed,,,,,,,,
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Dupuis A.,Mamiit C.,69,111,6,4,5,7,6,7,6,3,6,1,3,2,Completed,1.67,2.1,1.67,1.95,1.75,1.75,1.667,2.1
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,El Aynaoui Y.,Kempes E.,82,113,7,6,5,7,3,6,6,3,12,10,3,2,Completed,1.6,2.2,1.55,2.1,1.45,2.2,1.571,2.25
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Enqvist T.,Damm M.,13,155,6,1,6,3,7,5,,,,,3,0,Completed,1.24,3.85,1.2,3.5,1.2,3.2,1.25,3.5
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Escude N.,Fish M.,38,171,6,2,6,3,6,2,,,,,3,0,Completed,1.38,2.85,1.2,3.5,1.2,3.2,,
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Federer R.,Rochus C.,15,83,6,2,6,3,6,2,,,,,3,0,Completed,1.1,6,1.1,4.6,1.05,5,1.143,5
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Ferrero J.C.,Milligan L.,4,522,6,0,6,2,6,2,,,,,3,0,Completed,,,1.4,2.45,1.45,2.2,,
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Grosjean S.,Kratochvil M.,8,73,6,3,6,3,6,4,,,,,3,0,Completed,1.28,3.35,1.25,3.1,1.25,3,1.364,2.875
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Henman T.,Derepasko A.,11,272,6,1,6,1,6,1,,,,,3,0,Completed,1.04,9,1.03,6.5,1.05,5,1.03,11
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Hewitt L.,Gustafsson M.,5,57,6,1,6,2,6,4,,,,,3,0,Completed,1.06,7.75,1.03,6.5,1.05,5,1.071,7.5
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Huet S.,Hipfl M.,179,91,3,6,3,6,6,4,6,4,6,3,3,2,Completed,,,1.6,2,1.6,1.9,1.727,2
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Ivanisevic G.,Jonsson F.,125,197,6,4,6,4,6,4,,,,,3,0,Completed,1.36,2.95,1.35,2.6,1.35,2.5,1.4,2.75
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Johansson T.,Ilie A.,14,65,6,4,4,6,6,7,7,6,6,2,3,2,Completed,1.14,5,1.15,3.8,1.1,4.5,1.167,4.5
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Kafelnikov Y.,Yoon Y.,7,160,6,4,6,2,6,4,,,,,3,0,Completed,1.06,7.5,1.04,6.5,1.05,5,1.071,7.5
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Kiefer N.,Calatrava A.,29,47,2,6,6,3,6,1,6,4,,,3,1,Completed,1.22,4,1.17,3.8,1.15,3.8,1.25,3.5
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Larsson M.,Rosset M.,280,75,6,4,3,6,6,3,1,6,6,2,3,2,Completed,1.75,2,1.82,1.75,1.75,1.75,1.833,1.833
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Lee M.,Pozzi G.,130,74,6,4,6,3,6,1,,,,,3,0,Completed,2.65,1.42,2.25,1.5,2,1.55,2.625,1.444
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Malisse X.,Diaz J.,53,68,6,2,6,3,6,3,,,,,3,0,Completed,1.18,4.5,1.1,4.2,1.1,4.5,1.222,3.75
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,3,Mantilla F.,Llodra M.,87,121,6,4,6,2,6,7,3,6,2,1,2,2,Retired,2.65,1.42,2.3,1.47,2.2,1.45,2.375,1.533
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Martin T.,Srichaphan P.,34,117,6,3,6,4,6,7,6,3,,,3,1,Completed,1.38,2.75,1.3,2.8,1.4,2.3,,
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Massu N.,Childs L.,89,317,6,4,3,6,6,1,6,4,,,3,1,Completed,1.75,2,1.8,1.77,1.75,1.75,1.667,2.1
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Meligeni F.,Coria G.,95,26,6,4,3,6,0,6,6,4,6,3,3,2,Completed,2.05,1.7,1.82,1.75,1.8,1.7,2.1,1.667
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Mirnyi M.,Arthurs W.,51,45,7,5,6,2,6,4,,,,,3,0,Completed,3.1,1.33,2.7,1.35,2.7,1.3,3,1.333
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Moya C.,Godwin N.,22,133,2,6,6,7,6,3,6,4,6,4,3,2,Completed,1.85,1.85,1.65,1.95,1.6,1.9,1.727,2
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Nestor D.,Blanco G.,154,60,6,2,6,3,6,2,,,,,3,0,Completed,1.25,3.75,1.25,3.1,1.25,3,1.286,3.25
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Novak J.,Vicente F.,42,58,6,1,6,4,6,3,,,,,3,0,Completed,1.5,2.5,1.4,2.45,1.35,2.5,1.5,2.5
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Paes L.,Elsner D.,284,150,6,0,6,1,3,6,7,5,,,3,1,Completed,1.28,3.4,1.3,2.8,1.25,3,,
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Parmar A.,Sa A.,211,115,7,6,6,7,6,4,4,6,8,6,3,2,Completed,1.77,1.95,1.82,1.75,1.8,1.7,1.8,1.909
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Pioline C.,Tabara M.,72,52,6,2,6,3,7,5,,,,,3,0,Completed,1.25,3.65,1.15,4,1.15,3.8,,
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Pless K.,Siemerink J.,100,88,7,6,6,4,6,4,,,,,3,0,Completed,2.75,1.4,2.45,1.4,2.2,1.45,2.75,1.4
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Prinosil D.,Lee H.T.,46,64,6,7,6,2,6,4,6,4,,,3,1,Completed,1.33,3.1,1.32,2.75,1.3,2.7,1.333,3
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Puentes G.,Puerta M.,99,104,6,3,7,6,6,4,,,,,3,0,Completed,,,2.1,1.55,2.2,1.45,,
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Rafter P.,Vacek D.,10,934,6,2,7,6,6,3,,,,,3,0,Completed,1.06,8,1.03,6.5,1.05,5,1.063,8
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Robredo T.,Levy H.,59,30,7,6,6,5,,,,,,,1,0,Retired,2.4,1.55,2.2,1.5,2.1,1.5,2.5,1.5
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Rochus O.,Calleri A.,63,80,6,7,6,3,6,3,6,3,,,3,1,Completed,1.57,2.25,1.5,2.25,1.45,2.2,,
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Roddick A.,Heuberger I.,33,137,6,4,6,4,7,6,,,,,3,0,Completed,1.25,3.65,1.15,4,1.15,3.8,1.143,5
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Rusedski G.,Pavel A.,40,43,7,6,6,7,7,6,6,2,,,3,1,Completed,1.28,3.4,1.25,3.1,1.2,3.2,1.25,3.5
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Safin M.,Knowle J.,3,164,6,2,7,5,5,7,6,3,,,3,1,Completed,1.25,3.65,1.15,4,1.15,3.8,1.167,4.5
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Sampras P.,Clavet F.,6,56,6,4,7,6,6,4,,,,,3,0,Completed,1.02,11,1.03,6.5,1.02,6,1.04,10
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Sanguinetti D.,Portas A.,67,23,6,3,3,6,6,3,6,7,7,5,3,2,Completed,1.6,2.25,1.5,2.2,1.5,2.1,1.571,2.25
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Santoro F.,Zabaleta M.,25,106,7,5,6,1,6,3,,,,,3,0,Completed,1.22,4,1.15,4,1.2,3.2,1.25,3.5
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Sargsian S.,Acasuso J.,124,81,6,3,6,1,6,4,,,,,3,0,Completed,1.28,3.4,1.2,3.5,1.2,3.2,1.3,3.2
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Schalken S.,Koubek S.,28,84,6,4,3,6,6,4,6,7,7,5,3,2,Completed,1.17,4.5,1.15,4,1.15,3.8,1.222,3.75
38,London,Wimbledon,25/06/01,Grand Slam,Outdoor,Grass,1st Round,5,Schuettler R.,Ljubicic I.,54,71,7,6,7,6,7,5,,,,,3,0,Completed,1.57,2.3,1.64,1.95,1.6,1.9,1.533,2.375
