ATP;Location;Tournament;Date;Series;Court;Surface;Round;Best of;Winner;Loser;WRank;LRank;W1;L1;W2;L2;W3;L3;W4;L4;W5;L5;Wsets;Lsets;Comment;CBW;CBL;GBW;GBL;IWW;IWL;SBW;SBL;B365W;B365L;B&WW;B&WL;EXW;EXL;PSW;PSL;WPts;LPts;UBW;UBL;LBW;LBL;SJW;SJL;MaxW;MaxL;AvgW;AvgL
37;London;Wimbledon;26/06/00;Grand Slam;Outdoor;Grass;1st Round;5;Agassi A.;Dent T.;1;256;2,0;6,0;6,0;3,0;6,0;0,0;4,0;0,0;;;2,0;1,0;Retired;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;London;Wimbledon;26/06/00;Grand Slam;Outdoor;Grass;1st Round;5;Arazi H.;Gaudi I.;38;218;6,0;2,0;6,0;4,0;6,0;0,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;London;Wimbledon;26/06/00;Grand Slam;Outdoor;Grass;1st Round;5;Bjorkman J.;Medvedev A.;78;47;6,0;4,0;6,0;3,0;6,0;3,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;London;Wimbledon;26/06/00;Grand Slam;Outdoor;Grass;1st Round;5;Black B.;Ilie A.;52;43;6,0;3,0;5,0;7,0;7,0;6,0;6,0;0,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;London;Wimbledon;26/06/00;Grand Slam;Outdoor;Grass;1st Round;5;Bower J.;Sanguinetti D.;509;87;6,0;3,0;7,0;6,0;4,0;6,0;7,0;6,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;London;Wimbledon;26/06/00;Grand Slam;Outdoor;Grass;1st Round;5;Chang M.;Gaudio G.;24;41;6,0;2,0;6,0;3,0;6,0;2,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;London;Wimbledon;26/06/00;Grand Slam;Outdoor;Grass;1st Round;5;Clavet F.;Gumy H.;42;88;6,0;3,0;6,0;3,0;6,0;3,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;London;Wimbledon;26/06/00;Grand Slam;Outdoor;Grass;1st Round;5;Clement A.;Ivanisevic G.;58;65;6,0;3,0;3,0;6,0;6,0;3,0;6,0;4,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;London;Wimbledon;26/06/00;Grand Slam;Outdoor;Grass;1st Round;5;Damm M.;Petrovic D.;86;185;6,0;1,0;6,0;4,0;6,0;1,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;London;Wimbledon;26/06/00;Grand Slam;Outdoor;Grass;1st Round;5;di Pasquale A.;Hipfl M.;49;97;4,0;6,0;6,0;4,0;6,0;4,0;6,0;7,0;6,0;1,0;3,0;2,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
